relative_path	source_path	sha256	role	status
README.md	/home/lilingfeng/demo/production/prod-deploy/debug/juicefs-03-8-flush-race-community/community-materials/README.md	c7b25ee061a24523cb28cb64d57542e4b0da50e3d3bfe1765a59b72c167f5a62	community review index	review-index-current
SUBMISSION-CHECKLIST.md	/home/lilingfeng/demo/production/prod-deploy/debug/juicefs-03-8-flush-race-community/community-materials/SUBMISSION-CHECKLIST.md	22ec5ca735c20860b00ee323ea05bdf3628c084a5dee93a10d80a0f9b4fa7a1f	community submission checklist	pre-submit-dynamic-gates-pending
candidate/community-candidate.patch	/home/lilingfeng/tmp/juicefs-c03-r2-20260817-183244/artifacts/community-candidate.patch	1050e94f6f2f52091a99afd4ad2aaf3c6cde147590f9f28b48b377e72b5281f9	canonical full-index main two-file candidate	latest-main-verified-content
candidate/async-catchup-main.patch	/home/lilingfeng/tmp/juicefs-c03-r2-input-20260817-182702/async-catchup-main.patch	b259513ac5b15370e129f45e0f6b8804bb0a91b2d2f2985e6111e25ca4b95355	writer-only B input	frozen-authoritative-input
tests/writer_flush_test.go	/home/lilingfeng/tmp/juicefs-c03-r2-input-20260817-182702/writer_flush_test.go	bce85ad4abf92a47074849a544aaa756963fb44a1839619bbc71c5d7ce1fe9bc	three deterministic community regression tests	community-submit-test
tests/writer_flush_c02_test.go	/home/lilingfeng/tmp/juicefs-c03-r2-input-20260817-182702/writer_flush_c02_test.go	03fa33d6da4829de4c1f6f3e539128f97c1f7273c29eb0b13579fd6ad08d120b	ten semantic fault concurrency tests	internal-only-not-default-pr
v131-reference/B-v131-port.patch	/home/lilingfeng/tmp/juicefs-v01-r1-20260818-001227/patches/B-v131-port.patch	349d870e3130b5061ae37bed97bb0768edeb3865e217653285e132488bbdace9	v1.3 asynchronous catch-up port	V02-input-performance-only
v131-reference/writer_flush_test_v131.go	/home/lilingfeng/tmp/juicefs-v01-r1-20260818-001227/tests/writer_flush_test.go	dd87551145829ec795b504fb7837c46993edd60a0b4ebbb02e163fc81bfc7b50	v1.3 adapted community tests	V02-input-performance-only
v131-reference/writer_flush_c02_test_v131.go	/home/lilingfeng/tmp/juicefs-v01-r1-20260818-001227/tests/writer_flush_c02_test.go	b698a0dee6831c6a031eb2553b8db7aa8ada54c33a2d8be486634a938f6dbfe4	v1.3 adapted semantic tests	V02-input-performance-only
reports/U01-execution-20260818-130955.md	/home/lilingfeng/demo/production/prod-deploy/debug/juicefs-03-8-flush-race-community/report/U01-execution-20260818-130955.md	f234bc630bb245c67dd8478be83ad09be7dbfb13912dbe3e5df76e27fbc3c5ab	latest-main execution plus Codex review	technical-pass-archive-partial-reviewed
evidence/raw/U01-20260818-130955/CURATION-NOTES.md	/home/lilingfeng/demo/production/prod-deploy/debug/juicefs-03-8-flush-race-community/community-materials/evidence/raw/U01-20260818-130955/CURATION-NOTES.md	3c7e35760b83a7fdbcca2656acd72881facb89195bd3d4bcd8ad15004b58f0ac	U01 curated evidence boundary	local-review-not-bulk-upload
evidence/raw/U01-20260818-130955/results.tsv	/home/lilingfeng/tmp/juicefs-u01-20260818-130955/results.tsv	78f318870adfae8032092b6871853240fa228817f05fd2bdead94b0f87f9a075	U01 result navigation index	technical-index-not-independent-oracle
evidence/raw/U01-20260818-130955/raw-evidence.tsv	/home/lilingfeng/tmp/juicefs-u01-20260818-130955/raw-evidence.tsv	6567fc2ff8469d0357277c2ffc199d4cb53ba2bca710a6f1efaa5766c2487f8b	U01 raw file size and hash index	curated-tree-coverage-verified
evidence/raw/U01-20260818-130955/commands.sh	/home/lilingfeng/tmp/juicefs-u01-20260818-130955/commands.sh	092d09eb6064c141ad3f806ebbb443e86f5eb424b7cbf919132c30f6cda81318	U01 command summary	post-archive-summary
evidence/raw/U01-20260818-130955/adaptations.tsv	/home/lilingfeng/tmp/juicefs-u01-20260818-130955/adaptations.tsv	21d8b230d5a3031f5e3dfd55b6fa5157c04888b708fa40cc8439bc9489b256bb	U01 adaptation summary	post-archive-summary
evidence/raw/U01-20260818-130955/artifacts/community-candidate-latest.patch	/home/lilingfeng/tmp/juicefs-u01-20260818-130955/artifacts/community-candidate-latest.patch	c5b188451c47ca8c88b7814bf2c7ea066df77fc193442a75dfb84472bfd5b5ec	U01 generated abbreviated-index patch	evidence-only-not-authoritative-candidate
evidence/archives/juicefs-c01-r1-20260816-232401-artifacts.tar.gz	/home/lilingfeng/tmp/juicefs-c01-r1-20260816-232401-artifacts.tar.gz	332397db1459937e035ff94f8b8264eb59374365f545aceef08f073778fbaaf1	deterministic mechanism historical archive	technical-pass-audit-non-compliant
evidence/archives/juicefs-c02-20260817-015425-artifacts.tar.gz	/home/lilingfeng/tmp/juicefs-c02-20260817-015425-artifacts.tar.gz	af4a1a445d888de51b4f23e64bf3a01bd9aa44196ef75f907b8078fe005c9c89	semantic fault count race historical archive	technical-pass-audit-non-compliant
evidence/archives/juicefs-c03-r2-20260817-183244-artifacts.tar.gz	/home/lilingfeng/tmp/juicefs-c03-r2-20260817-183244-artifacts.tar.gz	08174e2abb8413778540e3efb766328533e56b9aaf2a00d80dac0c23e51550f2	frozen-main historical archive	technical-pass-pr-readiness-blocked
reports/C01-R1-execution-20260816-232401.md	/home/lilingfeng/demo/production/prod-deploy/debug/juicefs-03-8-flush-race-community/report/C01-R1-execution-20260816-232401.md	7ad36658b0f1f64263612eade07b31eec3b6afde167de0a22bab3524d7a3a462	mechanism report with Codex review	historical-technical-evidence
reports/C02-execution-20260817-015425.md	/home/lilingfeng/demo/production/prod-deploy/debug/juicefs-03-8-flush-race-community/report/C02-execution-20260817-015425.md	0ffc1e0b1fc0ee646f8bb00e527e8e653aedf27c6a50a5253786c6255e4d056c	semantic report with Codex review	historical-technical-evidence
reports/C03-R2-execution-20260817-183244.md	/home/lilingfeng/demo/production/prod-deploy/debug/juicefs-03-8-flush-race-community/report/C03-R2-execution-20260817-183244.md	74b0989bcc605e94c6b967930bf4797c1a326eae7b289daab53fe4196921feb9	frozen-main report with Codex review	historical-technical-evidence
reports/C03-R3-execution-20260817-200133.md	/home/lilingfeng/demo/production/prod-deploy/debug/juicefs-03-8-flush-race-community/report/C03-R3-execution-20260817-200133.md	f180e6ad2f947879cc2528351e16d06eec780b97fada7a5ec1bb1ecff471580b	audit defect review	historical-boundary-only
reports/C03-R5-attempt3-execution-20260818-104714.md	/home/lilingfeng/demo/production/prod-deploy/debug/juicefs-03-8-flush-race-community/report/C03-R5-attempt3-execution-20260818-104714.md	5c855fa17461a0373ff354376fa6b96de5ff846c71d883a7c77987ff7f544f4e	C03 closure review	historical-boundary-only
reports/V01-R1-execution-20260818-001227.md	/home/lilingfeng/demo/production/prod-deploy/debug/juicefs-03-8-flush-race-community/report/V01-R1-execution-20260818-001227.md	e68338356b95234aedd67b0070cd713f7bd68fea04d7970b5c6ed66b77d2b337	v1.3 local evidence and performance boundary	V02-history
drafts/issue.md	/home/lilingfeng/demo/production/prod-deploy/debug/juicefs-03-8-flush-race-community/community-materials/drafts/issue.md	eef3336d46f53a1ca84db8df403a43bf3abe362202316cf60b8114adb34a07cb	U01-updated issue draft	ready-for-human-dynamic-review
drafts/pr.md	/home/lilingfeng/demo/production/prod-deploy/debug/juicefs-03-8-flush-race-community/community-materials/drafts/pr.md	87b7b4cced8e13cb66503afa152eddbafb652a821f7e3c315129b88270143cc2	U01-updated PR draft	ready-for-human-dynamic-review
drafts/commit-message.md	/home/lilingfeng/demo/production/prod-deploy/debug/juicefs-03-8-flush-race-community/community-materials/drafts/commit-message.md	fe76e8f1b301319b43e4c8ecd31c6ff415282a87a11115e5ed04bb74a1087b25	community commit message	ready-for-human-review
search/duplicate-review-status.txt	/home/lilingfeng/demo/production/prod-deploy/debug/juicefs-03-8-flush-race-community/community-materials/search/duplicate-review-status.txt	9cbdf403f35c6618eb80aa09f074e7d6b7bb9787e21f60d92630add99b80631c	2026-08-17 duplicate review status	stale-recheck-at-submission
