iteration	rc	marker_count	test_fail_count	forbidden_error	expectation_matched	log
01	1	1	1	NO	YES	logs/go125-S-stock-positive-01.log
02	1	1	1	NO	YES	logs/go125-S-stock-positive-02.log
03	1	1	1	NO	YES	logs/go125-S-stock-positive-03.log
04	1	1	1	NO	YES	logs/go125-S-stock-positive-04.log
05	1	1	1	NO	YES	logs/go125-S-stock-positive-05.log
06	1	1	1	NO	YES	logs/go125-S-stock-positive-06.log
07	1	1	1	NO	YES	logs/go125-S-stock-positive-07.log
08	1	1	1	NO	YES	logs/go125-S-stock-positive-08.log
09	1	1	1	NO	YES	logs/go125-S-stock-positive-09.log
10	1	1	1	NO	YES	logs/go125-S-stock-positive-10.log
