gate	go125	go126	overall	evidence
stock_oracle	YES	YES	YES	results.raw.tsv
A_repair_and_fault	YES	YES	YES	results.raw.tsv
A_stock_compatibility	KNOWN-DEVIATION	KNOWN-DEVIATION	KNOWN-DEVIATION	results.raw.tsv (C2/C3 KNOWN-DEVIATION)
B_repair	YES	YES	YES	results.raw.tsv
B_stock_compatibility	YES	YES	YES	results.raw.tsv
B_fault_and_freeze	YES	YES	YES	results.raw.tsv
B_count100	YES	YES	YES	rc/B-pass-count100
B_race20	YES	YES	YES	rc/B-pass-race-count20
source_and_asset_guards	YES	YES	YES	rc/*-diffcheck/path-guard/test-asset-identical
execution_audit	NO	NO	NO	xtrace-anchor-guard,forbidden-patterns
