toolchain	arm	test_id	test_name	actual_rc	expected_rc_class	marker_count	pass_count	fail_count	forbidden_count	log	expectation_matched
go125	S-stock	C1	TestC02PartialThenFullAfterIDDispatchesOnce	0	PASS	0	1	0	0	logs/go125-S-stock-C1.log	YES
go125	S-stock	C2	TestC02DelayedNewSliceDoesNotBlockWriteAt	0	PASS	0	1	0	0	logs/go125-S-stock-C2.log	YES
go125	S-stock	C3	TestC02NonEIONewSliceDoesNotRetryBeforeFlush	0	PASS	0	1	0	0	logs/go125-S-stock-C3.log	YES
go125	S-stock	F1	TestC02TransientEIORecoversOnFreeze	0	PASS	0	1	0	0	logs/go125-S-stock-F1.log	YES
go125	S-stock	F2	TestC02PermanentENOSPCAbortsFrozenSlice	0	PASS	0	1	0	0	logs/go125-S-stock-F2.log	YES
go125	S-stock	F3	TestC02FrozenSliceSkipsCatchupFlush	0	PASS	0	1	0	0	logs/go125-S-stock-F3.log	YES
go125	S-stock	R1	TestC02FullBlockDispatchAfterDelayedID	1	FAIL	1	0	1	0	logs/go125-S-stock-R1.log	YES
go125	S-stock	R2	TestC02MultiBlockDispatchUsesLatestLength	1	FAIL	1	0	1	0	logs/go125-S-stock-R2.log	YES
go125	S-stock	R3	TestC02FlushToFailureIsObservable	1	FAIL	1	0	1	0	logs/go125-S-stock-R3.log	YES
go125	A-sync	R1	TestC02FullBlockDispatchAfterDelayedID	0	PASS	0	1	0	0	logs/go125-A-sync-R1.log	YES
go125	A-sync	R2	TestC02MultiBlockDispatchUsesLatestLength	0	PASS	0	1	0	0	logs/go125-A-sync-R2.log	YES
go125	A-sync	R3	TestC02FlushToFailureIsObservable	0	PASS	0	1	0	0	logs/go125-A-sync-R3.log	YES
go125	A-sync	C1	TestC02PartialThenFullAfterIDDispatchesOnce	0	PASS	0	1	0	0	logs/go125-A-sync-C1.log	YES
go125	A-sync	C2	TestC02DelayedNewSliceDoesNotBlockWriteAt	1	FAIL	1	0	1	0	logs/go125-A-sync-C2.log	YES
go125	A-sync	C3	TestC02NonEIONewSliceDoesNotRetryBeforeFlush	1	FAIL	1	0	1	0	logs/go125-A-sync-C3.log	YES
go125	A-sync	F1	TestC02TransientEIORecoversOnFreeze	0	PASS	0	1	0	0	logs/go125-A-sync-F1.log	YES
go125	A-sync	F2	TestC02PermanentENOSPCAbortsFrozenSlice	0	PASS	0	1	0	0	logs/go125-A-sync-F2.log	YES
go125	A-sync	F3	TestC02FrozenSliceSkipsCatchupFlush	0	PASS	0	1	0	0	logs/go125-A-sync-F3.log	YES
go125	A-sync	K1	TestC02ConcurrentIndependentFullBlocks	0	PASS	0	1	0	0	logs/go125-A-sync-K1.log	YES
go125	B-async-catchup	R1	TestC02FullBlockDispatchAfterDelayedID	0	PASS	0	1	0	0	logs/go125-B-async-catchup-R1.log	YES
go125	B-async-catchup	R2	TestC02MultiBlockDispatchUsesLatestLength	0	PASS	0	1	0	0	logs/go125-B-async-catchup-R2.log	YES
go125	B-async-catchup	R3	TestC02FlushToFailureIsObservable	0	PASS	0	1	0	0	logs/go125-B-async-catchup-R3.log	YES
go125	B-async-catchup	C1	TestC02PartialThenFullAfterIDDispatchesOnce	0	PASS	0	1	0	0	logs/go125-B-async-catchup-C1.log	YES
go125	B-async-catchup	C2	TestC02DelayedNewSliceDoesNotBlockWriteAt	0	PASS	0	1	0	0	logs/go125-B-async-catchup-C2.log	YES
go125	B-async-catchup	C3	TestC02NonEIONewSliceDoesNotRetryBeforeFlush	0	PASS	0	1	0	0	logs/go125-B-async-catchup-C3.log	YES
go125	B-async-catchup	F1	TestC02TransientEIORecoversOnFreeze	0	PASS	0	1	0	0	logs/go125-B-async-catchup-F1.log	YES
go125	B-async-catchup	F2	TestC02PermanentENOSPCAbortsFrozenSlice	0	PASS	0	1	0	0	logs/go125-B-async-catchup-F2.log	YES
go125	B-async-catchup	F3	TestC02FrozenSliceSkipsCatchupFlush	0	PASS	0	1	0	0	logs/go125-B-async-catchup-F3.log	YES
go125	B-async-catchup	K1	TestC02ConcurrentIndependentFullBlocks	0	PASS	0	1	0	0	logs/go125-B-async-catchup-K1.log	YES
go126	S-stock	C1	TestC02PartialThenFullAfterIDDispatchesOnce	0	PASS	0	1	0	0	logs/go126-S-stock-C1.log	YES
go126	S-stock	C2	TestC02DelayedNewSliceDoesNotBlockWriteAt	0	PASS	0	1	0	0	logs/go126-S-stock-C2.log	YES
go126	S-stock	C3	TestC02NonEIONewSliceDoesNotRetryBeforeFlush	0	PASS	0	1	0	0	logs/go126-S-stock-C3.log	YES
go126	S-stock	F1	TestC02TransientEIORecoversOnFreeze	0	PASS	0	1	0	0	logs/go126-S-stock-F1.log	YES
go126	S-stock	F2	TestC02PermanentENOSPCAbortsFrozenSlice	0	PASS	0	1	0	0	logs/go126-S-stock-F2.log	YES
go126	S-stock	F3	TestC02FrozenSliceSkipsCatchupFlush	0	PASS	0	1	0	0	logs/go126-S-stock-F3.log	YES
go126	S-stock	R1	TestC02FullBlockDispatchAfterDelayedID	1	FAIL	1	0	1	0	logs/go126-S-stock-R1.log	YES
go126	S-stock	R2	TestC02MultiBlockDispatchUsesLatestLength	1	FAIL	1	0	1	0	logs/go126-S-stock-R2.log	YES
go126	S-stock	R3	TestC02FlushToFailureIsObservable	1	FAIL	1	0	1	0	logs/go126-S-stock-R3.log	YES
go126	A-sync	R1	TestC02FullBlockDispatchAfterDelayedID	0	PASS	0	1	0	0	logs/go126-A-sync-R1.log	YES
go126	A-sync	R2	TestC02MultiBlockDispatchUsesLatestLength	0	PASS	0	1	0	0	logs/go126-A-sync-R2.log	YES
go126	A-sync	R3	TestC02FlushToFailureIsObservable	0	PASS	0	1	0	0	logs/go126-A-sync-R3.log	YES
go126	A-sync	C1	TestC02PartialThenFullAfterIDDispatchesOnce	0	PASS	0	1	0	0	logs/go126-A-sync-C1.log	YES
go126	A-sync	C2	TestC02DelayedNewSliceDoesNotBlockWriteAt	1	FAIL	1	0	1	0	logs/go126-A-sync-C2.log	YES
go126	A-sync	C3	TestC02NonEIONewSliceDoesNotRetryBeforeFlush	1	FAIL	1	0	1	0	logs/go126-A-sync-C3.log	YES
go126	A-sync	F1	TestC02TransientEIORecoversOnFreeze	0	PASS	0	1	0	0	logs/go126-A-sync-F1.log	YES
go126	A-sync	F2	TestC02PermanentENOSPCAbortsFrozenSlice	0	PASS	0	1	0	0	logs/go126-A-sync-F2.log	YES
go126	A-sync	F3	TestC02FrozenSliceSkipsCatchupFlush	0	PASS	0	1	0	0	logs/go126-A-sync-F3.log	YES
go126	A-sync	K1	TestC02ConcurrentIndependentFullBlocks	0	PASS	0	1	0	0	logs/go126-A-sync-K1.log	YES
go126	B-async-catchup	R1	TestC02FullBlockDispatchAfterDelayedID	0	PASS	0	1	0	0	logs/go126-B-async-catchup-R1.log	YES
go126	B-async-catchup	R2	TestC02MultiBlockDispatchUsesLatestLength	0	PASS	0	1	0	0	logs/go126-B-async-catchup-R2.log	YES
go126	B-async-catchup	R3	TestC02FlushToFailureIsObservable	0	PASS	0	1	0	0	logs/go126-B-async-catchup-R3.log	YES
go126	B-async-catchup	C1	TestC02PartialThenFullAfterIDDispatchesOnce	0	PASS	0	1	0	0	logs/go126-B-async-catchup-C1.log	YES
go126	B-async-catchup	C2	TestC02DelayedNewSliceDoesNotBlockWriteAt	0	PASS	0	1	0	0	logs/go126-B-async-catchup-C2.log	YES
go126	B-async-catchup	C3	TestC02NonEIONewSliceDoesNotRetryBeforeFlush	0	PASS	0	1	0	0	logs/go126-B-async-catchup-C3.log	YES
go126	B-async-catchup	F1	TestC02TransientEIORecoversOnFreeze	0	PASS	0	1	0	0	logs/go126-B-async-catchup-F1.log	YES
go126	B-async-catchup	F2	TestC02PermanentENOSPCAbortsFrozenSlice	0	PASS	0	1	0	0	logs/go126-B-async-catchup-F2.log	YES
go126	B-async-catchup	F3	TestC02FrozenSliceSkipsCatchupFlush	0	PASS	0	1	0	0	logs/go126-B-async-catchup-F3.log	YES
go126	B-async-catchup	K1	TestC02ConcurrentIndependentFullBlocks	0	PASS	0	1	0	0	logs/go126-B-async-catchup-K1.log	YES
