gate	status	evidence
input_integrity	NOT_RUN	
upstream_freeze	NOT_RUN	
upstream_policy_ci	NOT_RUN	
upstream_stock_oracle	NOT_RUN	
B_standard_apply	NOT_RUN	
B_community_single	NOT_RUN	
B_community_count100	NOT_RUN	
B_community_race20	NOT_RUN	
Q_semantic_single	NOT_RUN	
Q_semantic_count100	NOT_RUN	
Q_semantic_race20	NOT_RUN	
B_full_vfs	NOT_RUN	
redis_lifecycle	NOT_RUN	
B_gofmt_diff_license	NOT_RUN	
B_tidy	NOT_RUN	
B_vet	NOT_RUN	
B_lint	NOT_RUN	
B_linux_build	NOT_RUN	
B_lite_build	NOT_RUN	
patch_replay	NOT_RUN	
community_search	NOT_RUN	
community_drafts_secret_scan	NOT_RUN	
source_asset_guards	NOT_RUN	
execution_audit	NOT_RUN	
