arm	tool	mode	test	actual_rc	expected_run	expected_pass	actual_pass	actual_fail	bad	log
S-oracle	go125	single	TestPartialBlockNotDispatchedWhenSliceIDBecomesReady	0	1	1	1	0	0	0	logs/go125-S-oracle-U2-single.log
S-oracle	go125	single	TestFullBlockDispatchedWhenSliceIDBecomesReady	1	1	1	0	1	0	0	logs/go125-S-oracle-U1-single.log
S-oracle	go125	single	TestFlushErrorRecordedWhenSliceIDBecomesReady	1	1	1	0	1	0	0	logs/go125-S-oracle-U3-single.log
S-oracle	go125	repeat10	TestFullBlockDispatchedWhenSliceIDBecomesReady	1	1	0	0	1	1	0	logs/go125-S-oracle-U1-repeat-01.log
S-oracle	go125	repeat10	TestFullBlockDispatchedWhenSliceIDBecomesReady	1	1	0	0	1	1	0	logs/go125-S-oracle-U1-repeat-02.log
S-oracle	go125	repeat10	TestFullBlockDispatchedWhenSliceIDBecomesReady	1	1	0	0	1	1	0	logs/go125-S-oracle-U1-repeat-03.log
S-oracle	go125	repeat10	TestFullBlockDispatchedWhenSliceIDBecomesReady	1	1	0	0	1	1	0	logs/go125-S-oracle-U1-repeat-04.log
S-oracle	go125	repeat10	TestFullBlockDispatchedWhenSliceIDBecomesReady	1	1	0	0	1	1	0	logs/go125-S-oracle-U1-repeat-05.log
S-oracle	go125	repeat10	TestFullBlockDispatchedWhenSliceIDBecomesReady	1	1	0	0	1	1	0	logs/go125-S-oracle-U1-repeat-06.log
S-oracle	go125	repeat10	TestFullBlockDispatchedWhenSliceIDBecomesReady	1	1	0	0	1	1	0	logs/go125-S-oracle-U1-repeat-07.log
S-oracle	go125	repeat10	TestFullBlockDispatchedWhenSliceIDBecomesReady	1	1	0	0	1	1	0	logs/go125-S-oracle-U1-repeat-08.log
S-oracle	go125	repeat10	TestFullBlockDispatchedWhenSliceIDBecomesReady	1	1	0	0	1	1	0	logs/go125-S-oracle-U1-repeat-09.log
S-oracle	go125	repeat10	TestFullBlockDispatchedWhenSliceIDBecomesReady	1	1	0	0	1	1	0	logs/go125-S-oracle-U1-repeat-10.log
S-oracle	go125	repeat10	TestFlushErrorRecordedWhenSliceIDBecomesReady	1	1	0	0	1	1	0	logs/go125-S-oracle-U3-repeat-01.log
S-oracle	go125	repeat10	TestFlushErrorRecordedWhenSliceIDBecomesReady	1	1	0	0	1	1	0	logs/go125-S-oracle-U3-repeat-02.log
S-oracle	go125	repeat10	TestFlushErrorRecordedWhenSliceIDBecomesReady	1	1	0	0	1	1	0	logs/go125-S-oracle-U3-repeat-03.log
S-oracle	go125	repeat10	TestFlushErrorRecordedWhenSliceIDBecomesReady	1	1	0	0	1	1	0	logs/go125-S-oracle-U3-repeat-04.log
S-oracle	go125	repeat10	TestFlushErrorRecordedWhenSliceIDBecomesReady	1	1	0	0	1	1	0	logs/go125-S-oracle-U3-repeat-05.log
S-oracle	go125	repeat10	TestFlushErrorRecordedWhenSliceIDBecomesReady	1	1	0	0	1	1	0	logs/go125-S-oracle-U3-repeat-06.log
S-oracle	go125	repeat10	TestFlushErrorRecordedWhenSliceIDBecomesReady	1	1	0	0	1	1	0	logs/go125-S-oracle-U3-repeat-07.log
S-oracle	go125	repeat10	TestFlushErrorRecordedWhenSliceIDBecomesReady	1	1	0	0	1	1	0	logs/go125-S-oracle-U3-repeat-08.log
S-oracle	go125	repeat10	TestFlushErrorRecordedWhenSliceIDBecomesReady	1	1	0	0	1	1	0	logs/go125-S-oracle-U3-repeat-09.log
S-oracle	go125	repeat10	TestFlushErrorRecordedWhenSliceIDBecomesReady	1	1	0	0	1	1	0	logs/go125-S-oracle-U3-repeat-10.log
S-oracle	go126	single	TestPartialBlockNotDispatchedWhenSliceIDBecomesReady	0	1	1	1	0	0	0	logs/go126-S-oracle-U2-single.log
S-oracle	go126	single	TestFullBlockDispatchedWhenSliceIDBecomesReady	1	1	1	0	1	0	0	logs/go126-S-oracle-U1-single.log
S-oracle	go126	single	TestFlushErrorRecordedWhenSliceIDBecomesReady	1	1	1	0	1	0	0	logs/go126-S-oracle-U3-single.log
S-oracle	go126	repeat10	TestFullBlockDispatchedWhenSliceIDBecomesReady	1	1	0	0	1	1	0	logs/go126-S-oracle-U1-repeat-01.log
S-oracle	go126	repeat10	TestFullBlockDispatchedWhenSliceIDBecomesReady	1	1	0	0	1	1	0	logs/go126-S-oracle-U1-repeat-02.log
S-oracle	go126	repeat10	TestFullBlockDispatchedWhenSliceIDBecomesReady	1	1	0	0	1	1	0	logs/go126-S-oracle-U1-repeat-03.log
S-oracle	go126	repeat10	TestFullBlockDispatchedWhenSliceIDBecomesReady	1	1	0	0	1	1	0	logs/go126-S-oracle-U1-repeat-04.log
S-oracle	go126	repeat10	TestFullBlockDispatchedWhenSliceIDBecomesReady	1	1	0	0	1	1	0	logs/go126-S-oracle-U1-repeat-05.log
S-oracle	go126	repeat10	TestFullBlockDispatchedWhenSliceIDBecomesReady	1	1	0	0	1	1	0	logs/go126-S-oracle-U1-repeat-06.log
S-oracle	go126	repeat10	TestFullBlockDispatchedWhenSliceIDBecomesReady	1	1	0	0	1	1	0	logs/go126-S-oracle-U1-repeat-07.log
S-oracle	go126	repeat10	TestFullBlockDispatchedWhenSliceIDBecomesReady	1	1	0	0	1	1	0	logs/go126-S-oracle-U1-repeat-08.log
S-oracle	go126	repeat10	TestFullBlockDispatchedWhenSliceIDBecomesReady	1	1	0	0	1	1	0	logs/go126-S-oracle-U1-repeat-09.log
S-oracle	go126	repeat10	TestFullBlockDispatchedWhenSliceIDBecomesReady	1	1	0	0	1	1	0	logs/go126-S-oracle-U1-repeat-10.log
S-oracle	go126	repeat10	TestFlushErrorRecordedWhenSliceIDBecomesReady	1	1	0	0	1	1	0	logs/go126-S-oracle-U3-repeat-01.log
S-oracle	go126	repeat10	TestFlushErrorRecordedWhenSliceIDBecomesReady	1	1	0	0	1	1	0	logs/go126-S-oracle-U3-repeat-02.log
S-oracle	go126	repeat10	TestFlushErrorRecordedWhenSliceIDBecomesReady	1	1	0	0	1	1	0	logs/go126-S-oracle-U3-repeat-03.log
S-oracle	go126	repeat10	TestFlushErrorRecordedWhenSliceIDBecomesReady	1	1	0	0	1	1	0	logs/go126-S-oracle-U3-repeat-04.log
S-oracle	go126	repeat10	TestFlushErrorRecordedWhenSliceIDBecomesReady	1	1	0	0	1	1	0	logs/go126-S-oracle-U3-repeat-05.log
S-oracle	go126	repeat10	TestFlushErrorRecordedWhenSliceIDBecomesReady	1	1	0	0	1	1	0	logs/go126-S-oracle-U3-repeat-06.log
S-oracle	go126	repeat10	TestFlushErrorRecordedWhenSliceIDBecomesReady	1	1	0	0	1	1	0	logs/go126-S-oracle-U3-repeat-07.log
S-oracle	go126	repeat10	TestFlushErrorRecordedWhenSliceIDBecomesReady	1	1	0	0	1	1	0	logs/go126-S-oracle-U3-repeat-08.log
S-oracle	go126	repeat10	TestFlushErrorRecordedWhenSliceIDBecomesReady	1	1	0	0	1	1	0	logs/go126-S-oracle-U3-repeat-09.log
S-oracle	go126	repeat10	TestFlushErrorRecordedWhenSliceIDBecomesReady	1	1	0	0	1	1	0	logs/go126-S-oracle-U3-repeat-10.log
