ts	key	value
1786678504	juicefs_fuse_ops_durations_histogram_seconds_total	187
1786678504	juicefs_fuse_ops_durations_histogram_seconds_sum	0.05961556800000001
1786678504	juicefs_used_buffer_size_bytes	0
1786678505	juicefs_fuse_ops_durations_histogram_seconds_total	9205
1786678505	juicefs_fuse_ops_durations_histogram_seconds_sum	36.913993668000025
1786678505	juicefs_fuse_ops_total_write	8621
1786678505	juicefs_object_request_durations_histogram_seconds_PUT_total	7853
1786678505	juicefs_object_request_durations_histogram_seconds_PUT_sum	60.00890271700034
1786678505	juicefs_used_buffer_size_bytes	311951360
1786678506	juicefs_fuse_ops_durations_histogram_seconds_total	21728
1786678506	juicefs_fuse_ops_durations_histogram_seconds_sum	161.52354866600027
1786678506	juicefs_fuse_ops_total_write	21137
1786678506	juicefs_object_request_durations_histogram_seconds_PUT_total	23317
1786678506	juicefs_object_request_durations_histogram_seconds_PUT_sum	186.59261993200002
1786678506	juicefs_used_buffer_size_bytes	39911424
1786678507	juicefs_fuse_ops_durations_histogram_seconds_total	33042
1786678507	juicefs_fuse_ops_durations_histogram_seconds_sum	286.9872841670022
1786678507	juicefs_fuse_ops_total_write	32384
1786678507	juicefs_object_request_durations_histogram_seconds_PUT_total	35217
1786678507	juicefs_object_request_durations_histogram_seconds_PUT_sum	243.9665954310003
1786678507	juicefs_used_buffer_size_bytes	10747904
1786678508	juicefs_fuse_ops_durations_histogram_seconds_total	43144
1786678508	juicefs_fuse_ops_durations_histogram_seconds_sum	409.0188315100056
1786678508	juicefs_fuse_ops_total_write	42374
1786678508	juicefs_object_request_durations_histogram_seconds_PUT_total	47438
1786678508	juicefs_object_request_durations_histogram_seconds_PUT_sum	309.5988801400028
1786678508	juicefs_used_buffer_size_bytes	21757952
1786678509	juicefs_fuse_ops_durations_histogram_seconds_total	53883
1786678509	juicefs_fuse_ops_durations_histogram_seconds_sum	536.3124283150061
1786678509	juicefs_fuse_ops_total_write	53092
1786678509	juicefs_object_request_durations_histogram_seconds_PUT_total	58999
1786678509	juicefs_object_request_durations_histogram_seconds_PUT_sum	359.20934385300154
