ts	key	value
1786681202	juicefs_fuse_ops_durations_histogram_seconds_total	187
1786681202	juicefs_fuse_ops_durations_histogram_seconds_sum	0.058881067000000016
1786681202	juicefs_used_buffer_size_bytes	0
1786681203	juicefs_fuse_ops_durations_histogram_seconds_total	3010
1786681203	juicefs_fuse_ops_durations_histogram_seconds_sum	13.668071533000015
1786681203	juicefs_fuse_ops_total_write	2427
1786681203	juicefs_object_request_durations_histogram_seconds_PUT_total	23
1786681203	juicefs_object_request_durations_histogram_seconds_PUT_sum	0.043140556000000004
1786681203	juicefs_used_buffer_size_bytes	630194176
1786681204	juicefs_fuse_ops_durations_histogram_seconds_total	5429
1786681204	juicefs_fuse_ops_durations_histogram_seconds_sum	165.02741714300052
1786681204	juicefs_fuse_ops_total_write	4835
1786681204	juicefs_object_request_durations_histogram_seconds_PUT_total	3703
1786681204	juicefs_object_request_durations_histogram_seconds_PUT_sum	21.35028160500001
1786681204	juicefs_used_buffer_size_bytes	630980608
1786681205	juicefs_fuse_ops_durations_histogram_seconds_total	7049
1786681205	juicefs_fuse_ops_durations_histogram_seconds_sum	307.42281315300073
1786681205	juicefs_fuse_ops_total_write	6294
1786681205	juicefs_object_request_durations_histogram_seconds_PUT_total	8178
1786681205	juicefs_object_request_durations_histogram_seconds_PUT_sum	41.87310076999995
1786681205	juicefs_used_buffer_size_bytes	385875968
1786681206	juicefs_fuse_ops_durations_histogram_seconds_total	8682
1786681206	juicefs_fuse_ops_durations_histogram_seconds_sum	426.2768369760006
1786681206	juicefs_fuse_ops_total_write	7916
1786681206	juicefs_object_request_durations_histogram_seconds_PUT_total	11741
1786681206	juicefs_object_request_durations_histogram_seconds_PUT_sum	51.914253166000044
1786681206	juicefs_used_buffer_size_bytes	549191680
1786681207	juicefs_fuse_ops_durations_histogram_seconds_total	10547
1786681207	juicefs_fuse_ops_durations_histogram_seconds_sum	534.567333268001
1786681207	juicefs_fuse_ops_total_write	9770
1786681207	juicefs_object_request_durations_histogram_seconds_PUT_total	16382
1786681207	juicefs_object_request_durations_histogram_seconds_PUT_sum	69.40818764600047
1786681207	juicefs_used_buffer_size_bytes	489684992
1786681208	juicefs_fuse_ops_durations_histogram_seconds_total	12927
1786681208	juicefs_fuse_ops_durations_histogram_seconds_sum	638.6166435140019
1786681208	juicefs_fuse_ops_total_write	12139
1786681208	juicefs_object_request_durations_histogram_seconds_PUT_total	20305
1786681208	juicefs_object_request_durations_histogram_seconds_PUT_sum	84.36317199100024
1786681208	juicefs_used_buffer_size_bytes	619184128
1786681209	juicefs_fuse_ops_durations_histogram_seconds_total	15355
1786681209	juicefs_fuse_ops_durations_histogram_seconds_sum	774.4590855260004
1786681209	juicefs_fuse_ops_total_write	14556
1786681209	juicefs_object_request_durations_histogram_seconds_PUT_total	22662
1786681209	juicefs_object_request_durations_histogram_seconds_PUT_sum	97.52930602900037
1786681209	juicefs_used_buffer_size_bytes	629407744
1786681210	juicefs_fuse_ops_durations_histogram_seconds_total	17945
1786681210	juicefs_fuse_ops_durations_histogram_seconds_sum	916.9295473829965
1786681210	juicefs_fuse_ops_total_write	16985
1786681210	juicefs_object_request_durations_histogram_seconds_PUT_total	25079
1786681210	juicefs_object_request_durations_histogram_seconds_PUT_sum	110.43282278100028
1786681210	juicefs_used_buffer_size_bytes	629669888
1786681211	juicefs_fuse_ops_durations_histogram_seconds_total	20355
1786681211	juicefs_fuse_ops_durations_histogram_seconds_sum	1053.1814769169955
1786681211	juicefs_fuse_ops_total_write	19384
1786681211	juicefs_object_request_durations_histogram_seconds_PUT_total	27477
1786681211	juicefs_object_request_durations_histogram_seconds_PUT_sum	121.14405903300049
1786681211	juicefs_used_buffer_size_bytes	638320640
1786681212	juicefs_fuse_ops_durations_histogram_seconds_total	22804
1786681212	juicefs_fuse_ops_durations_histogram_seconds_sum	1193.4077603480005
1786681212	juicefs_fuse_ops_total_write	21822
1786681212	juicefs_object_request_durations_histogram_seconds_PUT_total	30893
1786681212	juicefs_object_request_durations_histogram_seconds_PUT_sum	138.7874550680006
1786681212	juicefs_used_buffer_size_bytes	629145600
1786681213	juicefs_fuse_ops_durations_histogram_seconds_total	25159
1786681213	juicefs_fuse_ops_durations_histogram_seconds_sum	1328.2218059639983
1786681213	juicefs_fuse_ops_total_write	24166
1786681213	juicefs_object_request_durations_histogram_seconds_PUT_total	33736
1786681213	juicefs_object_request_durations_histogram_seconds_PUT_sum	151.82309327600103
1786681213	juicefs_used_buffer_size_bytes	629669888
1786681214	juicefs_fuse_ops_durations_histogram_seconds_total	26944
1786681214	juicefs_fuse_ops_durations_histogram_seconds_sum	1461.7315592379987
1786681214	juicefs_fuse_ops_total_write	25939
1786681214	juicefs_object_request_durations_histogram_seconds_PUT_total	35863
1786681214	juicefs_object_request_durations_histogram_seconds_PUT_sum	162.99198890100095
1786681214	juicefs_used_buffer_size_bytes	620232704
1786681215	juicefs_fuse_ops_durations_histogram_seconds_total	29028
1786681215	juicefs_fuse_ops_durations_histogram_seconds_sum	1583.735686024997
1786681215	juicefs_fuse_ops_total_write	27863
1786681215	juicefs_object_request_durations_histogram_seconds_PUT_total	37794
1786681215	juicefs_object_request_durations_histogram_seconds_PUT_sum	172.56203893100084
1786681215	juicefs_used_buffer_size_bytes	617873408
1786681216	juicefs_fuse_ops_durations_histogram_seconds_total	31154
1786681216	juicefs_fuse_ops_durations_histogram_seconds_sum	1714.0572453169943
1786681216	juicefs_fuse_ops_total_write	29978
1786681216	juicefs_object_request_durations_histogram_seconds_PUT_total	39865
1786681216	juicefs_object_request_durations_histogram_seconds_PUT_sum	182.14468940400147
1786681216	juicefs_used_buffer_size_bytes	629669888
1786681217	juicefs_fuse_ops_durations_histogram_seconds_total	33288
1786681217	juicefs_fuse_ops_durations_histogram_seconds_sum	1839.904017760999
1786681217	juicefs_fuse_ops_total_write	32101
1786681217	juicefs_object_request_durations_histogram_seconds_PUT_total	41988
1786681217	juicefs_object_request_durations_histogram_seconds_PUT_sum	193.55923153300128
1786681217	juicefs_used_buffer_size_bytes	629407744
1786681218	juicefs_fuse_ops_durations_histogram_seconds_total	35440
1786681218	juicefs_fuse_ops_durations_histogram_seconds_sum	1974.3371395199988
1786681218	juicefs_fuse_ops_total_write	34241
