ts	key	value
1786688654	juicefs_fuse_ops_durations_histogram_seconds_total	1767616
1786688654	juicefs_fuse_ops_durations_histogram_seconds_sum	88212.70629933063
1786688654	juicefs_fuse_ops_total_write	1729085
1786688654	juicefs_object_request_durations_histogram_seconds_PUT_total	2165053
1786688654	juicefs_object_request_durations_histogram_seconds_PUT_sum	9193.49808146816
1786688654	juicefs_used_buffer_size_bytes	8388608
1786688655	juicefs_fuse_ops_durations_histogram_seconds_total	1776189
1786688655	juicefs_fuse_ops_durations_histogram_seconds_sum	88242.88502500823
1786688655	juicefs_fuse_ops_total_write	1737262
1786688655	juicefs_object_request_durations_histogram_seconds_PUT_total	2172417
1786688655	juicefs_object_request_durations_histogram_seconds_PUT_sum	9248.402940131202
1786688655	juicefs_used_buffer_size_bytes	312737792
1786688656	juicefs_fuse_ops_durations_histogram_seconds_total	1792026
1786688656	juicefs_fuse_ops_durations_histogram_seconds_sum	88354.73892556629
1786688656	juicefs_fuse_ops_total_write	1753088
1786688656	juicefs_object_request_durations_histogram_seconds_PUT_total	2190345
1786688656	juicefs_object_request_durations_histogram_seconds_PUT_sum	9396.395949732252
1786688656	juicefs_used_buffer_size_bytes	287047680
1786688657	juicefs_fuse_ops_durations_histogram_seconds_total	1808427
1786688657	juicefs_fuse_ops_durations_histogram_seconds_sum	88468.56401272136
1786688657	juicefs_fuse_ops_total_write	1769478
1786688657	juicefs_object_request_durations_histogram_seconds_PUT_total	2208849
1786688657	juicefs_object_request_durations_histogram_seconds_PUT_sum	9547.613222221271
1786688657	juicefs_used_buffer_size_bytes	321650688
1786688658	juicefs_fuse_ops_durations_histogram_seconds_total	1825787
1786688658	juicefs_fuse_ops_durations_histogram_seconds_sum	88579.83106268586
1786688658	juicefs_fuse_ops_total_write	1786827
1786688658	juicefs_object_request_durations_histogram_seconds_PUT_total	2227814
1786688658	juicefs_object_request_durations_histogram_seconds_PUT_sum	9698.20136148312
1786688658	juicefs_used_buffer_size_bytes	315097088
1786688659	juicefs_fuse_ops_durations_histogram_seconds_total	1842339
1786688659	juicefs_fuse_ops_durations_histogram_seconds_sum	88695.24753879232
1786688659	juicefs_fuse_ops_total_write	1803218
1786688659	juicefs_object_request_durations_histogram_seconds_PUT_total	2245556
1786688659	juicefs_object_request_durations_histogram_seconds_PUT_sum	9848.342087675139
1786688659	juicefs_used_buffer_size_bytes	331874304
1786688660	juicefs_fuse_ops_durations_histogram_seconds_total	1858934
1786688660	juicefs_fuse_ops_durations_histogram_seconds_sum	88808.63573876658
1786688660	juicefs_fuse_ops_total_write	1819802
1786688660	juicefs_object_request_durations_histogram_seconds_PUT_total	2263265
1786688660	juicefs_object_request_durations_histogram_seconds_PUT_sum	9998.39644632312
1786688660	juicefs_used_buffer_size_bytes	329515008
1786688661	juicefs_fuse_ops_durations_histogram_seconds_total	1874789
1786688661	juicefs_fuse_ops_durations_histogram_seconds_sum	88923.0662699956
1786688661	juicefs_fuse_ops_total_write	1835646
1786688661	juicefs_object_request_durations_histogram_seconds_PUT_total	2280541
1786688661	juicefs_object_request_durations_histogram_seconds_PUT_sum	10149.733137933083
1786688661	juicefs_used_buffer_size_bytes	310378496
1786688662	juicefs_fuse_ops_durations_histogram_seconds_total	1891769
1786688662	juicefs_fuse_ops_durations_histogram_seconds_sum	89037.02862291304
1786688662	juicefs_fuse_ops_total_write	1852615
1786688662	juicefs_object_request_durations_histogram_seconds_PUT_total	2298706
1786688662	juicefs_object_request_durations_histogram_seconds_PUT_sum	10300.43473403103
1786688662	juicefs_used_buffer_size_bytes	321126400
1786688663	juicefs_fuse_ops_durations_histogram_seconds_total	1908043
1786688663	juicefs_fuse_ops_durations_histogram_seconds_sum	89151.778128185
1786688663	juicefs_fuse_ops_total_write	1868878
1786688663	juicefs_object_request_durations_histogram_seconds_PUT_total	2315883
1786688663	juicefs_object_request_durations_histogram_seconds_PUT_sum	10450.54095802201
1786688663	juicefs_used_buffer_size_bytes	312213504
1786688664	juicefs_fuse_ops_durations_histogram_seconds_total	1923720
1786688664	juicefs_fuse_ops_durations_histogram_seconds_sum	89264.46128524937
1786688664	juicefs_fuse_ops_total_write	1884394
1786688664	juicefs_object_request_durations_histogram_seconds_PUT_total	2332890
1786688664	juicefs_object_request_durations_histogram_seconds_PUT_sum	10590.66068364008
1786688664	juicefs_used_buffer_size_bytes	306970624
1786688665	juicefs_fuse_ops_durations_histogram_seconds_total	1940294
1786688665	juicefs_fuse_ops_durations_histogram_seconds_sum	89370.81099239584
1786688665	juicefs_fuse_ops_total_write	1900957
1786688665	juicefs_object_request_durations_histogram_seconds_PUT_total	2350708
1786688665	juicefs_object_request_durations_histogram_seconds_PUT_sum	10732.440284096037
1786688665	juicefs_used_buffer_size_bytes	307494912
1786688666	juicefs_fuse_ops_durations_histogram_seconds_total	1945650
1786688666	juicefs_fuse_ops_durations_histogram_seconds_sum	89494.12870780104
1786688666	juicefs_fuse_ops_total_write	1906302
1786688666	juicefs_object_request_durations_histogram_seconds_PUT_total	2359422
1786688666	juicefs_object_request_durations_histogram_seconds_PUT_sum	10772.110341119054
1786688666	juicefs_used_buffer_size_bytes	8388608
1786688667	juicefs_fuse_ops_durations_histogram_seconds_total	1948686
1786688667	juicefs_fuse_ops_durations_histogram_seconds_sum	89605.17462579816
1786688667	juicefs_fuse_ops_total_write	1909327
1786688667	juicefs_object_request_durations_histogram_seconds_PUT_total	2364217
1786688667	juicefs_object_request_durations_histogram_seconds_PUT_sum	10780.113118263173
1786688667	juicefs_used_buffer_size_bytes	9699328
1786688668	juicefs_fuse_ops_durations_histogram_seconds_total	1951582
1786688668	juicefs_fuse_ops_durations_histogram_seconds_sum	89715.80596219057
1786688668	juicefs_fuse_ops_total_write	1912212
1786688668	juicefs_object_request_durations_histogram_seconds_PUT_total	2368057
1786688668	juicefs_object_request_durations_histogram_seconds_PUT_sum	10786.519938277188
1786688668	juicefs_used_buffer_size_bytes	8912896
1786688669	juicefs_fuse_ops_durations_histogram_seconds_total	1954797
1786688669	juicefs_fuse_ops_durations_histogram_seconds_sum	89822.94757965884
1786688669	juicefs_fuse_ops_total_write	1915266
1786688669	juicefs_object_request_durations_histogram_seconds_PUT_total	2371703
1786688669	juicefs_object_request_durations_histogram_seconds_PUT_sum	10792.69582471022
1786688669	juicefs_used_buffer_size_bytes	15204352
1786688670	juicefs_fuse_ops_durations_histogram_seconds_total	1958279
1786688670	juicefs_fuse_ops_durations_histogram_seconds_sum	89926.87605757102
1786688670	juicefs_fuse_ops_total_write	1918737
1786688670	juicefs_object_request_durations_histogram_seconds_PUT_total	2375441
1786688670	juicefs_object_request_durations_histogram_seconds_PUT_sum	10798.573406613219
1786688670	juicefs_used_buffer_size_bytes	8388608
1786688671	juicefs_fuse_ops_durations_histogram_seconds_total	1962186
1786688671	juicefs_fuse_ops_durations_histogram_seconds_sum	90028.74301485872
1786688671	juicefs_fuse_ops_total_write	1922633
1786688671	juicefs_object_request_durations_histogram_seconds_PUT_total	2379653
1786688671	juicefs_object_request_durations_histogram_seconds_PUT_sum	10805.786161624266
1786688671	juicefs_used_buffer_size_bytes	8912896
1786688672	juicefs_fuse_ops_durations_histogram_seconds_total	1965267
1786688672	juicefs_fuse_ops_durations_histogram_seconds_sum	90129.35796045371
1786688672	juicefs_fuse_ops_total_write	1925703
1786688672	juicefs_object_request_durations_histogram_seconds_PUT_total	2383602
1786688672	juicefs_object_request_durations_histogram_seconds_PUT_sum	10812.630671008226
1786688672	juicefs_used_buffer_size_bytes	11534336
1786688673	juicefs_fuse_ops_durations_histogram_seconds_total	1968622
1786688673	juicefs_fuse_ops_durations_histogram_seconds_sum	90231.23385117087
1786688673	juicefs_fuse_ops_total_write	1929047
1786688673	juicefs_object_request_durations_histogram_seconds_PUT_total	2387800
1786688673	juicefs_object_request_durations_histogram_seconds_PUT_sum	10820.032760161259
1786688673	juicefs_used_buffer_size_bytes	9437184
1786688674	juicefs_fuse_ops_durations_histogram_seconds_total	1971773
1786688674	juicefs_fuse_ops_durations_histogram_seconds_sum	90326.5869231797
1786688674	juicefs_fuse_ops_total_write	1932037
1786688674	juicefs_object_request_durations_histogram_seconds_PUT_total	2391556
1786688674	juicefs_object_request_durations_histogram_seconds_PUT_sum	10827.757772151313
1786688674	juicefs_used_buffer_size_bytes	8650752
1786688675	juicefs_fuse_ops_durations_histogram_seconds_total	1974262
1786688675	juicefs_fuse_ops_durations_histogram_seconds_sum	90422.94824884464
1786688675	juicefs_fuse_ops_total_write	1934515
1786688675	juicefs_object_request_durations_histogram_seconds_PUT_total	2394094
1786688675	juicefs_object_request_durations_histogram_seconds_PUT_sum	10831.834691935303
1786688675	juicefs_used_buffer_size_bytes	8912896
1786688676	juicefs_fuse_ops_durations_histogram_seconds_total	1976952
1786688676	juicefs_fuse_ops_durations_histogram_seconds_sum	90515.48634985863
1786688676	juicefs_fuse_ops_total_write	1937194
1786688676	juicefs_object_request_durations_histogram_seconds_PUT_total	2397809
1786688676	juicefs_object_request_durations_histogram_seconds_PUT_sum	10837.380528452268
1786688676	juicefs_used_buffer_size_bytes	15466496
1786688677	juicefs_fuse_ops_durations_histogram_seconds_total	1980248
1786688677	juicefs_fuse_ops_durations_histogram_seconds_sum	90602.89427967391
1786688677	juicefs_fuse_ops_total_write	1940479
1786688677	juicefs_object_request_durations_histogram_seconds_PUT_total	2401953
1786688677	juicefs_object_request_durations_histogram_seconds_PUT_sum	10843.879444476279
1786688677	juicefs_used_buffer_size_bytes	13107200
1786688678	juicefs_fuse_ops_durations_histogram_seconds_total	1983521
1786688678	juicefs_fuse_ops_durations_histogram_seconds_sum	90688.0265539717
1786688678	juicefs_fuse_ops_total_write	1943741
1786688678	juicefs_object_request_durations_histogram_seconds_PUT_total	2405565
1786688678	juicefs_object_request_durations_histogram_seconds_PUT_sum	10849.465496256305
1786688678	juicefs_used_buffer_size_bytes	8388608
1786688679	juicefs_fuse_ops_durations_histogram_seconds_total	1987269
1786688679	juicefs_fuse_ops_durations_histogram_seconds_sum	90768.3568459485
1786688679	juicefs_fuse_ops_total_write	1947328
1786688679	juicefs_object_request_durations_histogram_seconds_PUT_total	2409656
1786688679	juicefs_object_request_durations_histogram_seconds_PUT_sum	10856.954764190277
1786688679	juicefs_used_buffer_size_bytes	10485760
1786688680	juicefs_fuse_ops_durations_histogram_seconds_total	1989491
1786688680	juicefs_fuse_ops_durations_histogram_seconds_sum	90853.37615785337
1786688680	juicefs_fuse_ops_total_write	1949539
