ts	key	value
1786687552	juicefs_fuse_ops_durations_histogram_seconds_total	2667590
1786687552	juicefs_fuse_ops_durations_histogram_seconds_sum	101097.06621395473
1786687552	juicefs_fuse_ops_total_write	2623625
1786687552	juicefs_object_request_durations_histogram_seconds_PUT_total	3080585
1786687552	juicefs_object_request_durations_histogram_seconds_PUT_sum	13815.716114974719
1786687552	juicefs_used_buffer_size_bytes	8388608
1786687553	juicefs_fuse_ops_durations_histogram_seconds_total	2675784
1786687553	juicefs_fuse_ops_durations_histogram_seconds_sum	101132.143502979
1786687553	juicefs_fuse_ops_total_write	2631405
1786687553	juicefs_object_request_durations_histogram_seconds_PUT_total	3087446
1786687553	juicefs_object_request_durations_histogram_seconds_PUT_sum	13873.121131303706
1786687553	juicefs_used_buffer_size_bytes	316932096
1786687554	juicefs_fuse_ops_durations_histogram_seconds_total	2690667
1786687554	juicefs_fuse_ops_durations_histogram_seconds_sum	101250.24945313933
1786687554	juicefs_fuse_ops_total_write	2646277
1786687554	juicefs_object_request_durations_histogram_seconds_PUT_total	3103321
1786687554	juicefs_object_request_durations_histogram_seconds_PUT_sum	14023.333502659805
1786687554	juicefs_used_buffer_size_bytes	313524224
1786687555	juicefs_fuse_ops_durations_histogram_seconds_total	2704866
1786687555	juicefs_fuse_ops_durations_histogram_seconds_sum	101371.23312391866
1786687555	juicefs_fuse_ops_total_write	2660326
1786687555	juicefs_object_request_durations_histogram_seconds_PUT_total	3118525
1786687555	juicefs_object_request_durations_histogram_seconds_PUT_sum	14174.1283433317
1786687555	juicefs_used_buffer_size_bytes	377487360
1786687556	juicefs_fuse_ops_durations_histogram_seconds_total	2718948
1786687556	juicefs_fuse_ops_durations_histogram_seconds_sum	101492.39199507156
1786687556	juicefs_fuse_ops_total_write	2674386
1786687556	juicefs_object_request_durations_histogram_seconds_PUT_total	3134360
1786687556	juicefs_object_request_durations_histogram_seconds_PUT_sum	14324.625870102736
1786687556	juicefs_used_buffer_size_bytes	308281344
1786687557	juicefs_fuse_ops_durations_histogram_seconds_total	2733455
1786687557	juicefs_fuse_ops_durations_histogram_seconds_sum	101612.68663102831
1786687557	juicefs_fuse_ops_total_write	2688882
1786687557	juicefs_object_request_durations_histogram_seconds_PUT_total	3149908
1786687557	juicefs_object_request_durations_histogram_seconds_PUT_sum	14474.53879520982
1786687557	juicefs_used_buffer_size_bytes	318767104
1786687558	juicefs_fuse_ops_durations_histogram_seconds_total	2749343
1786687558	juicefs_fuse_ops_durations_histogram_seconds_sum	101728.59800244517
1786687558	juicefs_fuse_ops_total_write	2704759
1786687558	juicefs_object_request_durations_histogram_seconds_PUT_total	3166530
1786687558	juicefs_object_request_durations_histogram_seconds_PUT_sum	14625.971540597857
1786687558	juicefs_used_buffer_size_bytes	299368448
1786687559	juicefs_fuse_ops_durations_histogram_seconds_total	2763964
1786687559	juicefs_fuse_ops_durations_histogram_seconds_sum	101848.20817882277
1786687559	juicefs_fuse_ops_total_write	2719369
1786687559	juicefs_object_request_durations_histogram_seconds_PUT_total	3182021
1786687559	juicefs_object_request_durations_histogram_seconds_PUT_sum	14776.619578424748
1786687559	juicefs_used_buffer_size_bytes	300941312
1786687560	juicefs_fuse_ops_durations_histogram_seconds_total	2780608
1786687560	juicefs_fuse_ops_durations_histogram_seconds_sum	101962.41185051111
