ts	key	value
1786693954	juicefs_fuse_ops_durations_histogram_seconds_total	3235574
1786693954	juicefs_fuse_ops_durations_histogram_seconds_sum	53897.070086387
1786693954	juicefs_fuse_ops_total_write	3214087
1786693954	juicefs_object_request_durations_histogram_seconds_PUT_total	3448839
1786693954	juicefs_object_request_durations_histogram_seconds_PUT_sum	19994.116387412014
1786693954	juicefs_used_buffer_size_bytes	8388608
1786693955	juicefs_fuse_ops_durations_histogram_seconds_total	3245023
1786693955	juicefs_fuse_ops_durations_histogram_seconds_sum	53933.84108655247
1786693955	juicefs_fuse_ops_total_write	3222990
1786693955	juicefs_object_request_durations_histogram_seconds_PUT_total	3457089
1786693955	juicefs_object_request_durations_histogram_seconds_PUT_sum	20056.538878716816
1786693955	juicefs_used_buffer_size_bytes	315097088
1786693956	juicefs_fuse_ops_durations_histogram_seconds_total	3261672
1786693956	juicefs_fuse_ops_durations_histogram_seconds_sum	54049.62518718554
1786693956	juicefs_fuse_ops_total_write	3239619
1786693956	juicefs_object_request_durations_histogram_seconds_PUT_total	3475090
1786693956	juicefs_object_request_durations_histogram_seconds_PUT_sum	20206.954363504792
1786693956	juicefs_used_buffer_size_bytes	327417856
1786693957	juicefs_fuse_ops_durations_histogram_seconds_total	3275174
1786693957	juicefs_fuse_ops_durations_histogram_seconds_sum	54172.17903938862
1786693957	juicefs_fuse_ops_total_write	3253119
1786693957	juicefs_object_request_durations_histogram_seconds_PUT_total	3489536
1786693957	juicefs_object_request_durations_histogram_seconds_PUT_sum	20357.36508291583
1786693957	juicefs_used_buffer_size_bytes	310378496
1786693958	juicefs_fuse_ops_durations_histogram_seconds_total	3288783
1786693958	juicefs_fuse_ops_durations_histogram_seconds_sum	54295.21070511764
1786693958	juicefs_fuse_ops_total_write	3266712
1786693958	juicefs_object_request_durations_histogram_seconds_PUT_total	3503739
1786693958	juicefs_object_request_durations_histogram_seconds_PUT_sum	20508.438443873954
1786693958	juicefs_used_buffer_size_bytes	319815680
1786693959	juicefs_fuse_ops_durations_histogram_seconds_total	3301107
1786693959	juicefs_fuse_ops_durations_histogram_seconds_sum	54419.98140118744
1786693959	juicefs_fuse_ops_total_write	3279030
1786693959	juicefs_object_request_durations_histogram_seconds_PUT_total	3517379
1786693959	juicefs_object_request_durations_histogram_seconds_PUT_sum	20659.12608185393
1786693959	juicefs_used_buffer_size_bytes	321650688
1786693960	juicefs_fuse_ops_durations_histogram_seconds_total	3315556
1786693960	juicefs_fuse_ops_durations_histogram_seconds_sum	54540.52369864551
1786693960	juicefs_fuse_ops_total_write	3293318
1786693960	juicefs_object_request_durations_histogram_seconds_PUT_total	3532551
1786693960	juicefs_object_request_durations_histogram_seconds_PUT_sum	20810.012355324165
1786693960	juicefs_used_buffer_size_bytes	313524224
1786693961	juicefs_fuse_ops_durations_histogram_seconds_total	3333839
1786693961	juicefs_fuse_ops_durations_histogram_seconds_sum	54647.78679280923
1786693961	juicefs_fuse_ops_total_write	3311590
1786693961	juicefs_object_request_durations_histogram_seconds_PUT_total	3551817
1786693961	juicefs_object_request_durations_histogram_seconds_PUT_sum	20958.647271314225
1786693961	juicefs_used_buffer_size_bytes	319029248
1786693962	juicefs_fuse_ops_durations_histogram_seconds_total	3352060
1786693962	juicefs_fuse_ops_durations_histogram_seconds_sum	54760.248084086445
1786693962	juicefs_fuse_ops_total_write	3329795
1786693962	juicefs_object_request_durations_histogram_seconds_PUT_total	3571252
1786693962	juicefs_object_request_durations_histogram_seconds_PUT_sum	21110.167208980234
1786693962	juicefs_used_buffer_size_bytes	320077824
1786693963	juicefs_fuse_ops_durations_histogram_seconds_total	3371091
1786693963	juicefs_fuse_ops_durations_histogram_seconds_sum	54872.484056054134
1786693963	juicefs_fuse_ops_total_write	3348820
1786693963	juicefs_object_request_durations_histogram_seconds_PUT_total	3591026
1786693963	juicefs_object_request_durations_histogram_seconds_PUT_sum	21260.793951437037
1786693963	juicefs_used_buffer_size_bytes	301203456
1786693964	juicefs_fuse_ops_durations_histogram_seconds_total	3387577
1786693964	juicefs_fuse_ops_durations_histogram_seconds_sum	54987.80000106122
1786693964	juicefs_fuse_ops_total_write	3365317
1786693964	juicefs_object_request_durations_histogram_seconds_PUT_total	3608739
1786693964	juicefs_object_request_durations_histogram_seconds_PUT_sum	21411.462636431075
1786693964	juicefs_used_buffer_size_bytes	268959744
1786693965	juicefs_fuse_ops_durations_histogram_seconds_total	3404029
1786693965	juicefs_fuse_ops_durations_histogram_seconds_sum	55091.534574645215
1786693965	juicefs_fuse_ops_total_write	3381586
1786693965	juicefs_object_request_durations_histogram_seconds_PUT_total	3627266
1786693965	juicefs_object_request_durations_histogram_seconds_PUT_sum	21560.6926299825
1786693965	juicefs_used_buffer_size_bytes	10223616
1786693966	juicefs_fuse_ops_durations_histogram_seconds_total	3417284
1786693966	juicefs_fuse_ops_durations_histogram_seconds_sum	55221.07020977514
1786693966	juicefs_fuse_ops_total_write	3394830
1786693966	juicefs_object_request_durations_histogram_seconds_PUT_total	3642000
1786693966	juicefs_object_request_durations_histogram_seconds_PUT_sum	21659.393600704563
1786693966	juicefs_used_buffer_size_bytes	13893632
1786693967	juicefs_fuse_ops_durations_histogram_seconds_total	3422132
1786693967	juicefs_fuse_ops_durations_histogram_seconds_sum	55347.07537231293
1786693967	juicefs_fuse_ops_total_write	3399669
1786693967	juicefs_object_request_durations_histogram_seconds_PUT_total	3649279
1786693967	juicefs_object_request_durations_histogram_seconds_PUT_sum	21675.090884656547
1786693967	juicefs_used_buffer_size_bytes	16252928
1786693968	juicefs_fuse_ops_durations_histogram_seconds_total	3427101
1786693968	juicefs_fuse_ops_durations_histogram_seconds_sum	55475.83858075181
1786693968	juicefs_fuse_ops_total_write	3404625
1786693968	juicefs_object_request_durations_histogram_seconds_PUT_total	3655249
1786693968	juicefs_object_request_durations_histogram_seconds_PUT_sum	21687.152472521557
1786693968	juicefs_used_buffer_size_bytes	8388608
1786693969	juicefs_fuse_ops_durations_histogram_seconds_total	3431816
1786693969	juicefs_fuse_ops_durations_histogram_seconds_sum	55605.98796833391
1786693969	juicefs_fuse_ops_total_write	3409329
1786693969	juicefs_object_request_durations_histogram_seconds_PUT_total	3659942
1786693969	juicefs_object_request_durations_histogram_seconds_PUT_sum	21696.373700865493
1786693969	juicefs_used_buffer_size_bytes	11010048
1786693970	juicefs_fuse_ops_durations_histogram_seconds_total	3436883
1786693970	juicefs_fuse_ops_durations_histogram_seconds_sum	55732.71008211505
1786693970	juicefs_fuse_ops_total_write	3414235
1786693970	juicefs_object_request_durations_histogram_seconds_PUT_total	3665114
1786693970	juicefs_object_request_durations_histogram_seconds_PUT_sum	21706.342889618605
1786693970	juicefs_used_buffer_size_bytes	8650752
1786693971	juicefs_fuse_ops_durations_histogram_seconds_total	3440351
1786693971	juicefs_fuse_ops_durations_histogram_seconds_sum	55859.846401290124
1786693971	juicefs_fuse_ops_total_write	3417692
1786693971	juicefs_object_request_durations_histogram_seconds_PUT_total	3668605
1786693971	juicefs_object_request_durations_histogram_seconds_PUT_sum	21713.383824793647
1786693971	juicefs_used_buffer_size_bytes	9175040
1786693972	juicefs_fuse_ops_durations_histogram_seconds_total	3444662
1786693972	juicefs_fuse_ops_durations_histogram_seconds_sum	55989.66529880092
1786693972	juicefs_fuse_ops_total_write	3421994
1786693972	juicefs_object_request_durations_histogram_seconds_PUT_total	3673076
1786693972	juicefs_object_request_durations_histogram_seconds_PUT_sum	21721.91671678161
1786693972	juicefs_used_buffer_size_bytes	22544384
1786693973	juicefs_fuse_ops_durations_histogram_seconds_total	3450799
1786693973	juicefs_fuse_ops_durations_histogram_seconds_sum	56114.395343731274
1786693973	juicefs_fuse_ops_total_write	3428118
1786693973	juicefs_object_request_durations_histogram_seconds_PUT_total	3679489
1786693973	juicefs_object_request_durations_histogram_seconds_PUT_sum	21735.44344203267
1786693973	juicefs_used_buffer_size_bytes	13631488
1786693974	juicefs_fuse_ops_durations_histogram_seconds_total	3455753
1786693974	juicefs_fuse_ops_durations_histogram_seconds_sum	56243.310574853465
1786693974	juicefs_fuse_ops_total_write	3433061
1786693974	juicefs_object_request_durations_histogram_seconds_PUT_total	3684453
1786693974	juicefs_object_request_durations_histogram_seconds_PUT_sum	21745.58407276972
1786693974	juicefs_used_buffer_size_bytes	8388608
1786693975	juicefs_fuse_ops_durations_histogram_seconds_total	3458747
1786693975	juicefs_fuse_ops_durations_histogram_seconds_sum	56367.90144698937
1786693975	juicefs_fuse_ops_total_write	3435894
1786693975	juicefs_object_request_durations_histogram_seconds_PUT_total	3687286
1786693975	juicefs_object_request_durations_histogram_seconds_PUT_sum	21750.5613987787
1786693975	juicefs_used_buffer_size_bytes	8388608
1786693976	juicefs_fuse_ops_durations_histogram_seconds_total	3462020
1786693976	juicefs_fuse_ops_durations_histogram_seconds_sum	56497.702662654505
1786693976	juicefs_fuse_ops_total_write	3439156
1786693976	juicefs_object_request_durations_histogram_seconds_PUT_total	3690533
1786693976	juicefs_object_request_durations_histogram_seconds_PUT_sum	21756.56763756763
1786693976	juicefs_used_buffer_size_bytes	12320768
1786693977	juicefs_fuse_ops_durations_histogram_seconds_total	3466048
1786693977	juicefs_fuse_ops_durations_histogram_seconds_sum	56627.161571488716
1786693977	juicefs_fuse_ops_total_write	3443173
1786693977	juicefs_object_request_durations_histogram_seconds_PUT_total	3694562
1786693977	juicefs_object_request_durations_histogram_seconds_PUT_sum	21763.442043236657
1786693977	juicefs_used_buffer_size_bytes	9175040
1786693978	juicefs_fuse_ops_durations_histogram_seconds_total	3469532
1786693978	juicefs_fuse_ops_durations_histogram_seconds_sum	56755.18678628468
1786693978	juicefs_fuse_ops_total_write	3446644
1786693978	juicefs_object_request_durations_histogram_seconds_PUT_total	3698020
1786693978	juicefs_object_request_durations_histogram_seconds_PUT_sum	21769.195580205618
1786693978	juicefs_used_buffer_size_bytes	14680064
1786693979	juicefs_fuse_ops_durations_histogram_seconds_total	3473576
1786693979	juicefs_fuse_ops_durations_histogram_seconds_sum	56882.27977248467
1786693979	juicefs_fuse_ops_total_write	3450679
1786693979	juicefs_object_request_durations_histogram_seconds_PUT_total	3702222
1786693979	juicefs_object_request_durations_histogram_seconds_PUT_sum	21777.236283267615
1786693979	juicefs_used_buffer_size_bytes	9437184
1786693980	juicefs_fuse_ops_durations_histogram_seconds_total	3477315
1786693980	juicefs_fuse_ops_durations_histogram_seconds_sum	57010.71081861067
1786693980	juicefs_fuse_ops_total_write	3454257
1786693980	juicefs_object_request_durations_histogram_seconds_PUT_total	3706496
1786693980	juicefs_object_request_durations_histogram_seconds_PUT_sum	21785.211017641526
