ts	key	value
1786691786	juicefs_fuse_ops_durations_histogram_seconds_total	1652008
1786691786	juicefs_fuse_ops_durations_histogram_seconds_sum	16330.957617339582
1786691786	juicefs_fuse_ops_total_write	1645016
1786691786	juicefs_object_request_durations_histogram_seconds_PUT_total	1764568
1786691786	juicefs_object_request_durations_histogram_seconds_PUT_sum	13667.482781193183
1786691786	juicefs_used_buffer_size_bytes	8388608
1786691787	juicefs_fuse_ops_durations_histogram_seconds_total	1660866
1786691787	juicefs_fuse_ops_durations_histogram_seconds_sum	16367.771448754575
1786691787	juicefs_fuse_ops_total_write	1653478
1786691787	juicefs_object_request_durations_histogram_seconds_PUT_total	1772115
1786691787	juicefs_object_request_durations_histogram_seconds_PUT_sum	13726.883702632194
1786691787	juicefs_used_buffer_size_bytes	328728576
1786691788	juicefs_fuse_ops_durations_histogram_seconds_total	1677893
1786691788	juicefs_fuse_ops_durations_histogram_seconds_sum	16480.60928943241
1786691788	juicefs_fuse_ops_total_write	1670494
1786691788	juicefs_object_request_durations_histogram_seconds_PUT_total	1790162
1786691788	juicefs_object_request_durations_histogram_seconds_PUT_sum	13877.7890177142
1786691788	juicefs_used_buffer_size_bytes	306184192
1786691789	juicefs_fuse_ops_durations_histogram_seconds_total	1694388
1786691789	juicefs_fuse_ops_durations_histogram_seconds_sum	16593.60519236953
1786691789	juicefs_fuse_ops_total_write	1686978
1786691789	juicefs_object_request_durations_histogram_seconds_PUT_total	1807734
1786691789	juicefs_object_request_durations_histogram_seconds_PUT_sum	14028.392005015223
1786691789	juicefs_used_buffer_size_bytes	287571968
1786691790	juicefs_fuse_ops_durations_histogram_seconds_total	1712962
1786691790	juicefs_fuse_ops_durations_histogram_seconds_sum	16707.76601919753
1786691790	juicefs_fuse_ops_total_write	1705384
1786691790	juicefs_object_request_durations_histogram_seconds_PUT_total	1826641
1786691790	juicefs_object_request_durations_histogram_seconds_PUT_sum	14179.550212453149
1786691790	juicefs_used_buffer_size_bytes	300417024
1786691791	juicefs_fuse_ops_durations_histogram_seconds_total	1730689
1786691791	juicefs_fuse_ops_durations_histogram_seconds_sum	16822.11629534663
1786691791	juicefs_fuse_ops_total_write	1723107
1786691791	juicefs_object_request_durations_histogram_seconds_PUT_total	1845071
1786691791	juicefs_object_request_durations_histogram_seconds_PUT_sum	14330.03882958714
1786691791	juicefs_used_buffer_size_bytes	314048512
1786691792	juicefs_fuse_ops_durations_histogram_seconds_total	1748370
1786691792	juicefs_fuse_ops_durations_histogram_seconds_sum	16933.96292330252
1786691792	juicefs_fuse_ops_total_write	1740781
1786691792	juicefs_object_request_durations_histogram_seconds_PUT_total	1863700
1786691792	juicefs_object_request_durations_histogram_seconds_PUT_sum	14481.209180629117
1786691792	juicefs_used_buffer_size_bytes	314572800
1786691793	juicefs_fuse_ops_durations_histogram_seconds_total	1765375
1786691793	juicefs_fuse_ops_durations_histogram_seconds_sum	17047.440026503824
1786691793	juicefs_fuse_ops_total_write	1757771
1786691793	juicefs_object_request_durations_histogram_seconds_PUT_total	1881703
1786691793	juicefs_object_request_durations_histogram_seconds_PUT_sum	14631.167127161123
1786691793	juicefs_used_buffer_size_bytes	303038464
1786691794	juicefs_fuse_ops_durations_histogram_seconds_total	1782644
1786691794	juicefs_fuse_ops_durations_histogram_seconds_sum	17161.826814196877
1786691794	juicefs_fuse_ops_total_write	1775029
1786691794	juicefs_object_request_durations_histogram_seconds_PUT_total	1899376
1786691794	juicefs_object_request_durations_histogram_seconds_PUT_sum	14782.271747938206
1786691794	juicefs_used_buffer_size_bytes	310116352
1786691795	juicefs_fuse_ops_durations_histogram_seconds_total	1796164
1786691795	juicefs_fuse_ops_durations_histogram_seconds_sum	17283.32799189383
1786691795	juicefs_fuse_ops_total_write	1788374
1786691795	juicefs_object_request_durations_histogram_seconds_PUT_total	1913902
1786691795	juicefs_object_request_durations_histogram_seconds_PUT_sum	14932.932465567195
1786691795	juicefs_used_buffer_size_bytes	327680000
1786691796	juicefs_fuse_ops_durations_histogram_seconds_total	1813570
1786691796	juicefs_fuse_ops_durations_histogram_seconds_sum	17398.583158189853
1786691796	juicefs_fuse_ops_total_write	1805765
1786691796	juicefs_object_request_durations_histogram_seconds_PUT_total	1932362
1786691796	juicefs_object_request_durations_histogram_seconds_PUT_sum	15084.095974137126
1786691796	juicefs_used_buffer_size_bytes	313786368
1786691797	juicefs_fuse_ops_durations_histogram_seconds_total	1832257
1786691797	juicefs_fuse_ops_durations_histogram_seconds_sum	17511.36005987391
1786691797	juicefs_fuse_ops_total_write	1824468
1786691797	juicefs_object_request_durations_histogram_seconds_PUT_total	1951495
1786691797	juicefs_object_request_durations_histogram_seconds_PUT_sum	15234.582763309068
1786691797	juicefs_used_buffer_size_bytes	323223552
1786691798	juicefs_fuse_ops_durations_histogram_seconds_total	1848932
1786691798	juicefs_fuse_ops_durations_histogram_seconds_sum	17627.31368406091
1786691798	juicefs_fuse_ops_total_write	1841123
1786691798	juicefs_object_request_durations_histogram_seconds_PUT_total	1969393
1786691798	juicefs_object_request_durations_histogram_seconds_PUT_sum	15385.718292751144
1786691798	juicefs_used_buffer_size_bytes	299892736
1786691799	juicefs_fuse_ops_durations_histogram_seconds_total	1863921
1786691799	juicefs_fuse_ops_durations_histogram_seconds_sum	17745.253508315767
1786691799	juicefs_fuse_ops_total_write	1856102
1786691799	juicefs_object_request_durations_histogram_seconds_PUT_total	1985417
1786691799	juicefs_object_request_durations_histogram_seconds_PUT_sum	15535.074940469172
1786691799	juicefs_used_buffer_size_bytes	315097088
1786691800	juicefs_fuse_ops_durations_histogram_seconds_total	1878917
1786691800	juicefs_fuse_ops_durations_histogram_seconds_sum	17863.02587158085
1786691800	juicefs_fuse_ops_total_write	1870935
1786691800	juicefs_object_request_durations_histogram_seconds_PUT_total	2000883
1786691800	juicefs_object_request_durations_histogram_seconds_PUT_sum	15686.521412211183
1786691800	juicefs_used_buffer_size_bytes	290717696
1786691801	juicefs_fuse_ops_durations_histogram_seconds_total	1892907
1786691801	juicefs_fuse_ops_durations_histogram_seconds_sum	17983.071456768786
