ts	key	value
1786882434	juicefs_fuse_ops_durations_histogram_seconds_total	2306164
1786882434	juicefs_fuse_ops_durations_histogram_seconds_sum	134396.6567913812
1786882434	juicefs_fuse_ops_total_write	2248584
1786882434	juicefs_object_request_durations_histogram_seconds_PUT_total	2804104
1786882434	juicefs_object_request_durations_histogram_seconds_PUT_sum	12462.789298980468
1786882434	juicefs_used_buffer_size_bytes	8388608
1786882435	juicefs_fuse_ops_durations_histogram_seconds_total	2315243
1786882435	juicefs_fuse_ops_durations_histogram_seconds_sum	134433.00764012744
1786882435	juicefs_fuse_ops_total_write	2257117
1786882435	juicefs_object_request_durations_histogram_seconds_PUT_total	2811942
1786882435	juicefs_object_request_durations_histogram_seconds_PUT_sum	12523.76581156448
1786882435	juicefs_used_buffer_size_bytes	304611328
1786882436	juicefs_fuse_ops_durations_histogram_seconds_total	2332481
1786882436	juicefs_fuse_ops_durations_histogram_seconds_sum	134545.11253603484
1786882436	juicefs_fuse_ops_total_write	2274344
1786882436	juicefs_object_request_durations_histogram_seconds_PUT_total	2830836
1786882436	juicefs_object_request_durations_histogram_seconds_PUT_sum	12674.43912932648
1786882436	juicefs_used_buffer_size_bytes	284688384
1786882437	juicefs_fuse_ops_durations_histogram_seconds_total	2348549
1786882437	juicefs_fuse_ops_durations_histogram_seconds_sum	134655.83884302087
1786882437	juicefs_fuse_ops_total_write	2290399
1786882437	juicefs_object_request_durations_histogram_seconds_PUT_total	2848827
1786882437	juicefs_object_request_durations_histogram_seconds_PUT_sum	12824.947659408552
1786882437	juicefs_used_buffer_size_bytes	300417024
1786882438	juicefs_fuse_ops_durations_histogram_seconds_total	2366562
1786882438	juicefs_fuse_ops_durations_histogram_seconds_sum	134769.49865254265
1786882438	juicefs_fuse_ops_total_write	2308401
1786882438	juicefs_object_request_durations_histogram_seconds_PUT_total	2867856
1786882438	juicefs_object_request_durations_histogram_seconds_PUT_sum	12975.752274767545
1786882438	juicefs_used_buffer_size_bytes	318242816
1786882439	juicefs_fuse_ops_durations_histogram_seconds_total	2381365
1786882439	juicefs_fuse_ops_durations_histogram_seconds_sum	134883.85458329166
1786882439	juicefs_fuse_ops_total_write	2323195
1786882439	juicefs_object_request_durations_histogram_seconds_PUT_total	2883905
1786882439	juicefs_object_request_durations_histogram_seconds_PUT_sum	13108.922855543668
1786882439	juicefs_used_buffer_size_bytes	323485696
1786882440	juicefs_fuse_ops_durations_histogram_seconds_total	2396758
1786882440	juicefs_fuse_ops_durations_histogram_seconds_sum	134996.56308306684
1786882440	juicefs_fuse_ops_total_write	2338427
1786882440	juicefs_object_request_durations_histogram_seconds_PUT_total	2900494
1786882440	juicefs_object_request_durations_histogram_seconds_PUT_sum	13259.222159381607
1786882440	juicefs_used_buffer_size_bytes	315097088
1786882441	juicefs_fuse_ops_durations_histogram_seconds_total	2412678
1786882441	juicefs_fuse_ops_durations_histogram_seconds_sum	135112.95972207913
1786882441	juicefs_fuse_ops_total_write	2354336
1786882441	juicefs_object_request_durations_histogram_seconds_PUT_total	2917757
1786882441	juicefs_object_request_durations_histogram_seconds_PUT_sum	13409.613206360502
1786882441	juicefs_used_buffer_size_bytes	308281344
1786882442	juicefs_fuse_ops_durations_histogram_seconds_total	2427042
1786882442	juicefs_fuse_ops_durations_histogram_seconds_sum	135233.35461263885
1786882442	juicefs_fuse_ops_total_write	2368689
1786882442	juicefs_object_request_durations_histogram_seconds_PUT_total	2933123
1786882442	juicefs_object_request_durations_histogram_seconds_PUT_sum	13558.55109220044
1786882442	juicefs_used_buffer_size_bytes	494141440
1786882443	juicefs_fuse_ops_durations_histogram_seconds_total	2439156
1786882443	juicefs_fuse_ops_durations_histogram_seconds_sum	135360.0322558583
1786882443	juicefs_fuse_ops_total_write	2380791
1786882443	juicefs_object_request_durations_histogram_seconds_PUT_total	2946985
1786882443	juicefs_object_request_durations_histogram_seconds_PUT_sum	13710.690619469333
1786882443	juicefs_used_buffer_size_bytes	526385152
1786882444	juicefs_fuse_ops_durations_histogram_seconds_total	2451920
1786882444	juicefs_fuse_ops_durations_histogram_seconds_sum	135486.01966954835
1786882444	juicefs_fuse_ops_total_write	2393541
1786882444	juicefs_object_request_durations_histogram_seconds_PUT_total	2961537
1786882444	juicefs_object_request_durations_histogram_seconds_PUT_sum	13861.491622034306
1786882444	juicefs_used_buffer_size_bytes	329515008
1786882445	juicefs_fuse_ops_durations_histogram_seconds_total	2464868
1786882445	juicefs_fuse_ops_durations_histogram_seconds_sum	135603.68278754817
1786882445	juicefs_fuse_ops_total_write	2406332
1786882445	juicefs_object_request_durations_histogram_seconds_PUT_total	2975752
1786882445	juicefs_object_request_durations_histogram_seconds_PUT_sum	14012.695623830288
1786882445	juicefs_used_buffer_size_bytes	230948864
