ts	key	value
1786675307	juicefs_fuse_ops_durations_histogram_seconds_total	187
1786675307	juicefs_fuse_ops_durations_histogram_seconds_sum	0.058712176000000005
1786675307	juicefs_used_buffer_size_bytes	0
1786675308	juicefs_fuse_ops_durations_histogram_seconds_total	9264
1786675308	juicefs_fuse_ops_durations_histogram_seconds_sum	40.475595016999925
1786675308	juicefs_fuse_ops_total_write	8681
1786675308	juicefs_object_request_durations_histogram_seconds_PUT_total	7588
1786675308	juicefs_object_request_durations_histogram_seconds_PUT_sum	65.91278143399984
1786675308	juicefs_used_buffer_size_bytes	294912000
1786675309	juicefs_fuse_ops_durations_histogram_seconds_total	27319
1786675309	juicefs_fuse_ops_durations_histogram_seconds_sum	151.17429034699936
1786675309	juicefs_fuse_ops_total_write	26725
1786675309	juicefs_object_request_durations_histogram_seconds_PUT_total	25554
1786675309	juicefs_object_request_durations_histogram_seconds_PUT_sum	215.86769742800013
1786675309	juicefs_used_buffer_size_bytes	315359232
1786675310	juicefs_fuse_ops_durations_histogram_seconds_total	44357
1786675310	juicefs_fuse_ops_durations_histogram_seconds_sum	265.7793558399994
1786675310	juicefs_fuse_ops_total_write	43599
1786675310	juicefs_object_request_durations_histogram_seconds_PUT_total	42462
1786675310	juicefs_object_request_durations_histogram_seconds_PUT_sum	366.20022625100285
1786675310	juicefs_used_buffer_size_bytes	310116352
1786675311	juicefs_fuse_ops_durations_histogram_seconds_total	62368
1786675311	juicefs_fuse_ops_durations_histogram_seconds_sum	376.3785090299972
1786675311	juicefs_fuse_ops_total_write	61602
1786675311	juicefs_object_request_durations_histogram_seconds_PUT_total	60430
1786675311	juicefs_object_request_durations_histogram_seconds_PUT_sum	517.4608147000074
1786675311	juicefs_used_buffer_size_bytes	315621376
1786675312	juicefs_fuse_ops_durations_histogram_seconds_total	79737
1786675312	juicefs_fuse_ops_durations_histogram_seconds_sum	490.2557340149961
1786675312	juicefs_fuse_ops_total_write	78960
1786675312	juicefs_object_request_durations_histogram_seconds_PUT_total	77780
1786675312	juicefs_object_request_durations_histogram_seconds_PUT_sum	668.3072656580175
1786675312	juicefs_used_buffer_size_bytes	317718528
1786675313	juicefs_fuse_ops_durations_histogram_seconds_total	97003
1786675313	juicefs_fuse_ops_durations_histogram_seconds_sum	602.463948055994
1786675313	juicefs_fuse_ops_total_write	96215
1786675313	juicefs_object_request_durations_histogram_seconds_PUT_total	95096
1786675313	juicefs_object_request_durations_histogram_seconds_PUT_sum	819.0246607130176
1786675313	juicefs_used_buffer_size_bytes	301727744
1786675314	juicefs_fuse_ops_durations_histogram_seconds_total	114899
1786675314	juicefs_fuse_ops_durations_histogram_seconds_sum	713.4080967229963
1786675314	juicefs_fuse_ops_total_write	114100
1786675314	juicefs_object_request_durations_histogram_seconds_PUT_total	112937
1786675314	juicefs_object_request_durations_histogram_seconds_PUT_sum	969.2982150600176
1786675314	juicefs_used_buffer_size_bytes	314834944
1786675315	juicefs_fuse_ops_durations_histogram_seconds_total	131923
1786675315	juicefs_fuse_ops_durations_histogram_seconds_sum	826.5339680029906
1786675315	juicefs_fuse_ops_total_write	130963
1786675315	juicefs_object_request_durations_histogram_seconds_PUT_total	129771
1786675315	juicefs_object_request_durations_histogram_seconds_PUT_sum	1119.903751636031
1786675315	juicefs_used_buffer_size_bytes	319553536
1786675316	juicefs_fuse_ops_durations_histogram_seconds_total	148760
1786675316	juicefs_fuse_ops_durations_histogram_seconds_sum	939.8759231419886
1786675316	juicefs_fuse_ops_total_write	147789
1786675316	juicefs_object_request_durations_histogram_seconds_PUT_total	146739
1786675316	juicefs_object_request_durations_histogram_seconds_PUT_sum	1270.5601024490234
1786675316	juicefs_used_buffer_size_bytes	298057728
1786675317	juicefs_fuse_ops_durations_histogram_seconds_total	166016
1786675317	juicefs_fuse_ops_durations_histogram_seconds_sum	1051.4866717479915
1786675317	juicefs_fuse_ops_total_write	165034
1786675317	juicefs_object_request_durations_histogram_seconds_PUT_total	164370
1786675317	juicefs_object_request_durations_histogram_seconds_PUT_sum	1420.7719928550316
1786675317	juicefs_used_buffer_size_bytes	316932096
1786675318	juicefs_fuse_ops_durations_histogram_seconds_total	181762
1786675318	juicefs_fuse_ops_durations_histogram_seconds_sum	1165.0126937119855
1786675318	juicefs_fuse_ops_total_write	180771
1786675318	juicefs_object_request_durations_histogram_seconds_PUT_total	181195
1786675318	juicefs_object_request_durations_histogram_seconds_PUT_sum	1571.423969529032
1786675318	juicefs_used_buffer_size_bytes	324009984
1786675319	juicefs_fuse_ops_durations_histogram_seconds_total	197897
1786675319	juicefs_fuse_ops_durations_histogram_seconds_sum	1279.7807797379867
1786675319	juicefs_fuse_ops_total_write	196893
1786675319	juicefs_object_request_durations_histogram_seconds_PUT_total	198343
1786675319	juicefs_object_request_durations_histogram_seconds_PUT_sum	1722.1808249930316
1786675319	juicefs_used_buffer_size_bytes	324796416
1786675320	juicefs_fuse_ops_durations_histogram_seconds_total	213800
1786675320	juicefs_fuse_ops_durations_histogram_seconds_sum	1395.1297936179885
1786675320	juicefs_fuse_ops_total_write	212635
1786675320	juicefs_object_request_durations_histogram_seconds_PUT_total	214970
1786675320	juicefs_object_request_durations_histogram_seconds_PUT_sum	1872.4205670260478
1786675320	juicefs_used_buffer_size_bytes	320077824
1786675321	juicefs_fuse_ops_durations_histogram_seconds_total	227885
1786675321	juicefs_fuse_ops_durations_histogram_seconds_sum	1514.6078461349903
1786675321	juicefs_fuse_ops_total_write	226711
1786675321	juicefs_object_request_durations_histogram_seconds_PUT_total	230255
1786675321	juicefs_object_request_durations_histogram_seconds_PUT_sum	2022.7047427110276
1786675321	juicefs_used_buffer_size_bytes	303824896
1786675322	juicefs_fuse_ops_durations_histogram_seconds_total	243174
1786675322	juicefs_fuse_ops_durations_histogram_seconds_sum	1631.2187184879983
1786675322	juicefs_fuse_ops_total_write	241987
1786675322	juicefs_object_request_durations_histogram_seconds_PUT_total	246587
1786675322	juicefs_object_request_durations_histogram_seconds_PUT_sum	2174.290153212043
1786675322	juicefs_used_buffer_size_bytes	294912000
1786675323	juicefs_fuse_ops_durations_histogram_seconds_total	258871
1786675323	juicefs_fuse_ops_durations_histogram_seconds_sum	1747.5946830159946
1786675323	juicefs_fuse_ops_total_write	257673
1786675323	juicefs_object_request_durations_histogram_seconds_PUT_total	263193
1786675323	juicefs_object_request_durations_histogram_seconds_PUT_sum	2324.9559729370126
1786675323	juicefs_used_buffer_size_bytes	317718528
1786675324	juicefs_fuse_ops_durations_histogram_seconds_total	273264
1786675324	juicefs_fuse_ops_durations_histogram_seconds_sum	1867.5824038709825
1786675324	juicefs_fuse_ops_total_write	272055
1786675324	juicefs_object_request_durations_histogram_seconds_PUT_total	278689
1786675324	juicefs_object_request_durations_histogram_seconds_PUT_sum	2475.732384998045
1786675324	juicefs_used_buffer_size_bytes	309067776
1786675325	juicefs_fuse_ops_durations_histogram_seconds_total	288871
1786675325	juicefs_fuse_ops_durations_histogram_seconds_sum	1986.0370160309794
1786675325	juicefs_fuse_ops_total_write	287501
1786675325	juicefs_object_request_durations_histogram_seconds_PUT_total	295018
1786675325	juicefs_object_request_durations_histogram_seconds_PUT_sum	2626.5823997310504
1786675325	juicefs_used_buffer_size_bytes	317456384
1786675326	juicefs_fuse_ops_durations_histogram_seconds_total	304417
1786675326	juicefs_fuse_ops_durations_histogram_seconds_sum	2103.5608166009797
1786675326	juicefs_fuse_ops_total_write	303037
1786675326	juicefs_object_request_durations_histogram_seconds_PUT_total	311468
1786675326	juicefs_object_request_durations_histogram_seconds_PUT_sum	2776.8779381750373
1786675326	juicefs_used_buffer_size_bytes	313524224
1786675327	juicefs_fuse_ops_durations_histogram_seconds_total	319563
1786675327	juicefs_fuse_ops_durations_histogram_seconds_sum	2221.730979238956
1786675327	juicefs_fuse_ops_total_write	318171
1786675327	juicefs_object_request_durations_histogram_seconds_PUT_total	327563
1786675327	juicefs_object_request_durations_histogram_seconds_PUT_sum	2927.0927099580363
1786675327	juicefs_used_buffer_size_bytes	309592064
1786675328	juicefs_fuse_ops_durations_histogram_seconds_total	335962
1786675328	juicefs_fuse_ops_durations_histogram_seconds_sum	2338.548840277957
1786675328	juicefs_fuse_ops_total_write	334559
1786675328	juicefs_object_request_durations_histogram_seconds_PUT_total	344342
1786675328	juicefs_object_request_durations_histogram_seconds_PUT_sum	3077.7568760960335
1786675328	juicefs_used_buffer_size_bytes	319815680
1786675329	juicefs_fuse_ops_durations_histogram_seconds_total	353197
1786675329	juicefs_fuse_ops_durations_histogram_seconds_sum	2453.110236402955
1786675329	juicefs_fuse_ops_total_write	351783
1786675329	juicefs_object_request_durations_histogram_seconds_PUT_total	361694
1786675329	juicefs_object_request_durations_histogram_seconds_PUT_sum	3228.0623643100585
1786675329	juicefs_used_buffer_size_bytes	315621376
1786675330	juicefs_fuse_ops_durations_histogram_seconds_total	369468
1786675330	juicefs_fuse_ops_durations_histogram_seconds_sum	2568.3160081119277
1786675330	juicefs_fuse_ops_total_write	367893
1786675330	juicefs_object_request_durations_histogram_seconds_PUT_total	378548
1786675330	juicefs_object_request_durations_histogram_seconds_PUT_sum	3378.1324502360562
1786675330	juicefs_used_buffer_size_bytes	326107136
1786675331	juicefs_fuse_ops_durations_histogram_seconds_total	384923
1786675331	juicefs_fuse_ops_durations_histogram_seconds_sum	2684.438943011915
1786675331	juicefs_fuse_ops_total_write	383337
1786675331	juicefs_object_request_durations_histogram_seconds_PUT_total	395045
1786675331	juicefs_object_request_durations_histogram_seconds_PUT_sum	3529.6229108870234
1786675331	juicefs_used_buffer_size_bytes	318504960
1786675332	juicefs_fuse_ops_durations_histogram_seconds_total	400190
1786675332	juicefs_fuse_ops_durations_histogram_seconds_sum	2800.5368701758966
1786675332	juicefs_fuse_ops_total_write	398595
1786675332	juicefs_object_request_durations_histogram_seconds_PUT_total	411183
1786675332	juicefs_object_request_durations_histogram_seconds_PUT_sum	3679.9711765090187
1786675332	juicefs_used_buffer_size_bytes	326369280
1786675333	juicefs_fuse_ops_durations_histogram_seconds_total	414954
1786675333	juicefs_fuse_ops_durations_histogram_seconds_sum	2920.1411568849026
1786675333	juicefs_fuse_ops_total_write	413348
1786675333	juicefs_object_request_durations_histogram_seconds_PUT_total	427005
1786675333	juicefs_object_request_durations_histogram_seconds_PUT_sum	3830.8728052880106
1786675333	juicefs_used_buffer_size_bytes	317456384
1786675334	juicefs_fuse_ops_durations_histogram_seconds_total	429515
1786675334	juicefs_fuse_ops_durations_histogram_seconds_sum	3041.8481861098967
1786675334	juicefs_fuse_ops_total_write	427896
1786675334	juicefs_object_request_durations_histogram_seconds_PUT_total	442724
1786675334	juicefs_object_request_durations_histogram_seconds_PUT_sum	3983.499989437003
1786675334	juicefs_used_buffer_size_bytes	315097088
1786675335	juicefs_fuse_ops_durations_histogram_seconds_total	444582
1786675335	juicefs_fuse_ops_durations_histogram_seconds_sum	3160.2484917529164
1786675335	juicefs_fuse_ops_total_write	442802
1786675335	juicefs_object_request_durations_histogram_seconds_PUT_total	458632
1786675335	juicefs_object_request_durations_histogram_seconds_PUT_sum	4134.079262601966
1786675335	juicefs_used_buffer_size_bytes	304349184
1786675336	juicefs_fuse_ops_durations_histogram_seconds_total	460271
1786675336	juicefs_fuse_ops_durations_histogram_seconds_sum	3276.9856422789476
1786675336	juicefs_fuse_ops_total_write	458480
1786675336	juicefs_object_request_durations_histogram_seconds_PUT_total	475271
1786675336	juicefs_object_request_durations_histogram_seconds_PUT_sum	4284.724591048951
1786675336	juicefs_used_buffer_size_bytes	327155712
1786675337	juicefs_fuse_ops_durations_histogram_seconds_total	475656
1786675337	juicefs_fuse_ops_durations_histogram_seconds_sum	3393.4992520439373
1786675337	juicefs_fuse_ops_total_write	473853
1786675337	juicefs_object_request_durations_histogram_seconds_PUT_total	491711
1786675337	juicefs_object_request_durations_histogram_seconds_PUT_sum	4435.018574236945
1786675337	juicefs_used_buffer_size_bytes	330301440
1786675338	juicefs_fuse_ops_durations_histogram_seconds_total	491412
1786675338	juicefs_fuse_ops_durations_histogram_seconds_sum	3509.8677509639665
1786675338	juicefs_fuse_ops_total_write	489598
1786675338	juicefs_object_request_durations_histogram_seconds_PUT_total	508415
1786675338	juicefs_object_request_durations_histogram_seconds_PUT_sum	4585.590673119968
1786675338	juicefs_used_buffer_size_bytes	307494912
1786675339	juicefs_fuse_ops_durations_histogram_seconds_total	506843
1786675339	juicefs_fuse_ops_durations_histogram_seconds_sum	3626.946101367987
1786675339	juicefs_fuse_ops_total_write	505019
1786675339	juicefs_object_request_durations_histogram_seconds_PUT_total	524856
1786675339	juicefs_object_request_durations_histogram_seconds_PUT_sum	4735.876282661923
1786675339	juicefs_used_buffer_size_bytes	320864256
1786675340	juicefs_fuse_ops_durations_histogram_seconds_total	522814
1786675340	juicefs_fuse_ops_durations_histogram_seconds_sum	3744.0631611629715
1786675340	juicefs_fuse_ops_total_write	520828
1786675340	juicefs_object_request_durations_histogram_seconds_PUT_total	541821
1786675340	juicefs_object_request_durations_histogram_seconds_PUT_sum	4886.812805990921
1786675340	juicefs_used_buffer_size_bytes	312475648
1786675341	juicefs_fuse_ops_durations_histogram_seconds_total	539032
1786675341	juicefs_fuse_ops_durations_histogram_seconds_sum	3859.817241613997
1786675341	juicefs_fuse_ops_total_write	537035
1786675341	juicefs_object_request_durations_histogram_seconds_PUT_total	558786
1786675341	juicefs_object_request_durations_histogram_seconds_PUT_sum	5036.773824013926
1786675341	juicefs_used_buffer_size_bytes	312213504
1786675342	juicefs_fuse_ops_durations_histogram_seconds_total	554635
1786675342	juicefs_fuse_ops_durations_histogram_seconds_sum	3976.740241937989
1786675342	juicefs_fuse_ops_total_write	552628
1786675342	juicefs_object_request_durations_histogram_seconds_PUT_total	575280
1786675342	juicefs_object_request_durations_histogram_seconds_PUT_sum	5187.54821039291
1786675342	juicefs_used_buffer_size_bytes	320339968
1786675343	juicefs_fuse_ops_durations_histogram_seconds_total	570459
1786675343	juicefs_fuse_ops_durations_histogram_seconds_sum	4093.236792352015
1786675343	juicefs_fuse_ops_total_write	568443
1786675343	juicefs_object_request_durations_histogram_seconds_PUT_total	591742
1786675343	juicefs_object_request_durations_histogram_seconds_PUT_sum	5337.845078389948
1786675343	juicefs_used_buffer_size_bytes	319815680
1786675344	juicefs_fuse_ops_durations_histogram_seconds_total	587379
1786675344	juicefs_fuse_ops_durations_histogram_seconds_sum	4208.627711339981
1786675344	juicefs_fuse_ops_total_write	585349
1786675344	juicefs_object_request_durations_histogram_seconds_PUT_total	608783
1786675344	juicefs_object_request_durations_histogram_seconds_PUT_sum	5488.071442020914
1786675344	juicefs_used_buffer_size_bytes	311951360
1786675345	juicefs_fuse_ops_durations_histogram_seconds_total	604563
1786675345	juicefs_fuse_ops_durations_histogram_seconds_sum	4322.265848316993
1786675345	juicefs_fuse_ops_total_write	602372
1786675345	juicefs_object_request_durations_histogram_seconds_PUT_total	626067
1786675345	juicefs_object_request_durations_histogram_seconds_PUT_sum	5638.95967603288
1786675345	juicefs_used_buffer_size_bytes	308543488
1786675346	juicefs_fuse_ops_durations_histogram_seconds_total	620640
1786675346	juicefs_fuse_ops_durations_histogram_seconds_sum	4437.8758698170195
1786675346	juicefs_fuse_ops_total_write	618438
1786675346	juicefs_object_request_durations_histogram_seconds_PUT_total	642944
1786675346	juicefs_object_request_durations_histogram_seconds_PUT_sum	5789.6421233859255
1786675346	juicefs_used_buffer_size_bytes	303824896
1786675347	juicefs_fuse_ops_durations_histogram_seconds_total	634939
1786675347	juicefs_fuse_ops_durations_histogram_seconds_sum	4557.283371182016
1786675347	juicefs_fuse_ops_total_write	632727
1786675347	juicefs_object_request_durations_histogram_seconds_PUT_total	658399
1786675347	juicefs_object_request_durations_histogram_seconds_PUT_sum	5939.859998955888
1786675347	juicefs_used_buffer_size_bytes	303824896
1786675348	juicefs_fuse_ops_durations_histogram_seconds_total	651008
1786675348	juicefs_fuse_ops_durations_histogram_seconds_sum	4676.026238838996
1786675348	juicefs_fuse_ops_total_write	648784
1786675348	juicefs_object_request_durations_histogram_seconds_PUT_total	675255
1786675348	juicefs_object_request_durations_histogram_seconds_PUT_sum	6091.112039896867
1786675348	juicefs_used_buffer_size_bytes	330301440
1786675349	juicefs_fuse_ops_durations_histogram_seconds_total	666778
1786675349	juicefs_fuse_ops_durations_histogram_seconds_sum	4793.233269619957
1786675349	juicefs_fuse_ops_total_write	664543
1786675349	juicefs_object_request_durations_histogram_seconds_PUT_total	691972
1786675349	juicefs_object_request_durations_histogram_seconds_PUT_sum	6241.46472350786
1786675349	juicefs_used_buffer_size_bytes	324272128
1786675350	juicefs_fuse_ops_durations_histogram_seconds_total	682269
1786675350	juicefs_fuse_ops_durations_histogram_seconds_sum	4911.289548406963
1786675350	juicefs_fuse_ops_total_write	679873
1786675350	juicefs_object_request_durations_histogram_seconds_PUT_total	708299
1786675350	juicefs_object_request_durations_histogram_seconds_PUT_sum	6392.28851526387
1786675350	juicefs_used_buffer_size_bytes	317456384
1786675351	juicefs_fuse_ops_durations_histogram_seconds_total	697826
1786675351	juicefs_fuse_ops_durations_histogram_seconds_sum	5028.873603870007
1786675351	juicefs_fuse_ops_total_write	695419
1786675351	juicefs_object_request_durations_histogram_seconds_PUT_total	724802
1786675351	juicefs_object_request_durations_histogram_seconds_PUT_sum	6542.541335817823
1786675351	juicefs_used_buffer_size_bytes	309329920
1786675352	juicefs_fuse_ops_durations_histogram_seconds_total	713511
1786675352	juicefs_fuse_ops_durations_histogram_seconds_sum	5146.281541935996
1786675352	juicefs_fuse_ops_total_write	711093
1786675352	juicefs_object_request_durations_histogram_seconds_PUT_total	741458
1786675352	juicefs_object_request_durations_histogram_seconds_PUT_sum	6693.009011199828
1786675352	juicefs_used_buffer_size_bytes	318504960
1786675353	juicefs_fuse_ops_durations_histogram_seconds_total	728873
1786675353	juicefs_fuse_ops_durations_histogram_seconds_sum	5264.395261211963
1786675353	juicefs_fuse_ops_total_write	726444
1786675353	juicefs_object_request_durations_histogram_seconds_PUT_total	757852
1786675353	juicefs_object_request_durations_histogram_seconds_PUT_sum	6843.442032433849
1786675353	juicefs_used_buffer_size_bytes	309067776
1786675354	juicefs_fuse_ops_durations_histogram_seconds_total	744721
1786675354	juicefs_fuse_ops_durations_histogram_seconds_sum	5381.580058591964
1786675354	juicefs_fuse_ops_total_write	742282
1786675354	juicefs_object_request_durations_histogram_seconds_PUT_total	774568
1786675354	juicefs_object_request_durations_histogram_seconds_PUT_sum	6993.9519001929075
1786675354	juicefs_used_buffer_size_bytes	319553536
1786675355	juicefs_fuse_ops_durations_histogram_seconds_total	760246
1786675355	juicefs_fuse_ops_durations_histogram_seconds_sum	5497.914077830937
1786675355	juicefs_fuse_ops_total_write	757645
1786675355	juicefs_object_request_durations_histogram_seconds_PUT_total	790949
1786675355	juicefs_object_request_durations_histogram_seconds_PUT_sum	7143.961939164905
1786675355	juicefs_used_buffer_size_bytes	323223552
1786675356	juicefs_fuse_ops_durations_histogram_seconds_total	775566
1786675356	juicefs_fuse_ops_durations_histogram_seconds_sum	5615.15606099894
1786675356	juicefs_fuse_ops_total_write	772954
1786675356	juicefs_object_request_durations_histogram_seconds_PUT_total	807404
1786675356	juicefs_object_request_durations_histogram_seconds_PUT_sum	7295.174435735918
1786675356	juicefs_used_buffer_size_bytes	290193408
1786675357	juicefs_fuse_ops_durations_histogram_seconds_total	791611
1786675357	juicefs_fuse_ops_durations_histogram_seconds_sum	5733.795820587936
1786675357	juicefs_fuse_ops_total_write	788988
1786675357	juicefs_object_request_durations_histogram_seconds_PUT_total	824098
1786675357	juicefs_object_request_durations_histogram_seconds_PUT_sum	7445.556410622896
1786675357	juicefs_used_buffer_size_bytes	328990720
1786675358	juicefs_fuse_ops_durations_histogram_seconds_total	807220
1786675358	juicefs_fuse_ops_durations_histogram_seconds_sum	5851.20987926598
1786675358	juicefs_fuse_ops_total_write	804586
1786675358	juicefs_object_request_durations_histogram_seconds_PUT_total	840656
1786675358	juicefs_object_request_durations_histogram_seconds_PUT_sum	7596.215593322926
1786675358	juicefs_used_buffer_size_bytes	325058560
1786675359	juicefs_fuse_ops_durations_histogram_seconds_total	822307
1786675359	juicefs_fuse_ops_durations_histogram_seconds_sum	5970.253415563947
1786675359	juicefs_fuse_ops_total_write	819662
1786675359	juicefs_object_request_durations_histogram_seconds_PUT_total	856789
1786675359	juicefs_object_request_durations_histogram_seconds_PUT_sum	7747.241333279904
1786675359	juicefs_used_buffer_size_bytes	310378496
1786675360	juicefs_fuse_ops_durations_histogram_seconds_total	838154
1786675360	juicefs_fuse_ops_durations_histogram_seconds_sum	6086.605207831923
1786675360	juicefs_fuse_ops_total_write	835348
1786675360	juicefs_object_request_durations_histogram_seconds_PUT_total	873456
1786675360	juicefs_object_request_durations_histogram_seconds_PUT_sum	7897.642647637912
1786675360	juicefs_used_buffer_size_bytes	291504128
1786675362	juicefs_fuse_ops_durations_histogram_seconds_total	853683
1786675362	juicefs_fuse_ops_durations_histogram_seconds_sum	6202.698725208907
1786675362	juicefs_fuse_ops_total_write	850866
1786675362	juicefs_object_request_durations_histogram_seconds_PUT_total	889931
1786675362	juicefs_object_request_durations_histogram_seconds_PUT_sum	8047.397602766923
1786675362	juicefs_used_buffer_size_bytes	315883520
1786675363	juicefs_fuse_ops_durations_histogram_seconds_total	868589
1786675363	juicefs_fuse_ops_durations_histogram_seconds_sum	6320.721803078919
1786675363	juicefs_fuse_ops_total_write	865761
1786675363	juicefs_object_request_durations_histogram_seconds_PUT_total	905940
1786675363	juicefs_object_request_durations_histogram_seconds_PUT_sum	8198.37005072298
1786675363	juicefs_used_buffer_size_bytes	297795584
1786675364	juicefs_fuse_ops_durations_histogram_seconds_total	881893
1786675364	juicefs_fuse_ops_durations_histogram_seconds_sum	6445.4040865348325
1786675364	juicefs_fuse_ops_total_write	879050
1786675364	juicefs_object_request_durations_histogram_seconds_PUT_total	920004
1786675364	juicefs_object_request_durations_histogram_seconds_PUT_sum	8349.43205075303
1786675364	juicefs_used_buffer_size_bytes	368574464
1786675365	juicefs_fuse_ops_durations_histogram_seconds_total	895757
1786675365	juicefs_fuse_ops_durations_histogram_seconds_sum	6567.324447104855
1786675365	juicefs_fuse_ops_total_write	892907
1786675365	juicefs_object_request_durations_histogram_seconds_PUT_total	935176
1786675365	juicefs_object_request_durations_histogram_seconds_PUT_sum	8499.689670776022
1786675365	juicefs_used_buffer_size_bytes	322961408
1786675366	juicefs_fuse_ops_durations_histogram_seconds_total	909209
1786675366	juicefs_fuse_ops_durations_histogram_seconds_sum	6691.8193799478295
1786675366	juicefs_fuse_ops_total_write	906201
1786675366	juicefs_object_request_durations_histogram_seconds_PUT_total	949439
1786675366	juicefs_object_request_durations_histogram_seconds_PUT_sum	8650.373098830003
1786675366	juicefs_used_buffer_size_bytes	311427072
1786675367	juicefs_fuse_ops_durations_histogram_seconds_total	923413
1786675367	juicefs_fuse_ops_durations_histogram_seconds_sum	6813.203651337866
1786675367	juicefs_fuse_ops_total_write	920391
1786675367	juicefs_object_request_durations_histogram_seconds_PUT_total	964680
1786675367	juicefs_object_request_durations_histogram_seconds_PUT_sum	8800.89292282294
1786675367	juicefs_used_buffer_size_bytes	320602112
1786675368	juicefs_fuse_ops_durations_histogram_seconds_total	938855
1786675368	juicefs_fuse_ops_durations_histogram_seconds_sum	6931.673241386891
1786675368	juicefs_fuse_ops_total_write	935822
1786675368	juicefs_object_request_durations_histogram_seconds_PUT_total	981131
1786675368	juicefs_object_request_durations_histogram_seconds_PUT_sum	8951.648344505982
1786675368	juicefs_used_buffer_size_bytes	332398592
1786675369	juicefs_fuse_ops_durations_histogram_seconds_total	953330
1786675369	juicefs_fuse_ops_durations_histogram_seconds_sum	7051.949764324906
1786675369	juicefs_fuse_ops_total_write	950286
1786675369	juicefs_object_request_durations_histogram_seconds_PUT_total	996533
1786675369	juicefs_object_request_durations_histogram_seconds_PUT_sum	9100.665084986995
1786675369	juicefs_used_buffer_size_bytes	337641472
1786675370	juicefs_fuse_ops_durations_histogram_seconds_total	968111
1786675370	juicefs_fuse_ops_durations_histogram_seconds_sum	7171.617826666832
1786675370	juicefs_fuse_ops_total_write	965056
1786675370	juicefs_object_request_durations_histogram_seconds_PUT_total	1012469
1786675370	juicefs_object_request_durations_histogram_seconds_PUT_sum	9252.749680516967
1786675370	juicefs_used_buffer_size_bytes	306708480
1786675371	juicefs_fuse_ops_durations_histogram_seconds_total	983822
1786675371	juicefs_fuse_ops_durations_histogram_seconds_sum	7288.9665845828495
1786675371	juicefs_fuse_ops_total_write	980610
1786675371	juicefs_object_request_durations_histogram_seconds_PUT_total	1029016
1786675371	juicefs_object_request_durations_histogram_seconds_PUT_sum	9403.062686823914
1786675371	juicefs_used_buffer_size_bytes	300941312
1786675372	juicefs_fuse_ops_durations_histogram_seconds_total	999939
1786675372	juicefs_fuse_ops_durations_histogram_seconds_sum	7406.2694038018035
1786675372	juicefs_fuse_ops_total_write	996713
1786675372	juicefs_object_request_durations_histogram_seconds_PUT_total	1045921
1786675372	juicefs_object_request_durations_histogram_seconds_PUT_sum	9553.953812041844
1786675372	juicefs_used_buffer_size_bytes	319291392
1786675373	juicefs_fuse_ops_durations_histogram_seconds_total	1015367
1786675373	juicefs_fuse_ops_durations_histogram_seconds_sum	7523.536980824763
1786675373	juicefs_fuse_ops_total_write	1012129
1786675373	juicefs_object_request_durations_histogram_seconds_PUT_total	1062397
1786675373	juicefs_object_request_durations_histogram_seconds_PUT_sum	9704.810900167831
1786675373	juicefs_used_buffer_size_bytes	308019200
1786675374	juicefs_fuse_ops_durations_histogram_seconds_total	1030821
1786675374	juicefs_fuse_ops_durations_histogram_seconds_sum	7640.47472343478
1786675374	juicefs_fuse_ops_total_write	1027572
1786675374	juicefs_object_request_durations_histogram_seconds_PUT_total	1078850
1786675374	juicefs_object_request_durations_histogram_seconds_PUT_sum	9854.731812779819
1786675374	juicefs_used_buffer_size_bytes	312999936
1786675375	juicefs_fuse_ops_durations_histogram_seconds_total	1046469
1786675375	juicefs_fuse_ops_durations_histogram_seconds_sum	7758.869477625774
1786675375	juicefs_fuse_ops_total_write	1043209
1786675375	juicefs_object_request_durations_histogram_seconds_PUT_total	1095420
1786675375	juicefs_object_request_durations_histogram_seconds_PUT_sum	10005.92284823381
1786675375	juicefs_used_buffer_size_bytes	312475648
1786675376	juicefs_fuse_ops_durations_histogram_seconds_total	1060334
