ts	key	value
1786676877	juicefs_fuse_ops_durations_histogram_seconds_total	193
1786676877	juicefs_fuse_ops_durations_histogram_seconds_sum	0.05575819199999999
1786676877	juicefs_used_buffer_size_bytes	0
1786676878	juicefs_fuse_ops_durations_histogram_seconds_total	3014
1786676878	juicefs_fuse_ops_durations_histogram_seconds_sum	13.972385050999995
1786676878	juicefs_fuse_ops_total_write	2425
1786676878	juicefs_object_request_durations_histogram_seconds_PUT_total	1311
1786676878	juicefs_object_request_durations_histogram_seconds_PUT_sum	1.785533503
1786676878	juicefs_used_buffer_size_bytes	627572736
1786676879	juicefs_fuse_ops_durations_histogram_seconds_total	5097
1786676879	juicefs_fuse_ops_durations_histogram_seconds_sum	178.1417748429995
1786676879	juicefs_fuse_ops_total_write	4347
1786676879	juicefs_object_request_durations_histogram_seconds_PUT_total	4760
1786676879	juicefs_object_request_durations_histogram_seconds_PUT_sum	18.764638029000004
1786676879	juicefs_used_buffer_size_bytes	511967232
1786676880	juicefs_fuse_ops_durations_histogram_seconds_total	6536
1786676880	juicefs_fuse_ops_durations_histogram_seconds_sum	305.30224307099945
1786676880	juicefs_fuse_ops_total_write	5763
1786676880	juicefs_object_request_durations_histogram_seconds_PUT_total	7617
1786676880	juicefs_object_request_durations_histogram_seconds_PUT_sum	28.368594480999953
1786676880	juicefs_used_buffer_size_bytes	589824000
1786676881	juicefs_fuse_ops_durations_histogram_seconds_total	8528
1786676881	juicefs_fuse_ops_durations_histogram_seconds_sum	426.0630842140002
1786676881	juicefs_fuse_ops_total_write	7754
1786676881	juicefs_object_request_durations_histogram_seconds_PUT_total	12323
1786676881	juicefs_object_request_durations_histogram_seconds_PUT_sum	45.170090458
1786676881	juicefs_used_buffer_size_bytes	622329856
1786676882	juicefs_fuse_ops_durations_histogram_seconds_total	10853
1786676882	juicefs_fuse_ops_durations_histogram_seconds_sum	563.2687577610002
1786676882	juicefs_fuse_ops_total_write	10067
1786676882	juicefs_object_request_durations_histogram_seconds_PUT_total	16793
1786676882	juicefs_object_request_durations_histogram_seconds_PUT_sum	67.21216979300017
1786676882	juicefs_used_buffer_size_bytes	622329856
1786676883	juicefs_fuse_ops_durations_histogram_seconds_total	13023
1786676883	juicefs_fuse_ops_durations_histogram_seconds_sum	684.3272573020015
1786676883	juicefs_fuse_ops_total_write	12228
1786676883	juicefs_object_request_durations_histogram_seconds_PUT_total	20250
1786676883	juicefs_object_request_durations_histogram_seconds_PUT_sum	86.02776836500023
1786676883	juicefs_used_buffer_size_bytes	601882624
1786676884	juicefs_fuse_ops_durations_histogram_seconds_total	15288
1786676884	juicefs_fuse_ops_durations_histogram_seconds_sum	819.2626587550005
1786676884	juicefs_fuse_ops_total_write	14332
1786676884	juicefs_object_request_durations_histogram_seconds_PUT_total	23974
1786676884	juicefs_object_request_durations_histogram_seconds_PUT_sum	102.04943676800026
1786676884	juicefs_used_buffer_size_bytes	559153152
1786676885	juicefs_fuse_ops_durations_histogram_seconds_total	17327
1786676885	juicefs_fuse_ops_durations_histogram_seconds_sum	948.5659273629989
1786676885	juicefs_fuse_ops_total_write	16351
1786676885	juicefs_object_request_durations_histogram_seconds_PUT_total	26038
1786676885	juicefs_object_request_durations_histogram_seconds_PUT_sum	110.11359047200021
1786676885	juicefs_used_buffer_size_bytes	551550976
1786676886	juicefs_fuse_ops_durations_histogram_seconds_total	19093
1786676886	juicefs_fuse_ops_durations_histogram_seconds_sum	1070.7073846050005
1786676886	juicefs_fuse_ops_total_write	18114
1786676886	juicefs_object_request_durations_histogram_seconds_PUT_total	27607
1786676886	juicefs_object_request_durations_histogram_seconds_PUT_sum	118.35807789900032
1786676886	juicefs_used_buffer_size_bytes	613023744
1786676887	juicefs_fuse_ops_durations_histogram_seconds_total	21207
1786676887	juicefs_fuse_ops_durations_histogram_seconds_sum	1192.8993734869996
1786676887	juicefs_fuse_ops_total_write	20217
1786676887	juicefs_object_request_durations_histogram_seconds_PUT_total	30104
1786676887	juicefs_object_request_durations_histogram_seconds_PUT_sum	131.79442323000015
1786676887	juicefs_used_buffer_size_bytes	629407744
1786676888	juicefs_fuse_ops_durations_histogram_seconds_total	23607
1786676888	juicefs_fuse_ops_durations_histogram_seconds_sum	1298.1161158029988
1786676888	juicefs_fuse_ops_total_write	22606
1786676888	juicefs_object_request_durations_histogram_seconds_PUT_total	32488
1786676888	juicefs_object_request_durations_histogram_seconds_PUT_sum	142.44708404200043
1786676888	juicefs_used_buffer_size_bytes	630718464
1786676889	juicefs_fuse_ops_durations_histogram_seconds_total	26209
1786676889	juicefs_fuse_ops_durations_histogram_seconds_sum	1447.0061612489958
1786676889	juicefs_fuse_ops_total_write	25047
1786676889	juicefs_object_request_durations_histogram_seconds_PUT_total	34925
1786676889	juicefs_object_request_durations_histogram_seconds_PUT_sum	154.84140754800003
1786676889	juicefs_used_buffer_size_bytes	631832576
1786676890	juicefs_fuse_ops_durations_histogram_seconds_total	28672
1786676890	juicefs_fuse_ops_durations_histogram_seconds_sum	1586.4975957109946
1786676890	juicefs_fuse_ops_total_write	27499
1786676890	juicefs_object_request_durations_histogram_seconds_PUT_total	37376
1786676890	juicefs_object_request_durations_histogram_seconds_PUT_sum	166.13472597999976
1786676890	juicefs_used_buffer_size_bytes	632029184
1786676891	juicefs_fuse_ops_durations_histogram_seconds_total	30768
1786676891	juicefs_fuse_ops_durations_histogram_seconds_sum	1712.398203881999
1786676891	juicefs_fuse_ops_total_write	29584
1786676891	juicefs_object_request_durations_histogram_seconds_PUT_total	39471
1786676891	juicefs_object_request_durations_histogram_seconds_PUT_sum	176.0072505249997
1786676891	juicefs_used_buffer_size_bytes	629407744
1786676892	juicefs_fuse_ops_durations_histogram_seconds_total	32702
1786676892	juicefs_fuse_ops_durations_histogram_seconds_sum	1837.3735393299955
1786676892	juicefs_fuse_ops_total_write	31507
1786676892	juicefs_object_request_durations_histogram_seconds_PUT_total	41969
1786676892	juicefs_object_request_durations_histogram_seconds_PUT_sum	185.8292615489997
1786676892	juicefs_used_buffer_size_bytes	612958208
1786676893	juicefs_fuse_ops_durations_histogram_seconds_total	34610
1786676893	juicefs_fuse_ops_durations_histogram_seconds_sum	1965.5432684509904
1786676893	juicefs_fuse_ops_total_write	33425
1786676893	juicefs_object_request_durations_histogram_seconds_PUT_total	44889
1786676893	juicefs_object_request_durations_histogram_seconds_PUT_sum	198.9335348669993
1786676893	juicefs_used_buffer_size_bytes	557711360
1786676894	juicefs_fuse_ops_durations_histogram_seconds_total	36952
1786676894	juicefs_fuse_ops_durations_histogram_seconds_sum	2088.5360753239925
1786676894	juicefs_fuse_ops_total_write	35585
1786676894	juicefs_object_request_durations_histogram_seconds_PUT_total	46763
1786676894	juicefs_object_request_durations_histogram_seconds_PUT_sum	206.828632771999
1786676894	juicefs_used_buffer_size_bytes	635568128
1786676895	juicefs_fuse_ops_durations_histogram_seconds_total	39009
1786676895	juicefs_fuse_ops_durations_histogram_seconds_sum	2185.5978661779905
1786676895	juicefs_fuse_ops_total_write	37631
1786676895	juicefs_object_request_durations_histogram_seconds_PUT_total	49188
1786676895	juicefs_object_request_durations_histogram_seconds_PUT_sum	216.49506197699904
