label	item_round	raw_line
T37L-K3-A1	randwrite-T37L-K3-A1-r1	  WRITE: bw=551MiB/s (578MB/s), 551MiB/s-551MiB/s (578MB/s-578MB/s), io=96.9GiB (104GB), run=180063-180063msec
T37L-K3-A1	randwrite-T37L-K3-A1-r2	  WRITE: bw=552MiB/s (578MB/s), 552MiB/s-552MiB/s (578MB/s-578MB/s), io=97.0GiB (104GB), run=180103-180103msec
T37L-K3-A1	randwrite-T37L-K3-A1-r3	  WRITE: bw=552MiB/s (578MB/s), 552MiB/s-552MiB/s (578MB/s-578MB/s), io=97.0GiB (104GB), run=180107-180107msec
T37L-K3-A2	randwrite-T37L-K3-A2-r1	  WRITE: bw=551MiB/s (578MB/s), 551MiB/s-551MiB/s (578MB/s-578MB/s), io=96.9GiB (104GB), run=180062-180062msec
T37L-K3-A2	randwrite-T37L-K3-A2-r2	  WRITE: bw=551MiB/s (578MB/s), 551MiB/s-551MiB/s (578MB/s-578MB/s), io=96.9GiB (104GB), run=180135-180135msec
T37L-K3-A2	randwrite-T37L-K3-A2-r3	  WRITE: bw=551MiB/s (578MB/s), 551MiB/s-551MiB/s (578MB/s-578MB/s), io=96.9GiB (104GB), run=180019-180019msec
T37L-K3-B1	randwrite-T37L-K3-B1-r1	  WRITE: bw=551MiB/s (578MB/s), 551MiB/s-551MiB/s (578MB/s-578MB/s), io=96.9GiB (104GB), run=180065-180065msec
T37L-K3-B1	randwrite-T37L-K3-B1-r2	  WRITE: bw=552MiB/s (578MB/s), 552MiB/s-552MiB/s (578MB/s-578MB/s), io=97.0GiB (104GB), run=180044-180044msec
T37L-K3-B1	randwrite-T37L-K3-B1-r3	  WRITE: bw=551MiB/s (578MB/s), 551MiB/s-551MiB/s (578MB/s-578MB/s), io=96.9GiB (104GB), run=180109-180109msec
T37L-K3-B2	randwrite-T37L-K3-B2-r1	  WRITE: bw=551MiB/s (578MB/s), 551MiB/s-551MiB/s (578MB/s-578MB/s), io=96.9GiB (104GB), run=180094-180094msec
T37L-K3-B2	randwrite-T37L-K3-B2-r2	  WRITE: bw=551MiB/s (578MB/s), 551MiB/s-551MiB/s (578MB/s-578MB/s), io=96.9GiB (104GB), run=180091-180091msec
T37L-K3-B2	randwrite-T37L-K3-B2-r3	  WRITE: bw=552MiB/s (579MB/s), 552MiB/s-552MiB/s (579MB/s-579MB/s), io=97.0GiB (104GB), run=180064-180064msec
T37L-K4-A1	randwrite-T37L-K4-A1-r1	  WRITE: bw=552MiB/s (578MB/s), 552MiB/s-552MiB/s (578MB/s-578MB/s), io=97.0GiB (104GB), run=180127-180127msec
T37L-K4-A1	randwrite-T37L-K4-A1-r2	  WRITE: bw=551MiB/s (578MB/s), 551MiB/s-551MiB/s (578MB/s-578MB/s), io=97.0GiB (104GB), run=180051-180051msec
T37L-K4-A1	randwrite-T37L-K4-A1-r3	  WRITE: bw=551MiB/s (578MB/s), 551MiB/s-551MiB/s (578MB/s-578MB/s), io=96.9GiB (104GB), run=180085-180085msec
T37L-K4-A2	randwrite-T37L-K4-A2-r1	  WRITE: bw=551MiB/s (578MB/s), 551MiB/s-551MiB/s (578MB/s-578MB/s), io=97.0GiB (104GB), run=180163-180163msec
T37L-K4-A2	randwrite-T37L-K4-A2-r2	  WRITE: bw=552MiB/s (579MB/s), 552MiB/s-552MiB/s (579MB/s-579MB/s), io=97.1GiB (104GB), run=180124-180124msec
T37L-K4-A2	randwrite-T37L-K4-A2-r3	  WRITE: bw=551MiB/s (578MB/s), 551MiB/s-551MiB/s (578MB/s-578MB/s), io=97.0GiB (104GB), run=180113-180113msec
T37L-K4-B1	randwrite-T37L-K4-B1-r1	  WRITE: bw=552MiB/s (578MB/s), 552MiB/s-552MiB/s (578MB/s-578MB/s), io=97.0GiB (104GB), run=180113-180113msec
T37L-K4-B1	randwrite-T37L-K4-B1-r2	  WRITE: bw=552MiB/s (579MB/s), 552MiB/s-552MiB/s (579MB/s-579MB/s), io=97.0GiB (104GB), run=180019-180019msec
T37L-K4-B1	randwrite-T37L-K4-B1-r3	  WRITE: bw=551MiB/s (578MB/s), 551MiB/s-551MiB/s (578MB/s-578MB/s), io=97.0GiB (104GB), run=180035-180035msec
T37L-K4-B2	randwrite-T37L-K4-B2-r1	  WRITE: bw=552MiB/s (579MB/s), 552MiB/s-552MiB/s (579MB/s-579MB/s), io=97.1GiB (104GB), run=180106-180106msec
T37L-K4-B2	randwrite-T37L-K4-B2-r2	  WRITE: bw=552MiB/s (579MB/s), 552MiB/s-552MiB/s (579MB/s-579MB/s), io=97.0GiB (104GB), run=180018-180018msec
T37L-K4-B2	randwrite-T37L-K4-B2-r3	  WRITE: bw=552MiB/s (578MB/s), 552MiB/s-552MiB/s (578MB/s-578MB/s), io=97.0GiB (104GB), run=180107-180107msec
T37L-WF1	randwrite-T37L-WF1-r1	  WRITE: bw=3701MiB/s (3881MB/s), 3701MiB/s-3701MiB/s (3881MB/s-3881MB/s), io=651GiB (699GB), run=180049-180049msec
T37L-WF1	randwrite-T37L-WF1-r2	  WRITE: bw=3065MiB/s (3214MB/s), 3065MiB/s-3065MiB/s (3214MB/s-3214MB/s), io=539GiB (579GB), run=180075-180075msec
T37L-WF2	randwrite-T37L-WF2-r1	  WRITE: bw=2968MiB/s (3112MB/s), 2968MiB/s-2968MiB/s (3112MB/s-3112MB/s), io=522GiB (560GB), run=180076-180076msec
T37L-WF2	randwrite-T37L-WF2-r2	  WRITE: bw=3122MiB/s (3273MB/s), 3122MiB/s-3122MiB/s (3273MB/s-3273MB/s), io=549GiB (589GB), run=180053-180053msec
T37L-WS1	randwrite-T37L-WS1-r1	  WRITE: bw=551MiB/s (578MB/s), 551MiB/s-551MiB/s (578MB/s-578MB/s), io=96.9GiB (104GB), run=180101-180101msec
T37L-WS1	randwrite-T37L-WS1-r2	  WRITE: bw=551MiB/s (578MB/s), 551MiB/s-551MiB/s (578MB/s-578MB/s), io=96.9GiB (104GB), run=180021-180021msec
T37L-WS2	randwrite-T37L-WS2-r1	  WRITE: bw=551MiB/s (578MB/s), 551MiB/s-551MiB/s (578MB/s-578MB/s), io=97.0GiB (104GB), run=180082-180082msec
T37L-WS2	randwrite-T37L-WS2-r2	  WRITE: bw=552MiB/s (579MB/s), 552MiB/s-552MiB/s (579MB/s-579MB/s), io=97.1GiB (104GB), run=180137-180137msec
