ts	key	value
1786511330	juicefs_blockcache_hit_bytes	0
1786511330	juicefs_blockcache_miss_bytes	0
1786511330	juicefs_fuse_open_handlers	1
1786511330	juicefs_fuse_ops_durations_histogram_seconds_total	160
1786511330	juicefs_fuse_ops_durations_histogram_seconds_sum	0.05015415899999998
1786511330	juicefs_fuse_ops_total_read	63
1786511330	juicefs_fuse_read_size_bytes_sum	0
1786511330	juicefs_meta_ops_durations_histogram_seconds_total	6
1786511330	juicefs_meta_ops_durations_histogram_seconds_sum	0.003120268
1786511330	juicefs_object_request_uploading	0
1786511330	juicefs_process_cpu_seconds_total	0.22
1786511330	juicefs_staging_blocks	0
1786511330	juicefs_used_buffer_size_bytes	0
1786511330	juicefs_used_read_buffer_size_bytes	0
1786511331	juicefs_blockcache_hit_bytes	0
1786511331	juicefs_blockcache_miss_bytes	0
1786511331	juicefs_fuse_open_handlers	1
1786511331	juicefs_fuse_ops_durations_histogram_seconds_total	166
1786511331	juicefs_fuse_ops_durations_histogram_seconds_sum	0.05249680399999998
1786511331	juicefs_fuse_ops_total_read	65
1786511331	juicefs_fuse_read_size_bytes_sum	0
1786511331	juicefs_meta_ops_durations_histogram_seconds_total	7
1786511331	juicefs_meta_ops_durations_histogram_seconds_sum	0.0036471349999999997
1786511331	juicefs_object_request_uploading	0
1786511331	juicefs_process_cpu_seconds_total	0.23
1786511331	juicefs_staging_blocks	0
1786511331	juicefs_used_buffer_size_bytes	0
1786511331	juicefs_used_read_buffer_size_bytes	0
1786511332	juicefs_blockcache_hit_bytes	0
1786511332	juicefs_blockcache_miss_bytes	0
1786511332	juicefs_fuse_open_handlers	1
1786511332	juicefs_fuse_ops_durations_histogram_seconds_total	322
1786511332	juicefs_fuse_ops_durations_histogram_seconds_sum	0.10586531300000006
1786511332	juicefs_fuse_ops_total_read	127
1786511332	juicefs_fuse_read_size_bytes_sum	0
1786511332	juicefs_meta_ops_durations_histogram_seconds_total	8
1786511332	juicefs_meta_ops_durations_histogram_seconds_sum	0.004180601
1786511332	juicefs_object_request_uploading	0
1786511332	juicefs_process_cpu_seconds_total	0.34
1786511332	juicefs_staging_blocks	0
1786511332	juicefs_used_buffer_size_bytes	0
1786511332	juicefs_used_read_buffer_size_bytes	0
1786511333	juicefs_blockcache_hit_bytes	0
1786511333	juicefs_blockcache_miss_bytes	0
1786511333	juicefs_fuse_open_handlers	1
1786511333	juicefs_fuse_ops_durations_histogram_seconds_total	328
1786511333	juicefs_fuse_ops_durations_histogram_seconds_sum	0.10788957300000006
1786511333	juicefs_fuse_ops_total_read	129
1786511333	juicefs_fuse_read_size_bytes_sum	0
1786511333	juicefs_meta_ops_durations_histogram_seconds_total	9
1786511333	juicefs_meta_ops_durations_histogram_seconds_sum	0.004664382
1786511333	juicefs_object_request_uploading	0
1786511333	juicefs_process_cpu_seconds_total	0.34
1786511333	juicefs_staging_blocks	0
1786511333	juicefs_used_buffer_size_bytes	0
1786511333	juicefs_used_read_buffer_size_bytes	0
1786511334	juicefs_blockcache_hit_bytes	0
1786511334	juicefs_blockcache_miss_bytes	0
1786511334	juicefs_fuse_open_handlers	1
1786511334	juicefs_fuse_ops_durations_histogram_seconds_total	334
1786511334	juicefs_fuse_ops_durations_histogram_seconds_sum	0.11001071700000005
1786511334	juicefs_fuse_ops_total_read	131
1786511334	juicefs_fuse_read_size_bytes_sum	0
1786511334	juicefs_meta_ops_durations_histogram_seconds_total	10
1786511334	juicefs_meta_ops_durations_histogram_seconds_sum	0.005228906
1786511334	juicefs_object_request_uploading	0
1786511334	juicefs_process_cpu_seconds_total	0.35
1786511334	juicefs_staging_blocks	0
1786511334	juicefs_used_buffer_size_bytes	0
1786511334	juicefs_used_read_buffer_size_bytes	0
1786511335	juicefs_blockcache_hit_bytes	0
1786511335	juicefs_blockcache_miss_bytes	0
1786511335	juicefs_fuse_open_handlers	1
1786511335	juicefs_fuse_ops_durations_histogram_seconds_total	340
1786511335	juicefs_fuse_ops_durations_histogram_seconds_sum	0.11226296800000005
1786511335	juicefs_fuse_ops_total_read	133
