ts	key	value
1786514958	juicefs_blockcache_hit_bytes	0
1786514958	juicefs_blockcache_miss_bytes	0
1786514958	juicefs_fuse_open_handlers	1
1786514958	juicefs_fuse_ops_durations_histogram_seconds_total	162
1786514958	juicefs_fuse_ops_durations_histogram_seconds_sum	0.05632701900000003
1786514958	juicefs_fuse_ops_total_read	63
1786514958	juicefs_fuse_read_size_bytes_sum	0
1786514958	juicefs_meta_ops_durations_histogram_seconds_total	8
1786514958	juicefs_meta_ops_durations_histogram_seconds_sum	0.006683898
1786514958	juicefs_object_request_uploading	0
1786514958	juicefs_process_cpu_seconds_total	0.22
1786514958	juicefs_staging_blocks	0
1786514958	juicefs_used_buffer_size_bytes	0
1786514958	juicefs_used_read_buffer_size_bytes	0
1786514959	juicefs_blockcache_hit_bytes	0
1786514959	juicefs_blockcache_miss_bytes	0
1786514959	juicefs_fuse_open_handlers	1
1786514959	juicefs_fuse_ops_durations_histogram_seconds_total	168
1786514959	juicefs_fuse_ops_durations_histogram_seconds_sum	0.05921421600000002
1786514959	juicefs_fuse_ops_total_read	65
1786514959	juicefs_fuse_read_size_bytes_sum	0
1786514959	juicefs_meta_ops_durations_histogram_seconds_total	9
1786514959	juicefs_meta_ops_durations_histogram_seconds_sum	0.007269543999999999
1786514959	juicefs_object_request_uploading	0
1786514959	juicefs_process_cpu_seconds_total	0.22
1786514959	juicefs_staging_blocks	0
1786514959	juicefs_used_buffer_size_bytes	0
1786514959	juicefs_used_read_buffer_size_bytes	0
1786514960	juicefs_blockcache_hit_bytes	0
1786514960	juicefs_blockcache_miss_bytes	0
1786514960	juicefs_fuse_open_handlers	1
1786514960	juicefs_fuse_ops_durations_histogram_seconds_total	174
1786514960	juicefs_fuse_ops_durations_histogram_seconds_sum	0.06149125400000002
1786514960	juicefs_fuse_ops_total_read	67
1786514960	juicefs_fuse_read_size_bytes_sum	0
1786514960	juicefs_meta_ops_durations_histogram_seconds_total	10
1786514960	juicefs_meta_ops_durations_histogram_seconds_sum	0.007843296
1786514960	juicefs_object_request_uploading	0
1786514960	juicefs_process_cpu_seconds_total	0.22
1786514960	juicefs_staging_blocks	0
1786514960	juicefs_used_buffer_size_bytes	0
1786514960	juicefs_used_read_buffer_size_bytes	0
1786514961	juicefs_blockcache_hit_bytes	0
1786514961	juicefs_blockcache_miss_bytes	0
1786514961	juicefs_fuse_open_handlers	1
1786514961	juicefs_fuse_ops_durations_histogram_seconds_total	180
1786514961	juicefs_fuse_ops_durations_histogram_seconds_sum	0.06381489100000003
1786514961	juicefs_fuse_ops_total_read	69
1786514961	juicefs_fuse_read_size_bytes_sum	0
1786514961	juicefs_meta_ops_durations_histogram_seconds_total	11
1786514961	juicefs_meta_ops_durations_histogram_seconds_sum	0.0084052
1786514961	juicefs_object_request_uploading	0
1786514961	juicefs_process_cpu_seconds_total	0.23
1786514961	juicefs_staging_blocks	0
1786514961	juicefs_used_buffer_size_bytes	0
1786514961	juicefs_used_read_buffer_size_bytes	0
1786514962	juicefs_blockcache_hit_bytes	0
1786514962	juicefs_blockcache_miss_bytes	0
1786514962	juicefs_fuse_open_handlers	1
1786514962	juicefs_fuse_ops_durations_histogram_seconds_total	336
1786514962	juicefs_fuse_ops_durations_histogram_seconds_sum	0.11481130199999998
1786514962	juicefs_fuse_ops_total_read	131
1786514962	juicefs_fuse_read_size_bytes_sum	0
1786514962	juicefs_meta_ops_durations_histogram_seconds_total	12
1786514962	juicefs_meta_ops_durations_histogram_seconds_sum	0.009012255
1786514962	juicefs_object_request_uploading	0
1786514962	juicefs_process_cpu_seconds_total	0.37
1786514962	juicefs_staging_blocks	0
1786514962	juicefs_used_buffer_size_bytes	0
1786514962	juicefs_used_read_buffer_size_bytes	0
1786514963	juicefs_blockcache_hit_bytes	0
1786514963	juicefs_blockcache_miss_bytes	0
1786514963	juicefs_fuse_open_handlers	1
1786514963	juicefs_fuse_ops_durations_histogram_seconds_total	342
1786514963	juicefs_fuse_ops_durations_histogram_seconds_sum	0.11692299699999997
1786514963	juicefs_fuse_ops_total_read	133
1786514963	juicefs_fuse_read_size_bytes_sum	0
1786514963	juicefs_meta_ops_durations_histogram_seconds_total	14
1786514963	juicefs_meta_ops_durations_histogram_seconds_sum	0.010713506000000001
1786514963	juicefs_object_request_uploading	0
1786514963	juicefs_process_cpu_seconds_total	0.37
1786514963	juicefs_staging_blocks	0
1786514963	juicefs_used_buffer_size_bytes	0
1786514963	juicefs_used_read_buffer_size_bytes	0
1786514964	juicefs_blockcache_hit_bytes	0
1786514964	juicefs_blockcache_miss_bytes	0
1786514964	juicefs_fuse_open_handlers	1
1786514964	juicefs_fuse_ops_durations_histogram_seconds_total	354
1786514964	juicefs_fuse_ops_durations_histogram_seconds_sum	0.124178179
1786514964	juicefs_fuse_ops_total_read	135
1786514964	juicefs_fuse_read_size_bytes_sum	0
1786514964	juicefs_meta_ops_durations_histogram_seconds_total	21
1786514964	juicefs_meta_ops_durations_histogram_seconds_sum	0.016190565999999997
1786514964	juicefs_object_request_uploading	0
1786514964	juicefs_process_cpu_seconds_total	0.38
1786514964	juicefs_staging_blocks	0
1786514964	juicefs_used_buffer_size_bytes	0
1786514964	juicefs_used_read_buffer_size_bytes	0
1786514965	juicefs_blockcache_hit_bytes	0
1786514965	juicefs_blockcache_miss_bytes	0
1786514965	juicefs_fuse_open_handlers	1
1786514965	juicefs_fuse_ops_durations_histogram_seconds_total	360
1786514965	juicefs_fuse_ops_durations_histogram_seconds_sum	0.126316809
1786514965	juicefs_fuse_ops_total_read	137
1786514965	juicefs_fuse_read_size_bytes_sum	0
1786514965	juicefs_meta_ops_durations_histogram_seconds_total	22
1786514965	juicefs_meta_ops_durations_histogram_seconds_sum	0.016617959999999998
1786514965	juicefs_object_request_uploading	0
1786514965	juicefs_process_cpu_seconds_total	0.39
1786514965	juicefs_staging_blocks	0
1786514965	juicefs_used_buffer_size_bytes	0
1786514965	juicefs_used_read_buffer_size_bytes	0
1786514966	juicefs_blockcache_hit_bytes	0
1786514966	juicefs_blockcache_miss_bytes	0
1786514966	juicefs_fuse_open_handlers	1
1786514966	juicefs_fuse_ops_durations_histogram_seconds_total	366
1786514966	juicefs_fuse_ops_durations_histogram_seconds_sum	0.128330842
1786514966	juicefs_fuse_ops_total_read	139
1786514966	juicefs_fuse_read_size_bytes_sum	0
1786514966	juicefs_meta_ops_durations_histogram_seconds_total	23
