label	item_round	raw_line
T38-A1	randrw-T38-A1-r1	   READ: bw=1916MiB/s (2009MB/s), 1916MiB/s-1916MiB/s (2009MB/s-2009MB/s), io=337GiB (362GB), run=180057-180057msec
T38-A1	randrw-T38-A1-r1	  WRITE: bw=1916MiB/s (2009MB/s), 1916MiB/s-1916MiB/s (2009MB/s-2009MB/s), io=337GiB (362GB), run=180057-180057msec
T38-A1	randrw-T38-A1-r2	   READ: bw=1923MiB/s (2017MB/s), 1923MiB/s-1923MiB/s (2017MB/s-2017MB/s), io=338GiB (363GB), run=180070-180070msec
T38-A1	randrw-T38-A1-r2	  WRITE: bw=1923MiB/s (2016MB/s), 1923MiB/s-1923MiB/s (2016MB/s-2016MB/s), io=338GiB (363GB), run=180070-180070msec
T38-A1	randwrite-T38-A1-r1	  WRITE: bw=3583MiB/s (3757MB/s), 3583MiB/s-3583MiB/s (3757MB/s-3757MB/s), io=630GiB (677GB), run=180084-180084msec
T38-A1	randwrite-T38-A1-r2	  WRITE: bw=3009MiB/s (3155MB/s), 3009MiB/s-3009MiB/s (3155MB/s-3155MB/s), io=529GiB (568GB), run=180113-180113msec
T38-A2	randrw-T38-A2-r1	   READ: bw=1593MiB/s (1670MB/s), 1593MiB/s-1593MiB/s (1670MB/s-1670MB/s), io=280GiB (301GB), run=180050-180050msec
T38-A2	randrw-T38-A2-r1	  WRITE: bw=1592MiB/s (1670MB/s), 1592MiB/s-1592MiB/s (1670MB/s-1670MB/s), io=280GiB (301GB), run=180050-180050msec
T38-A2	randrw-T38-A2-r2	   READ: bw=1562MiB/s (1638MB/s), 1562MiB/s-1562MiB/s (1638MB/s-1638MB/s), io=275GiB (295GB), run=180047-180047msec
T38-A2	randrw-T38-A2-r2	  WRITE: bw=1563MiB/s (1638MB/s), 1563MiB/s-1563MiB/s (1638MB/s-1638MB/s), io=275GiB (295GB), run=180047-180047msec
T38-A2	randwrite-T38-A2-r1	  WRITE: bw=2970MiB/s (3114MB/s), 2970MiB/s-2970MiB/s (3114MB/s-3114MB/s), io=522GiB (561GB), run=180058-180058msec
T38-A2	randwrite-T38-A2-r2	  WRITE: bw=2998MiB/s (3144MB/s), 2998MiB/s-2998MiB/s (3144MB/s-3144MB/s), io=527GiB (566GB), run=180049-180049msec
T38-B1	randrw-T38-B1-r1	   READ: bw=1560MiB/s (1636MB/s), 1560MiB/s-1560MiB/s (1636MB/s-1636MB/s), io=274GiB (294GB), run=180029-180029msec
T38-B1	randrw-T38-B1-r1	  WRITE: bw=1560MiB/s (1636MB/s), 1560MiB/s-1560MiB/s (1636MB/s-1636MB/s), io=274GiB (294GB), run=180029-180029msec
T38-B1	randrw-T38-B1-r2	   READ: bw=1599MiB/s (1677MB/s), 1599MiB/s-1599MiB/s (1677MB/s-1677MB/s), io=281GiB (302GB), run=180035-180035msec
T38-B1	randrw-T38-B1-r2	  WRITE: bw=1599MiB/s (1676MB/s), 1599MiB/s-1599MiB/s (1676MB/s-1676MB/s), io=281GiB (302GB), run=180035-180035msec
T38-B1	randwrite-T38-B1-r1	  WRITE: bw=551MiB/s (578MB/s), 551MiB/s-551MiB/s (578MB/s-578MB/s), io=96.9GiB (104GB), run=180105-180105msec
T38-B1	randwrite-T38-B1-r2	  WRITE: bw=551MiB/s (577MB/s), 551MiB/s-551MiB/s (577MB/s-577MB/s), io=96.8GiB (104GB), run=180045-180045msec
T38-B2	randrw-T38-B2-r1	   READ: bw=1960MiB/s (2056MB/s), 1960MiB/s-1960MiB/s (2056MB/s-2056MB/s), io=345GiB (370GB), run=180047-180047msec
T38-B2	randrw-T38-B2-r1	  WRITE: bw=1960MiB/s (2056MB/s), 1960MiB/s-1960MiB/s (2056MB/s-2056MB/s), io=345GiB (370GB), run=180047-180047msec
T38-B2	randrw-T38-B2-r2	   READ: bw=1959MiB/s (2054MB/s), 1959MiB/s-1959MiB/s (2054MB/s-2054MB/s), io=345GiB (370GB), run=180200-180200msec
T38-B2	randrw-T38-B2-r2	  WRITE: bw=1959MiB/s (2054MB/s), 1959MiB/s-1959MiB/s (2054MB/s-2054MB/s), io=345GiB (370GB), run=180200-180200msec
T38-B2	randwrite-T38-B2-r1	  WRITE: bw=551MiB/s (578MB/s), 551MiB/s-551MiB/s (578MB/s-578MB/s), io=96.9GiB (104GB), run=180105-180105msec
T38-B2	randwrite-T38-B2-r2	  WRITE: bw=551MiB/s (578MB/s), 551MiB/s-551MiB/s (578MB/s-578MB/s), io=96.9GiB (104GB), run=180017-180017msec
PROBE-T38-A1	mseqread-PROBE-T38-A1-r1	   READ: bw=3948MiB/s (4140MB/s), 3948MiB/s-3948MiB/s (4140MB/s-4140MB/s), io=694GiB (745GB), run=180007-180007msec
PROBE-T38-A1	mseqread-PROBE-T38-A1-r2	   READ: bw=3973MiB/s (4166MB/s), 3973MiB/s-3973MiB/s (4166MB/s-4166MB/s), io=698GiB (750GB), run=180008-180008msec
PROBE-T38-A2	mseqread-PROBE-T38-A2-r1	   READ: bw=3313MiB/s (3473MB/s), 3313MiB/s-3313MiB/s (3473MB/s-3473MB/s), io=582GiB (625GB), run=180010-180010msec
PROBE-T38-A2	mseqread-PROBE-T38-A2-r2	   READ: bw=3223MiB/s (3380MB/s), 3223MiB/s-3223MiB/s (3380MB/s-3380MB/s), io=567GiB (608GB), run=180008-180008msec
PROBE-T38-B1	mseqread-PROBE-T38-B1-r1	   READ: bw=2915MiB/s (3057MB/s), 2915MiB/s-2915MiB/s (3057MB/s-3057MB/s), io=512GiB (550GB), run=180010-180010msec
PROBE-T38-B1	mseqread-PROBE-T38-B1-r2	   READ: bw=2954MiB/s (3097MB/s), 2954MiB/s-2954MiB/s (3097MB/s-3097MB/s), io=519GiB (558GB), run=180011-180011msec
PROBE-T38-B2	mseqread-PROBE-T38-B2-r1	   READ: bw=4221MiB/s (4427MB/s), 4221MiB/s-4221MiB/s (4427MB/s-4427MB/s), io=742GiB (797GB), run=180007-180007msec
PROBE-T38-B2	mseqread-PROBE-T38-B2-r2	   READ: bw=4236MiB/s (4442MB/s), 4236MiB/s-4236MiB/s (4442MB/s-4442MB/s), io=745GiB (800GB), run=180007-180007msec
