------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 0.0%  965M 1344K|   0     0     0     0 |   0     0 |   0     0 |   0     0 
 0.7%  966M 1344K|  12  0.22     0     0 |   1  0.53 |   0     0 |   0     0 
 1.0%  966M 1344K|  21  0.67     0     0 |  11  1.19 |   0     0 |   0     0 
 504% 1007M  279M|  15K 2.21     0  1898M|1015  1.36 |   0     0 |   0  1621M
1601% 1208M  301M|  32K 3.09     0  4193M|  12K 2.26 |   0     0 |   0  4169M
1696% 1335M  292M|  29K 3.49     0  3814M|  14K 2.48 |   0     0 |   0  3831M
1686% 1360M  301M|  30K 3.48     0  3870M|  14K 2.63 |   0     0 |   0  3857M
1725% 1402M  298M|  30K 3.45     0  3944M|  14K 3.02 |   0     0 |   0  3946M
1797% 1421M  306M|  30K 3.29     0  3948M|  14K 2.82 |   0     0 |   0  3948M
1721% 1428M  276M|  32K 3.22     0  4098M|  15K 3.04 |   0     0 |   0  4118M
1712% 1431M  300M|  30K 3.44     0  3903M|  14K 2.96 |   0     0 |   0  3884M
1674% 1441M  300M|  30K 3.43     0  3875M|  14K 3.17 |   0     0 |   0  3874M
1552% 1460M  297M|  28K 3.65     0  3694M|  13K 3.06 |   0     0 |  17M 3713M
1684% 1511M  300M|  30K 3.42     0  3887M|  14K 3.04 |   0     0 | 120M 4010M
1646% 1522M  296M|  28K 3.65     0  3687M|  13K 3.31 |   0     0 | 229M 3904M
1544% 1540M  291M|  27K 3.87     0  3487M|  13K 3.04 |   0     0 | 213M 3717M
1614% 1515M  276M|  27K 3.89     0  3524M|  13K 3.44 |   0     0 | 199M 3741M
1548% 1499M  301M|  27K 3.90     0  3502M|  12K 3.26 |   0     0 | 199M 3676M
1583% 1503M  292M|  26K 3.87     0  3439M|  12K 3.47 |   0     0 | 204M 3656M
1593% 1515M  300M|  27K 3.98     0  3457M|  12K 3.35 |   0     0 | 201M 3647M
1466% 1521M  290M|  26K 4.07     0  3393M|  12K 3.72 |   0     0 | 194M 3603M
1633% 1523M  266M|  29K 3.57     0  3770M|  13K 3.37 |   0     0 | 226M 4016M
1691% 1542M  297M|  29K 3.47     0  3825M|  14K 3.01 |   0     0 | 214M 3999M
1587% 1544M  306M|  29K 3.64     0  3750M|  13K 3.56 |   0     0 | 121M 3866M
1698% 1547M  295M|  30K 3.35     0  3959M|  14K 3.25 |   0     0 |  29M 3992M
1649% 1578M  283M|  28K 3.65     0  3694M|  13K 3.46 |   0     0 |  12M 3727M
1602% 1591M  286M|  28K 3.69     0  3658M|  13K 3.35 |   0     0 |  48M 3707M
1520% 1589M  288M|  27K 3.97     0  3468M|  12K 3.38 |   0     0 | 164M 3619M
1700% 1581M  300M|  29K 3.49     0  3768M|  13K 3.71 |   0     0 | 223M 3986M
1620% 1590M  300M|  27K 3.84     0  3553M|  12K 3.43 |   0     0 | 204M 3771M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
1599% 1586M  299M|  28K 3.80     0  3618M|  12K 3.92 |   0     0 | 195M 3802M
1521% 1581M  270M|  27K 3.80     0  3532M|  11K 3.50 |   0     0 | 225M 3786M
1502% 1556M  282M|  28K 3.72     0  3660M|  11K 3.39 |   0     0 | 206M 3855M
1621% 1569M  291M|  30K 3.50     0  3889M|  12K 4.48 |   0     0 | 215M 4095M
1539% 1581M  297M|  29K 3.64     0  3708M|  11K 3.68 |   0     0 | 205M 3911M
1429% 1585M  317M|  27K 3.87     0  3551M|  10K 4.17 |   0     0 | 211M 3745M
1314% 1559M  272M|  26K 4.05     0  3405M|   9K 3.49 |   0     0 | 228M 3676M
1426% 1516M  302M|  27K 3.83     0  3578M|  10K 3.69 |   0     0 | 199M 3754M
1410% 1505M  304M|  28K 3.78     0  3592M|  10K 3.83 |   0     0 | 214M 3799M
1520% 1510M  300M|  28K 3.74     0  3646M|  11K 3.70 |   0     0 | 206M 3856M
1585% 1514M  294M|  28K 3.75     0  3622M|  12K 3.88 |   0     0 | 141M 3762M
1677% 1515M  301M|  29K 3.60     0  3745M|  13K 4.47 |   0     0 |  67M 3815M
1647% 1535M  294M|  28K 3.77     0  3624M|  13K 4.33 |   0     0 |  41M 3660M
1690% 1538M  299M|  29K 3.57     0  3788M|  14K 4.66 |   0     0 |  27M 3825M
1689% 1543M  305M|  29K 3.65     0  3724M|  13K 4.99 |   0     0 |  71M 3783M
1645% 1571M  302M|  26K 4.06     0  3380M|  12K 4.38 |   0     0 | 200M 3584M
1534% 1589M  275M|  24K 4.39     0  3173M|  12K 5.01 |   0     0 | 197M 3398M
1518% 1593M  300M|  24K 4.48     0  3155M|  11K 4.08 |   0     0 | 203M 3331M
1517% 1594M  296M|  24K 4.41     0  3161M|  11K 4.85 |   0     0 | 162M 3326M
1401% 1596M  300M|  23K 4.61     0  3043M|  11K 5.64 |   0     0 | 184M 3224M
1688% 1597M  299M|  28K 3.77     0  3606M|  13K 4.62 |   0     0 | 208M 3825M
1710% 1599M  286M|  28K 3.68     0  3635M|  13K 4.52 |   0     0 | 187M 3832M
1653% 1599M  294M|  27K 3.89     0  3498M|  13K 4.55 |   0     0 | 197M 3682M
1622% 1600M  309M|  27K 3.82     0  3551M|  13K 5.20 |   0     0 | 203M 3744M
1660% 1605M  310M|  27K 3.85     0  3538M|  12K 5.05 |   0     0 | 206M 3742M
1745% 1610M  298M|  28K 3.63     0  3671M|  13K 5.71 |   0     0 | 170M 3860M
1617% 1638M  299M|  28K 3.77     0  3590M|  13K 4.48 |   0     0 | 205M 3791M
1665% 1639M  300M|  27K 3.93     0  3463M|  12K 4.86 |   0     0 | 209M 3670M
1635% 1643M  302M|  27K 3.84     0  3574M|  13K 4.81 |   0     0 | 183M 3756M
1661% 1625M  300M|  27K 3.88     0  3555M|  12K 5.27 |   0     0 | 188M 3745M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
1633% 1626M  298M|  27K 3.86     0  3512M|  12K 6.37 |   0     0 | 212M 3724M
1629% 1638M  286M|  27K 3.94     0  3456M|  12K 6.66 |   0     0 | 203M 3676M
1741% 1626M  303M|  29K 3.62     0  3713M|  13K 5.87 |   0     0 | 168M 3855M
1634% 1632M  290M|  27K 3.78     0  3574M|  12K 5.33 |   0     0 | 194M 3785M
1641% 1709M  297M|  26K 3.98     0  3452M|  12K 4.91 |   0     0 | 217M 3667M
1628% 1709M  296M|  27K 3.86     0  3512M|  12K 5.55 |   0     0 | 191M 3704M
1587% 1723M  298M|  27K 3.95     0  3502M|  12K 5.98 |   0     0 | 171M 3670M
1618% 1624M  298M|  27K 3.86     0  3507M|  12K 5.17 |   0     0 | 194M 3706M
1489% 1635M  299M|  25K 4.17     0  3315M|  11K 5.42 |   0     0 | 208M 3520M
1543% 1638M  296M|  27K 3.80     0  3536M|  11K 5.89 |   0     0 | 168M 3707M
1582% 1622M  292M|  28K 3.73     0  3621M|  11K 7.27 |   0     0 | 197M 3819M
1507% 1653M  299M|  27K 3.81     0  3565M|  11K 7.02 |   0     0 | 211M 3776M
1490% 1653M  285M|  27K 3.83     0  3567M|  10K 6.16 |   0     0 | 194M 3774M
1497% 1664M  302M|  28K 3.77     0  3615M|  10K 5.86 |   0     0 | 177M 3775M
1537% 1633M  300M|  29K 3.59     0  3736M|  10K 5.35 |   0     0 | 202M 3944M
1487% 1580M  285M|  27K 3.86     0  3548M|  10K 6.82 |   0     0 | 211M 3767M
