------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 0.0%  963M 1408K|   0     0     0     0 |   0     0 |   0     0 |   0     0 
 0.6%  963M 1408K|  12  0.20     0     0 |   1  0.39 |   0     0 |   0     0 
 1.2%  963M 1408K|  36  0.41     0     0 |  25  0.51 |   0     0 |   0     0 
 582% 1017M  290M|  18K 2.16     0  2378M|1738  1.77 |   0     0 |   0  2093M
1818% 1267M  300M|  36K 2.72     0  4624M|  15K 3.23 |   0     0 |   0  4616M
1942% 1371M  303M|  36K 2.71     0  4664M|  17K 3.18 |   0     0 |   0  4661M
2001% 1402M  272M|  37K 2.59     0  4804M|  18K 3.40 |   0     0 |   0  4830M
1999% 1418M  309M|  36K 2.70     0  4715M|  17K 3.86 |   0     0 |   0  4685M
2058% 1430M  285M|  37K 2.69     0  4752M|  17K 3.76 |   0     0 |   0  4772M
2002% 1455M  289M|  37K 2.59     0  4780M|  17K 3.55 |   0     0 |   0  4784M
1976% 1464M  297M|  36K 2.77     0  4671M|  17K 3.85 |   0     0 |4352K 4659M
1935% 1480M  307M|  35K 2.77     0  4563M|  17K 3.90 |   0     0 |  42M 4599M
1816% 1528M  300M|  33K 3.01     0  4343M|  16K 3.52 |   0     0 | 213M 4565M
1856% 1556M  292M|  32K 3.15     0  4218M|  15K 3.39 |   0     0 | 204M 4427M
1869% 1566M  287M|  33K 3.04     0  4295M|  16K 3.63 |   0     0 | 197M 4501M
1842% 1564M  300M|  33K 3.07     0  4277M|  15K 3.58 |   0     0 | 166M 4432M
1777% 1571M  292M|  33K 3.07     0  4225M|  15K 3.25 |   0     0 | 212M 4439M
1697% 1572M  295M|  31K 3.28     0  3986M|  14K 3.41 |   0     0 | 196M 4184M
1799% 1575M  302M|  33K 3.11     0  4257M|  15K 3.78 |   0     0 | 197M 4452M
1821% 1579M  290M|  33K 3.15     0  4232M|  15K 3.76 |   0     0 | 195M 4433M
1806% 1577M  279M|  32K 3.21     0  4179M|  15K 4.55 |   0     0 | 199M 4390M
1834% 1578M  300M|  33K 3.13     0  4248M|  15K 4.01 |   0     0 | 191M 4419M
1891% 1589M  290M|  35K 2.85     0  4513M|  16K 3.99 |   0     0 |  96M 4622M
1866% 1600M  292M|  34K 3.00     0  4361M|  15K 4.46 |   0     0 |  84M 4440M
1769% 1600M  300M|  33K 3.11     0  4244M|  15K 3.75 |   0     0 | 198M 4440M
1776% 1583M  302M|  33K 3.09     0  4229M|  14K 3.89 |   0     0 | 196M 4423M
1781% 1589M  300M|  33K 3.04     0  4237M|  14K 3.53 |   0     0 | 200M 4436M
1758% 1613M  289M|  32K 3.16     0  4132M|  13K 3.75 |   0     0 | 172M 4318M
1707% 1601M  295M|  32K 3.20     0  4195M|  13K 4.04 |   0     0 | 198M 4387M
1631% 1606M  277M|  31K 3.27     0  4017M|  12K 3.78 |   0     0 | 180M 4219M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
1640% 1611M  285M|  33K 3.06     0  4297M|  12K 3.82 |   0     0 | 189M 4479M
1536% 1569M  298M|  30K 3.39     0  3964M|  11K 3.87 |   0     0 | 177M 4125M
1567% 1530M  299M|  32K 3.12     0  4185M|  11K 3.28 |   0     0 | 189M 4375M
1627% 1508M  296M|  33K 3.08     0  4263M|  12K 3.64 |   0     0 | 204M 4467M
1824% 1518M  299M|  34K 2.96     0  4362M|  14K 4.45 |   0     0 | 158M 4523M
2018% 1550M  293M|  36K 2.68     0  4657M|  16K 5.07 |   0     0 |  78M 4741M
1967% 1571M  299M|  34K 2.86     0  4441M|  16K 4.69 |   0     0 |  73M 4507M
1964% 1581M  300M|  34K 3.00     0  4361M|  16K 5.39 |   0     0 |  58M 4415M
1990% 1596M  307M|  34K 2.84     0  4470M|  16K 4.67 |   0     0 | 110M 4581M
1837% 1598M  275M|  31K 3.25     0  4098M|  15K 4.24 |   0     0 | 191M 4314M
1884% 1598M  298M|  32K 3.26     0  4103M|  15K 4.73 |   0     0 | 191M 4270M
1891% 1660M  299M|  33K 3.08     0  4313M|  16K 4.95 |   0     0 | 195M 4509M
1754% 1660M  268M|  28K 3.78     0  3662M|  14K 5.51 |   0     0 | 155M 3850M
1825% 1659M  296M|  32K 3.17     0  4186M|  15K 5.29 |   0     0 | 212M 4372M
1873% 1606M  307M|  31K 3.38     0  3996M|  14K 5.17 |   0     0 | 191M 4173M
1904% 1645M  299M|  32K 3.15     0  4170M|  15K 5.68 |   0     0 | 170M 4358M
1971% 1708M  288M|  32K 3.07     0  4168M|  15K 6.12 |   0     0 | 179M 4356M
1831% 1697M  291M|  31K 3.29     0  3998M|  14K 4.78 |   0     0 | 197M 4187M
1911% 1677M  298M|  32K 3.28     0  4123M|  15K 6.00 |   0     0 | 201M 4314M
1894% 1680M  300M|  31K 3.31     0  4058M|  14K 5.82 |   0     0 | 185M 4242M
1865% 1684M  293M|  32K 3.14     0  4187M|  15K 5.02 |   0     0 | 208M 4407M
1888% 1685M  300M|  32K 3.15     0  4165M|  15K 5.80 |   0     0 | 206M 4363M
1943% 1655M  303M|  32K 3.18     0  4127M|  15K 5.82 |   0     0 | 186M 4310M
1908% 1665M  285M|  32K 3.20     0  4175M|  15K 5.09 |   0     0 | 157M 4353M
1860% 1691M  304M|  32K 3.21     0  4117M|  14K 5.38 |   0     0 | 186M 4280M
1873% 1673M  280M|  32K 3.08     0  4166M|  14K 5.84 |   0     0 | 210M 4406M
1964% 1676M  299M|  34K 2.90     0  4443M|  15K 5.44 |   0     0 | 176M 4600M
2003% 1686M  301M|  35K 2.80     0  4591M|  15K 6.33 |   0     0 | 206M 4796M
1760% 1670M  286M|  30K 3.38     0  3961M|  13K 5.45 |   0     0 | 220M 4194M
1756% 1682M  308M|  33K 3.03     0  4293M|  13K 4.83 |   0     0 | 209M 4479M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
1840% 1683M  292M|  34K 3.02     0  4350M|  13K 5.12 |   0     0 | 170M 4541M
1799% 1701M  296M|  34K 2.90     0  4409M|  13K 5.07 |   0     0 | 199M 4602M
1628% 1718M  294M|  33K 3.04     0  4255M|  12K 5.22 |   0     0 | 194M 4455M
1738% 1670M  287M|  33K 3.08     0  4280M|  12K 5.32 |   0     0 | 178M 4458M
1801% 1683M  300M|  34K 2.98     0  4419M|  12K 5.25 |   0     0 | 165M 4571M
1863% 1704M  299M|  33K 3.04     0  4320M|  14K 5.67 |   0     0 | 205M 4532M
1861% 1704M  294M|  31K 3.24     0  4066M|  14K 5.78 |   0     0 | 209M 4277M
2028% 1705M  300M|  34K 2.93     0  4380M|  16K 8.02 |   0     0 | 172M 4550M
2090% 1713M  303M|  33K 3.02     0  4309M|  16K 9.53 |   0     0 | 187M 4495M
1970% 1732M  297M|  33K 3.05     0  4294M|  15K 8.77 |   0     0 | 218M 4515M
1996% 1726M  303M|  32K 3.08     0  4187M|  16K 8.22 |   0     0 | 185M 4366M
1886% 1728M  302M|  31K 3.31     0  4012M|  14K 7.09 |   0     0 | 153M 4166M
1996% 1760M  297M|  32K 3.22     0  4105M|  15K 8.59 |   0     0 | 194M 4308M
