PG_STAT ACTING_PRIMARY ACTING
99.1f 1 [1,3,2,5,0,4]
99.1e 0 [0,1,2,4,5,3]
99.1d 4 [4,0,3,5,1,2]
99.1c 3 [3,4,5,2,0,1]
99.1b 1 [1,3,4,5,0,2]
99.1a 2 [2,3,4,1,0,5]
99.19 4 [4,3,0,2,5,1]
99.18 1 [1,3,2,4,0,5]
99.17 2 [2,4,3,5,0,1]
99.16 4 [4,5,3,2,0,1]
99.15 3 [3,0,5,1,2,4]
99.14 2 [2,0,5,3,4,1]
99.13 1 [1,0,3,4,2,5]
99.12 5 [5,4,2,0,3,1]
99.11 4 [4,5,2,1,0,3]
99.10 3 [3,1,4,0,5,2]
99.f 1 [1,4,3,0,2,5]
99.e 1 [1,2,5,4,3,0]
99.d 5 [5,4,1,0,2,3]
99.c 4 [4,1,0,5,2,3]
99.b 0 [0,1,3,5,4,2]
99.a 5 [5,4,1,0,2,3]
99.9 3 [3,4,0,2,1,5]
99.8 1 [1,3,0,2,5,4]
99.7 4 [4,5,2,0,3,1]
99.6 4 [4,1,2,5,3,0]
99.5 2 [2,4,1,3,0,5]
99.4 0 [0,3,5,4,1,2]
99.3 2 [2,3,5,0,4,1]
99.2 3 [3,0,5,2,4,1]
99.0 3 [3,4,2,5,1,0]
99.1 5 [5,2,3,1,4,0]
98.0 2 [2,5,0]
