PG_STAT ACTING_PRIMARY ACTING
90.1f 1 [1,6,2,3,0,7]
90.1e 3 [3,7,0,2,1,6]
90.1d 0 [0,7,1,6,3,2]
90.1c 2 [2,6,3,7,0,1]
90.1b 6 [6,0,2,3,1,7]
90.1a 7 [7,0,3,2,1,6]
90.19 7 [7,1,2,0,6,3]
90.18 0 [0,3,7,1,2,6]
90.17 3 [3,2,6,0,1,7]
90.16 0 [0,6,7,1,3,2]
90.15 1 [1,6,0,3,2,7]
90.14 7 [7,0,1,3,2,6]
90.13 3 [3,1,7,0,2,6]
90.12 0 [0,3,1,7,2,6]
90.11 0 [0,7,1,6,2,3]
90.10 1 [1,3,7,0,2,6]
90.f 0 [0,6,3,7,1,2]
90.e 6 [6,1,2,7,3,0]
90.d 3 [3,2,1,0,6,7]
90.c 3 [3,6,0,1,7,2]
90.b 3 [3,7,6,0,2,1]
90.a 1 [1,2,6,0,3,7]
90.9 2 [2,6,3,0,7,1]
90.8 7 [7,6,1,0,3,2]
90.7 7 [7,3,2,1,0,6]
90.6 0 [0,2,7,3,6,1]
90.5 6 [6,7,3,0,1,2]
90.4 1 [1,6,3,7,2,0]
90.2 7 [7,0,3,1,2,6]
90.1 2 [2,6,1,3,7,0]
90.0 6 [6,1,7,0,3,2]
90.3 3 [3,2,0,6,7,1]
89.0 2 [2,7,0]
