PG_STAT ACTING_PRIMARY ACTING
92.1f 1 [1,3,4,0,5,2]
92.1e 3 [3,5,1,2,0,4]
92.1d 3 [3,2,1,5,0,4]
92.1c 5 [5,3,0,4,2,1]
92.1b 5 [5,3,1,0,2,4]
92.1a 5 [5,1,0,4,2,3]
92.19 0 [0,3,4,5,1,2]
92.18 3 [3,2,5,1,4,0]
92.17 2 [2,0,3,1,5,4]
92.16 0 [0,3,4,5,2,1]
92.15 3 [3,1,0,5,4,2]
92.14 3 [3,1,0,5,4,2]
92.13 2 [2,3,1,0,4,5]
92.12 0 [0,2,4,5,3,1]
92.11 3 [3,4,5,1,2,0]
92.10 4 [4,0,3,1,5,2]
92.f 5 [5,2,3,4,1,0]
92.e 3 [3,2,0,1,5,4]
92.d 2 [2,5,1,4,0,3]
92.c 1 [1,0,5,2,4,3]
92.b 1 [1,3,0,2,5,4]
92.a 2 [2,0,1,4,5,3]
92.9 0 [0,3,5,4,1,2]
92.8 5 [5,3,4,2,1,0]
92.6 0 [0,2,5,4,3,1]
92.5 2 [2,3,4,5,1,0]
92.4 3 [3,5,2,0,4,1]
92.3 2 [2,5,3,4,0,1]
92.2 5 [5,4,2,0,3,1]
92.1 4 [4,5,3,1,0,2]
92.0 4 [4,5,0,2,1,3]
92.7 4 [4,5,3,1,2,0]
91.0 0 [0,3,4]
