------ 11:35:01 ------
VmRSS:	   96364 kB
Threads:	40
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 0.0%  396M 8192K|   0     0     0     0 |   0     0 |   0     0 |   0     0 
 336%  441M   10M|3425  1.54   178M  184M|1810  0.93 |   0     0 | 884M  890M
 578%  453M   15M|5052  1.55   267M  279M|2697  1.21 |   0     0 |1140M 1150M
 542%  459M   15M|4861  1.59   258M  268M|2562  1.06 |   0     0 |1206M 1216M
 526%  458M   17M|4702  1.65   247M  259M|2483  0.93 |   0     0 |1194M 1205M
 508%  457M   15M|4490  1.72   234M  249M|2384  1.03 |   0     0 |1111M 1126M
 536%  457M   15M|4739  1.65   251M  260M|2515  0.95 |   0     0 |1206M 1215M
 529%  456M   21M|4749  1.63   246M  266M|2530  1.01 |   0     0 |1157M 1171M
 507%  460M   15M|4497  1.73   244M  239M|2387  1.06 |   0     0 |1119M 1121M
 530%  450M   17M|4771  1.63   254M  262M|2526  0.94 |   0     0 |1211M 1218M
 525%  456M   17M|4667  1.66   264M  238M|2463  0.82 |   0     0 |1223M 1196M
 513%  460M   18M|4779  1.63   253M  262M|2542  0.92 |   0     0 |1193M 1203M
 519%  459M   18M|4630  1.68   252M  247M|2447  0.89 |   0     0 |1194M 1187M
 524%  460M   15M|4790  1.62   250M  266M|2557  0.98 |   0     0 |1195M 1214M
 509%  452M   16M|4534  1.72   250M  237M|2388  0.89 |   0     0 |1172M 1157M
 517%  455M   15M|4645  1.67   254M  247M|2445  0.85 |   0     0 |1188M 1182M
 531%  454M   14M|4780  1.63   251M  262M|2473  0.86 |   0     0 |1204M 1215M
 500%  457M   15M|4752  1.63   255M  258M|2381  0.83 |   0     0 |1219M 1222M
 531%  456M   15M|4728  1.64   257M  252M|2515  0.92 |   0     0 |1220M 1215M
 532%  455M   16M|4875  1.59   260M  267M|2575  0.87 |   0     0 |1226M 1232M
 512%  452M   14M|4692  1.66   265M  243M|2472  0.80 |   0     0 |1243M 1222M
 534%  454M   16M|4958  1.56   252M  285M|2627  0.97 |   0     0 |1216M 1247M
 520%  454M   15M|4866  1.59   254M  268M|2608  0.82 |   0     0 |1240M 1255M
 511%  460M   14M|4768  1.63   264M  251M|2511  0.79 |   0     0 |1259M 1247M
 545%  451M   15M|4775  1.62   256M  257M|2540  0.96 |   0     0 |1199M 1199M
