Linux 5.15.0-170-generic (oneasia-c1-cpu-node10) 	07/16/26 	_x86_64_	(128 CPU)

16:49:17      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
16:49:18     1002   2427123   13.00    2.00    0.00    0.00   15.00    26  juicefs
16:49:19     1002   2427123    6.00    2.00    0.00    0.00    8.00    26  juicefs
16:49:20     1002   2427123  173.00  143.00    0.00    0.00  316.00    26  juicefs
16:49:21     1002   2427123  169.00  140.00    0.00    0.00  309.00    26  juicefs
16:49:22     1002   2427123  261.00  215.00    0.00    0.00  476.00    26  juicefs
16:49:23     1002   2427123  320.00  250.00    0.00    0.00  570.00    26  juicefs
16:49:24     1002   2427123  303.00  227.00    0.00    0.00  530.00    26  juicefs
16:49:25     1002   2427123  358.00  271.00    0.00    0.00  629.00    26  juicefs
16:49:26     1002   2427123  335.00  276.00    0.00    0.00  611.00    26  juicefs
16:49:27     1002   2427123  347.00  264.00    0.00    0.00  611.00    26  juicefs
16:49:28     1002   2427123  336.00  263.00    0.00    0.00  599.00    26  juicefs
16:49:29     1002   2427123  340.00  264.00    0.00    0.00  604.00    26  juicefs
16:49:30     1002   2427123  340.00  264.00    0.00    0.00  604.00    26  juicefs
16:49:31     1002   2427123  342.00  255.00    0.00    0.00  597.00    26  juicefs
16:49:32     1002   2427123  356.00  255.00    0.00    0.00  611.00    26  juicefs
16:49:33     1002   2427123  337.00  269.00    0.00    0.00  606.00    26  juicefs
16:49:34     1002   2427123  336.00  257.00    0.00    0.00  593.00    26  juicefs
16:49:35     1002   2427123  334.00  252.00    0.00    0.00  586.00    26  juicefs
16:49:36     1002   2427123  354.00  252.00    0.00    0.00  606.00    26  juicefs
16:49:37     1002   2427123  359.00  246.00    0.00    0.00  605.00    26  juicefs
16:49:38     1002   2427123  322.00  272.00    0.00    0.00  594.00    26  juicefs
16:49:39     1002   2427123  350.00  252.00    0.00    0.00  602.00    26  juicefs
16:49:40     1002   2427123  341.00  253.00    0.00    0.00  594.00    26  juicefs
16:49:41     1002   2427123  345.00  257.00    0.00    0.00  602.00    26  juicefs
16:49:42     1002   2427123  341.00  267.00    0.00    0.00  608.00    26  juicefs
16:49:43     1002   2427123  331.00  255.00    0.00    0.00  586.00    26  juicefs
16:49:44     1002   2427123  343.00  264.00    0.00    0.00  607.00    26  juicefs
16:49:45     1002   2427123  341.00  242.00    0.00    0.00  583.00    26  juicefs
16:49:46     1002   2427123  333.00  258.00    0.00    0.00  591.00    26  juicefs
16:49:47     1002   2427123  330.00  268.00    0.00    0.00  598.00    26  juicefs
16:49:48     1002   2427123  347.00  269.00    0.00    0.00  616.00    26  juicefs
16:49:49     1002   2427123  347.00  266.00    0.00    0.00  613.00    26  juicefs
16:49:50     1002   2427123  326.00  262.00    0.00    0.00  588.00    26  juicefs
16:49:51     1002   2427123  325.00  272.00    0.00    0.00  597.00    26  juicefs
16:49:52     1002   2427123  329.00  265.00    0.00    0.00  594.00    26  juicefs
16:49:53     1002   2427123  344.00  252.00    0.00    0.00  596.00    26  juicefs
16:49:54     1002   2427123  339.00  243.00    0.00    0.00  582.00    26  juicefs
16:49:55     1002   2427123  338.00  261.00    0.00    0.00  599.00    26  juicefs
16:49:56     1002   2427123  325.00  256.00    0.00    0.00  581.00    26  juicefs
16:49:57     1002   2427123  337.00  264.00    0.00    0.00  601.00    26  juicefs
16:49:58     1002   2427123  339.00  260.00    0.00    0.00  599.00    26  juicefs
16:49:59     1002   2427123  327.00  259.00    0.00    0.00  586.00    26  juicefs
16:50:00     1002   2427123  318.00  265.00    0.00    0.00  583.00    26  juicefs
16:50:01     1002   2427123  333.00  256.00    0.00    0.00  589.00    26  juicefs
16:50:02     1002   2427123  313.00  276.00    0.00    0.00  589.00    26  juicefs
16:50:03     1002   2427123  349.00  251.00    0.00    0.00  600.00    26  juicefs
16:50:04     1002   2427123  343.00  267.00    0.00    0.00  610.00    26  juicefs
16:50:05     1002   2427123  367.00  253.00    0.00    0.00  620.00    26  juicefs
16:50:06     1002   2427123  339.00  254.00    0.00    0.00  593.00    26  juicefs
16:50:07     1002   2427123  338.00  268.00    0.00    0.00  606.00    26  juicefs
16:50:08     1002   2427123  336.00  265.00    0.00    0.00  601.00    26  juicefs
16:50:09     1002   2427123  339.00  263.00    0.00    0.00  602.00    26  juicefs
16:50:10     1002   2427123  339.00  253.00    0.00    0.00  592.00    26  juicefs
16:50:11     1002   2427123  348.00  253.00    0.00    0.00  601.00    26  juicefs
16:50:12     1002   2427123  339.00  265.00    0.00    0.00  604.00    26  juicefs
16:50:13     1002   2427123  324.00  270.00    0.00    0.00  594.00    26  juicefs
16:50:14     1002   2427123  347.00  259.00    0.00    0.00  606.00    26  juicefs
16:50:15     1002   2427123  352.00  261.00    0.00    0.00  613.00    26  juicefs
16:50:16     1002   2427123  343.00  265.00    0.00    0.00  608.00    26  juicefs
16:50:17     1002   2427123  341.00  260.00    0.00    0.00  601.00    26  juicefs
Average:     1002   2427123  320.45  246.47    0.00    0.00  566.92     -  juicefs
