---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
 0.0%  644M  256K    0 |   0     0     0     0 |   0     0     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
84.7%  658M  339M    0 |3410  2.59     0   401M| 146  0.95    35  2.18     0 |   0     0 |   0     0     0    65M  260   209     0     0 
83.6%  727M  411M    0 |1485  10.5     0   184M|   1  1.09     0     0     0 |   0     0 |   0     0     0   112M  451   290     0     0 
86.1%  801M  487M    0 |1518  10.4     0   188M|   2  0.87     0     0     0 |   0     0 |   0     0     0   111M  447   299     0     0 
79.5%  872M  561M    0 |1485  10.5     0   184M|   1  1.15     2  2.55     0 |   0     0 |   0     0     0   110M  442   371     0     0 
92.0%  912M  599M    0 |1221  12.9     0   150M|   3  1.29     0     0     0 |   0     0 |   0     0     0   113M  452   338     0     0 
58.5%  913M  597M    0 | 900  17.7     0   110M|   2  1.08     0     0     0 |   0     0 |   0     0     0   112M  451   271     0     0 
53.7%  913M  594M    0 | 883  17.2     0   108M|   1  0.90     0     0     0 |   0     0 |   0     0     0   111M  447   345     0     0 
54.0%  916M  600M    0 | 687  21.5     0    84M|   2  1.40     0     0     0 |   0     0 |   0     0     0    79M  316   339     0     0 
25.5%  919M  600M    0 | 327  40.9     0    39M|   1  1.58     0     0     0 |   0     0 |   0     0     0    39M  157  1197     0     0 
40.0%  921M  586M    0 | 541  37.3     0    66M|   2  1.24     0     0     0 |   0     0 |   0     0     0    80M  321   658     0     0 
28.0%  921M  597M    0 | 452  32.3     0    54M|   2  1.27     0     0     0 |   0     0 |   0     0     0    44M  178   698     0     0 
27.4%  922M  600M    0 | 371  46.3     0    44M|  10  3.00     9  3.20     0 |   0     0 |   0     0     0    41M  164   727     0     0 
38.4%  922M  600M    0 | 560  27.6     0    68M|   9  2.69     7  3.13     0 |   0     0 |   0     0     0    68M  274   691     0     0 
29.8%  922M  598M    0 | 347  41.3     0    41M|   2  1.44     0     0     0 |   0     0 |   0     0     0    44M  176   660     0     0 
32.4%  922M  583M    0 | 445  40.0     0    54M|   2  1.00     0     0     0 |   0     0 |   0     0     0    71M  286   683     0     0 
30.6%  922M  600M    0 | 522  29.3     0    62M|   2  1.12     2  3.39     0 |   0     0 |   0     0     0    45M  183   660     0     0 
26.9%  922M  600M    0 | 414  37.2     0    50M|   1  1.03     0     0     0 |   0     0 |   0     0     0    49M  199   678     0     0 
31.9%  922M  600M    0 | 518  30.6     0    63M|   2  1.10     0     0     0 |   0     0 |   0     0     0    62M  251   666     0     0 
28.0%  922M  597M    0 | 436  38.1     0    52M|   1  1.56     0     0     0 |   0     0 |   0     0     0    56M  226   646     0     0 
29.3%  922M  600M    0 | 481  32.2     0    58M|   2  1.11     0     0     0 |   0     0 |   0     0     0    56M  224   685     0     0 
27.9%  922M  594M    0 | 413  39.2     0    49M|  18  2.80    16  2.98     0 |   0     0 |   0     0     0    55M  226   665     0     0 
34.0%  922M  600M    0 | 512  31.3     0    62M|   1  1.29     0     0     0 |   0     0 |   0     0     0    56M  224   653     0     0 
32.2%  923M  594M    0 | 407  38.1     0    49M|   2  1.02     0     0     0 |   0     0 |   0     0     0    56M  226   687     0     0 
33.6%  923M  600M    0 | 514  32.4     0    62M|   1  1.41     0     0     0 |   0     0 |   0     0     0    56M  224   673     0     0 
35.1%  923M  591M    0 | 394  41.7     0    47M|   3  1.48     0     0     0 |   0     0 |   0     0     0    56M  226   680     0     0 
