---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
 0.0%  617M  256K    0 |   0     0     0     0 |   0     0     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
94.3%  617M  299M    0 |3093  0.12     0   384M|   4  1.10     2  2.27     0 |   0     0 |   0     0     0    84M  339   226     0     0 
53.5%  617M  298M    0 | 902  0.99     0   110M|   3  2.73     2  3.56     0 |   0     0 |   0     0     0   112M  449   307     0     0 
51.5%  618M  299M    0 | 918  0.98     0   113M|   4  2.16     2  3.48     0 |   0     0 |   0     0     0   112M  449   330     0     0 
59.5%  618M  299M    0 | 904  0.97     0   112M|   3  3.14     2  4.28     0 |   0     0 |   0     0     0   111M  449   351     0     0 
53.8%  618M  298M    0 | 909  0.99     0   111M|   3  1.78     1  3.29     0 |   0     0 |   0     0     0   112M  449   337     0     0 
51.1%  619M  300M    0 | 916  0.97     0   113M|   4  2.56     2  3.87     0 |   0     0 |   0     0     0   111M  446   313     0     0 
57.8%  619M  299M    0 | 904  0.97     0   111M|   3  2.12     1  4.15     0 |   0     0 |   0     0     0   112M  448   324     0     0 
50.5%  620M  300M    0 | 896  1.00     0   110M|   3  2.96     2  3.90     0 |   0     0 |   0     0     0   109M  437   357     0     0 
23.6%  620M  301M    0 | 360  2.66     0    43M|   4  2.46     2  3.88     0 |   0     0 |   0     0     0    41M  167   965     0     0 
22.1%  620M  304M    0 | 363  2.61     0    43M|   1  0.83     0     0     0 |   0     0 |   0     0     0    41M  164   664     0     0 
26.1%  620M  290M    0 | 398  2.42     0    48M|   3  2.19     1  4.33     0 |   0     0 |   0     0     0    74M  241   665     0     0 
32.8%  621M  300M    0 | 659  1.40     0    80M|   3  1.81     3  3.55     0 |   0     0 |   0     0     0    58M  290   648     0     0 
20.4%  621M  304M    0 | 351  2.76     0    42M|   2  2.42     1  3.88     0 |   0     0 |   0     0     0    38M  154   724     0     0 
31.3%  621M  300M    0 | 596  1.57     0    72M|   3  2.05     1  4.58     0 |   0     0 |   0     0     0    76M  307   690     0     0 
22.8%  621M  302M    0 | 375  2.55     0    45M|   2  2.38     1  3.84     0 |   0     0 |   0     0     0    42M  171   629     0     0 
23.4%  622M  305M    0 | 388  2.46     0    46M|   4  1.93     1  3.94     0 |   0     0 |   0     0     0    44M  176   662     0     0 
20.6%  622M  301M    0 | 379  2.55     0    45M|   2  0.75     0     0     0 |   0     0 |   0     0     0    49M  197   685     0     0 
34.6%  622M  301M    0 | 638  1.44     0    78M|   3  2.75     2  3.59     0 |   0     0 |   0     0     0    78M  315   694     0     0 
19.8%  622M  303M    0 | 338  2.83     0    40M|   2  0.93     0     0     0 |   0     0 |   0     0     0    38M  155   741     0     0 
31.4%  622M  300M    0 | 623  1.51     0    76M|   3  1.90     1  3.07     0 |   0     0 |   0     0     0    78M  315   614     0     0 
22.2%  622M  301M    0 | 341  2.81     0    41M|   2  2.70     1  4.33     0 |   0     0 |   0     0     0    40M  161   752     0     0 
