bash: warning: setlocale: LC_ALL: cannot change locale (zh_CN.utf8)
11:13:27 27642277 505065221 355473888 707219943 0 14051230218128 11034930696103
11:13:28 27642277 505065221 355473888 707219943 0 14051230320994 11034930760160
11:13:29 27642277 505065221 355473888 707219943 0 14051230457590 11034930847016
11:13:30 27642277 505066837 355474260 707220023 0 14051261103898 11034944045211
11:13:31 27642277 505071201 355475272 707220238 0 14051337548659 11034969085333
11:13:32 27642277 505075470 355476268 707220450 0 14051413176048 11034993227529
11:13:33 27642277 505079726 355477276 707220663 0 14051488599260 11035016549353
11:13:34 27642277 505083975 355478280 707220877 0 14051563667149 11035038983893
11:13:35 27642277 505088220 355479288 707221090 0 14051640015341 11035065539813
11:13:36 27642277 505092495 355480292 707221323 0 14051717179851 11035091994164
11:13:37 27642277 505096699 355481284 707221531 0 14051795679365 11035123431781
11:13:38 27642277 505101019 355482292 707221750 0 14051873837834 11035152491501
11:13:39 27642277 505105301 355483304 707221963 0 14051951990585 11035181633920
11:13:40 27642277 505109553 355484312 707222173 0 14052028447205 11035206626745
11:13:41 27642277 505113748 355485320 707222379 0 14052104587707 11035232586877
11:13:42 27642277 505117998 355486328 707222616 0 14052182728105 11035262394038
11:13:43 27642277 505122250 355487332 707222832 0 14052261690615 11035292886799
11:13:44 27642277 505126560 355488344 707223046 0 14052339553561 11035321428171
11:13:45 27642277 505130849 355489348 707223253 0 14052415913344 11035347056126
11:13:46 27642277 505133919 355490356 707236749 0 14052479493849 11035369079076
11:13:47 27642277 505134423 355491352 707273987 0 14052515056267 11035383595313
11:13:48 27642277 505134973 355492348 707308746 0 14052550320089 11035394428637
11:13:49 27642277 505135552 355493344 707346462 0 14052587265289 11035407580871
11:13:51 27642277 505136041 355494340 707383720 0 14052622818493 11035420615945
11:13:52 27642277 505136552 355495340 707422699 0 14052657152499 11035431754559
11:13:53 27642277 505137000 355496336 707460691 0 14052685138211 11035440195476
11:13:54 27642277 505137584 355497344 707497823 0 14052720244515 11035449926283
11:13:55 27642277 505138078 355498344 707535545 0 14052752331763 11035457524382
11:13:56 27642277 505138593 355499356 707574037 0 14052785682771 11035468062142
11:13:57 27642277 505139080 355500356 707611139 0 14052822650933 11035481989697
11:13:58 27642277 505139539 355501360 707644600 0 14052860023773 11035494571077
11:13:59 27642277 505139980 355502368 707678295 0 14052895042937 11035506700160
11:14:00 27642277 505140450 355503376 707713153 0 14052926901920 11035514600365
11:14:01 27642277 505140929 355504380 707744466 0 14052967874963 11035528571574
11:14:02 27642277 505141345 355505372 707778403 0 14052999718989 11035540718678
11:14:03 27642277 505141946 355506380 707814029 0 14053036439830 11035556967452
11:14:04 27642277 505142528 355507392 707850970 0 14053074969923 11035571326465
11:14:05 27642277 505143033 355508404 707888386 0 14053109982066 11035584433618
11:14:06 27642277 505143507 355509396 707929277 0 14053142606924 11035597212430
11:14:07 27642277 505144039 355510392 707966590 0 14053175841653 11035606569117
11:14:08 27642277 505144652 355511388 708003153 0 14053213375597 11035622085786
