Linux 5.15.0-181-generic (tikv-node) 	07/10/26 	_x86_64_	(64 CPU)

14:18:23      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
14:18:24        0   2209270   42.00   12.00    0.00    0.00   54.00    40  juicefs.v1.3.1
14:18:25        0   2209270  160.00  162.00    0.00    0.00  322.00     1  juicefs.v1.3.1
14:18:26        0   2209270   41.00   32.00    0.00    0.00   73.00     1  juicefs.v1.3.1
14:18:27        0   2209270   36.00   22.00    0.00    0.00   58.00    29  juicefs.v1.3.1
14:18:28        0   2209270   37.00   25.00    0.00    0.00   62.00    29  juicefs.v1.3.1
14:18:29        0   2209270   46.00   23.00    0.00    0.00   69.00    29  juicefs.v1.3.1
14:18:30        0   2209270   40.00   31.00    0.00    0.00   71.00    29  juicefs.v1.3.1
14:18:31        0   2209270   41.00   30.00    0.00    0.00   71.00     7  juicefs.v1.3.1
14:18:32        0   2209270   31.00   25.00    0.00    0.00   56.00     1  juicefs.v1.3.1
14:18:33        0   2209270   37.00   24.00    0.00    0.00   61.00     1  juicefs.v1.3.1
14:18:34        0   2209270   41.00   25.00    0.00    0.00   66.00     1  juicefs.v1.3.1
14:18:35        0   2209270   58.00   25.00    0.00    0.00   83.00    14  juicefs.v1.3.1
14:18:36        0   2209270   55.00   32.00    0.00    0.00   87.00    14  juicefs.v1.3.1
14:18:37        0   2209270   34.00   31.00    0.00    0.00   65.00    14  juicefs.v1.3.1
14:18:38        0   2209270   40.00   19.00    0.00    0.00   59.00    14  juicefs.v1.3.1
14:18:39        0   2209270   37.00   31.00    0.00    0.00   68.00    14  juicefs.v1.3.1
14:18:40        0   2209270   48.00   33.00    0.00    0.00   81.00    14  juicefs.v1.3.1
14:18:41        0   2209270   51.00   35.00    0.00    0.00   86.00    39  juicefs.v1.3.1
14:18:42        0   2209270   48.00   26.00    0.00    0.00   74.00    39  juicefs.v1.3.1
14:18:43        0   2209270   42.00   21.00    0.00    0.00   63.00    39  juicefs.v1.3.1
