Linux 5.15.0-181-generic (tikv-node) 	07/10/26 	_x86_64_	(64 CPU)

13:43:18      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
13:43:19        0   2209270   45.00   46.00    0.00    0.00   91.00    45  juicefs.v1.3.1
13:43:20        0   2209270   57.00   49.00    0.00    0.00  106.00    45  juicefs.v1.3.1
13:43:21        0   2209270   33.00   31.00    0.00    0.00   64.00    45  juicefs.v1.3.1
13:43:22        0   2209270   43.00   21.00    0.00    0.00   64.00    45  juicefs.v1.3.1
13:43:23        0   2209270   43.00   20.00    0.00    0.00   63.00    45  juicefs.v1.3.1
13:43:24        0   2209270   27.00   23.00    0.00    0.00   50.00    45  juicefs.v1.3.1
13:43:25        0   2209270   43.00   18.00    0.00    0.00   61.00    45  juicefs.v1.3.1
13:43:26        0   2209270   41.00   22.00    0.00    0.00   63.00    45  juicefs.v1.3.1
13:43:27        0   2209270   36.00   25.00    0.00    0.00   61.00    45  juicefs.v1.3.1
13:43:28        0   2209270   36.00   26.00    0.00    0.00   62.00    45  juicefs.v1.3.1
13:43:29        0   2209270   38.00   23.00    0.00    0.00   61.00    45  juicefs.v1.3.1
13:43:30        0   2209270   27.00   21.00    0.00    0.00   48.00    45  juicefs.v1.3.1
13:43:31        0   2209270   41.00   25.00    0.00    0.00   66.00    45  juicefs.v1.3.1
13:43:32        0   2209270   38.00   26.00    0.00    0.00   64.00    45  juicefs.v1.3.1
13:43:33        0   2209270   36.00   26.00    0.00    0.00   62.00    45  juicefs.v1.3.1
13:43:34        0   2209270   38.00   25.00    0.00    0.00   63.00    45  juicefs.v1.3.1
13:43:35        0   2209270   33.00   20.00    0.00    0.00   53.00    45  juicefs.v1.3.1
13:43:36        0   2209270   27.00   24.00    0.00    0.00   51.00    45  juicefs.v1.3.1
13:43:37        0   2209270   43.00   29.00    0.00    0.00   72.00    45  juicefs.v1.3.1
13:43:38        0   2209270   38.00   40.00    0.00    0.00   78.00    45  juicefs.v1.3.1
13:43:39        0   2209270   31.00   39.00    0.00    0.00   70.00    45  juicefs.v1.3.1
13:43:40        0   2209270   42.00   25.00    0.00    0.00   67.00    45  juicefs.v1.3.1
13:43:41        0   2209270   27.00   23.00    0.00    0.00   50.00    45  juicefs.v1.3.1
13:43:42        0   2209270   30.00   22.00    0.00    0.00   52.00     1  juicefs.v1.3.1
13:43:43        0   2209270   40.00   24.00    0.00    0.00   64.00     1  juicefs.v1.3.1
13:43:44        0   2209270   34.00   27.00    0.00    0.00   61.00     1  juicefs.v1.3.1
13:43:45        0   2209270   34.00   28.00    0.00    0.00   62.00     1  juicefs.v1.3.1
13:43:46        0   2209270   31.00   23.00    0.00    0.00   54.00     1  juicefs.v1.3.1
13:43:47        0   2209270   28.00   17.00    0.00    0.00   45.00     5  juicefs.v1.3.1
13:43:48        0   2209270   38.00   22.00    0.00    0.00   60.00     5  juicefs.v1.3.1
13:43:49        0   2209270   38.00   24.00    0.00    0.00   62.00     1  juicefs.v1.3.1
13:43:50        0   2209270   36.00   34.00    0.00    0.00   70.00     5  juicefs.v1.3.1
13:43:51        0   2209270   32.00   39.00    0.00    0.00   71.00     1  juicefs.v1.3.1
13:43:52        0   2209270   32.00   23.00    0.00    0.00   55.00     1  juicefs.v1.3.1
13:43:53        0   2209270   22.00   16.00    0.00    0.00   38.00     1  juicefs.v1.3.1
13:43:54        0   2209270   25.00   16.00    0.00    0.00   41.00     1  juicefs.v1.3.1
13:43:55        0   2209270   18.00   15.00    0.00    0.00   33.00     1  juicefs.v1.3.1
13:43:56        0   2209270   30.00   26.00    0.00    0.00   56.00     5  juicefs.v1.3.1
13:43:57        0   2209270   57.00   36.00    0.00    0.00   93.00     5  juicefs.v1.3.1
