Linux 5.15.0-181-generic (tikv-node) 	07/10/26 	_x86_64_	(64 CPU)

14:03:29      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
14:03:30        0   2209270   80.00   69.00    0.00    0.00  149.00    57  juicefs.v1.3.1
14:03:31        0   2209270   41.00   49.00    0.00    0.00   90.00    57  juicefs.v1.3.1
14:03:32        0   2209270   63.00   51.00    0.00    0.00  114.00    57  juicefs.v1.3.1
14:03:33        0   2209270   49.00   44.00    0.00    0.00   93.00    57  juicefs.v1.3.1
14:03:34        0   2209270   52.00   37.00    0.00    0.00   89.00    57  juicefs.v1.3.1
14:03:35        0   2209270   40.00   29.00    0.00    0.00   69.00    57  juicefs.v1.3.1
14:03:36        0   2209270   41.00   27.00    0.00    0.00   68.00     1  juicefs.v1.3.1
14:03:37        0   2209270   32.00   34.00    0.00    0.00   66.00     1  juicefs.v1.3.1
14:03:38        0   2209270   31.00   32.00    0.00    0.00   63.00     1  juicefs.v1.3.1
14:03:39        0   2209270   29.00   32.00    0.00    0.00   61.00     1  juicefs.v1.3.1
14:03:40        0   2209270   37.00   23.00    0.00    0.00   60.00     5  juicefs.v1.3.1
14:03:41        0   2209270   37.00   28.00    0.00    0.00   65.00     5  juicefs.v1.3.1
14:03:42        0   2209270   34.00   30.00    0.00    0.00   64.00     5  juicefs.v1.3.1
14:03:43        0   2209270   37.00   29.00    0.00    0.00   66.00     5  juicefs.v1.3.1
14:03:44        0   2209270   34.00   30.00    0.00    0.00   64.00     5  juicefs.v1.3.1
14:03:45        0   2209270   43.00   21.00    0.00    0.00   64.00     1  juicefs.v1.3.1
14:03:46        0   2209270   30.00   24.00    0.00    0.00   54.00     1  juicefs.v1.3.1
14:03:47        0   2209270   34.00   30.00    0.00    0.00   64.00     1  juicefs.v1.3.1
14:03:48        0   2209270   44.00   24.00    0.00    0.00   68.00     1  juicefs.v1.3.1
14:03:49        0   2209270   39.00   28.00    0.00    0.00   67.00     1  juicefs.v1.3.1
14:03:50        0   2209270   45.00   21.00    0.00    0.00   66.00     1  juicefs.v1.3.1
14:03:51        0   2209270   31.00   24.00    0.00    0.00   55.00     1  juicefs.v1.3.1
14:03:52        0   2209270   29.00   24.00    0.00    0.00   53.00     1  juicefs.v1.3.1
14:03:53        0   2209270   38.00   28.00    0.00    0.00   66.00     1  juicefs.v1.3.1
14:03:54        0   2209270   43.00   24.00    0.00    0.00   67.00     1  juicefs.v1.3.1
14:03:55        0   2209270   39.00   27.00    0.00    0.00   66.00     1  juicefs.v1.3.1
14:03:56        0   2209270   43.00   17.00    0.00    0.00   60.00     1  juicefs.v1.3.1
14:03:57        0   2209270   33.00   23.00    0.00    0.00   56.00     1  juicefs.v1.3.1
14:03:58        0   2209270   34.00   29.00    0.00    0.00   63.00     1  juicefs.v1.3.1
14:03:59        0   2209270   39.00   27.00    0.00    0.00   66.00     1  juicefs.v1.3.1
14:04:00        0   2209270   46.00   21.00    0.00    0.00   67.00     1  juicefs.v1.3.1
14:04:01        0   2209270   34.00   30.00    0.00    0.00   64.00     1  juicefs.v1.3.1
14:04:02        0   2209270   40.00   27.00    0.00    0.00   67.00    46  juicefs.v1.3.1
14:04:03        0   2209270   31.00   28.00    0.00    0.00   59.00    46  juicefs.v1.3.1
14:04:04        0   2209270   36.00   30.00    0.00    0.00   66.00    44  juicefs.v1.3.1
