Linux 5.15.0-181-generic (tikv-node) 	07/10/26 	_x86_64_	(64 CPU)

14:46:44      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
14:46:45        0   2209270   31.00   13.00    0.00    0.00   44.00    24  juicefs.v1.3.1
14:46:46        0   2209270   80.00   94.00    0.00    0.00  174.00    24  juicefs.v1.3.1
14:46:47        0   2209270   84.00   72.00    0.00    0.00  156.00    24  juicefs.v1.3.1
14:46:48        0   2209270   83.00   96.00    0.00    0.00  179.00    24  juicefs.v1.3.1
14:46:49        0   2209270   83.00   98.00    0.00    0.00  181.00    24  juicefs.v1.3.1
14:46:50        0   2209270   80.00   90.00    0.00    0.00  170.00    24  juicefs.v1.3.1
14:46:51        0   2209270   78.00   77.00    0.00    0.00  155.00    24  juicefs.v1.3.1
14:46:52        0   2209270   70.00   77.00    0.00    0.00  147.00    24  juicefs.v1.3.1
14:46:53        0   2209270   66.00   81.00    0.00    0.00  147.00    24  juicefs.v1.3.1
14:46:54        0   2209270   78.00   90.00    0.00    0.00  168.00    24  juicefs.v1.3.1
14:46:55        0   2209270   81.00   92.00    0.00    0.00  173.00    24  juicefs.v1.3.1
14:46:56        0   2209270   90.00   81.00    0.00    0.00  171.00    24  juicefs.v1.3.1
14:46:57        0   2209270   71.00   77.00    0.00    0.00  148.00    24  juicefs.v1.3.1
14:46:58        0   2209270   59.00   68.00    0.00    0.00  127.00    24  juicefs.v1.3.1
14:46:59        0   2209270   76.00   88.00    0.00    0.00  164.00    24  juicefs.v1.3.1
14:47:00        0   2209270   83.00   82.00    0.00    0.00  165.00    24  juicefs.v1.3.1
14:47:01        0   2209270  117.00   91.00    0.00    0.00  208.00    24  juicefs.v1.3.1
14:47:02        0   2209270   77.00   83.00    0.00    0.00  160.00    24  juicefs.v1.3.1
14:47:03        0   2209270   69.00   73.00    0.00    0.00  142.00    24  juicefs.v1.3.1
14:47:04        0   2209270   62.00   81.00    0.00    0.00  143.00    24  juicefs.v1.3.1
14:47:05        0   2209270   79.00   89.00    0.00    0.00  168.00    24  juicefs.v1.3.1
14:47:06        0   2209270   80.00   87.00    0.00    0.00  167.00    24  juicefs.v1.3.1
14:47:07        0   2209270   64.00   91.00    0.00    0.00  155.00    24  juicefs.v1.3.1
14:47:08        0   2209270   74.00   69.00    0.00    0.00  143.00    24  juicefs.v1.3.1
14:47:09        0   2209270   70.00   69.00    0.00    0.00  139.00    24  juicefs.v1.3.1
14:47:10        0   2209270   72.00   69.00    0.00    0.00  141.00    24  juicefs.v1.3.1
14:47:11        0   2209270   89.00   78.00    0.00    0.00  167.00    24  juicefs.v1.3.1
14:47:12        0   2209270   80.00   87.00    0.00    0.00  167.00    24  juicefs.v1.3.1
14:47:13        0   2209270   82.00   85.00    0.00    0.00  167.00    24  juicefs.v1.3.1
14:47:14        0   2209270   66.00   79.00    0.00    0.00  145.00    24  juicefs.v1.3.1
14:47:15        0   2209270   69.00   68.00    0.00    0.00  137.00    24  juicefs.v1.3.1
14:47:16        0   2209270   77.00   82.00    0.00    0.00  159.00    24  juicefs.v1.3.1
14:47:17        0   2209270   82.00   83.00    0.00    0.00  165.00    24  juicefs.v1.3.1
14:47:18        0   2209270   78.00   88.00    0.00    0.00  166.00    24  juicefs.v1.3.1
14:47:19        0   2209270   81.00   79.00    0.00    0.00  160.00    24  juicefs.v1.3.1
14:47:20        0   2209270   70.00   78.00    0.00    0.00  148.00    24  juicefs.v1.3.1
14:47:21        0   2209270   71.00   81.00    0.00    0.00  152.00    24  juicefs.v1.3.1
14:47:22        0   2209270   77.00   88.00    0.00    0.00  165.00    24  juicefs.v1.3.1
14:47:23        0   2209270   80.00   88.00    0.00    0.00  168.00    24  juicefs.v1.3.1
14:47:24        0   2209270   81.00   83.00    0.00    0.00  164.00    24  juicefs.v1.3.1
14:47:25        0   2209270   72.00   78.00    0.00    0.00  150.00    24  juicefs.v1.3.1
14:47:26        0   2209270   67.00   71.00    0.00    0.00  138.00    24  juicefs.v1.3.1
14:47:27        0   2209270   65.00   81.00    0.00    0.00  146.00    24  juicefs.v1.3.1
14:47:28        0   2209270   81.00   87.00    0.00    0.00  168.00    24  juicefs.v1.3.1
14:47:29        0   2209270   82.00   85.00    0.00    0.00  167.00    24  juicefs.v1.3.1
14:47:30        0   2209270   78.00   85.00    0.00    0.00  163.00    24  juicefs.v1.3.1
14:47:31        0   2209270   69.00   77.00    0.00    0.00  146.00    24  juicefs.v1.3.1
14:47:32        0   2209270   64.00   73.00    0.00    0.00  137.00    24  juicefs.v1.3.1
14:47:33        0   2209270   64.00   79.00    0.00    0.00  143.00    24  juicefs.v1.3.1
14:47:34        0   2209270   82.00   84.00    0.00    0.00  166.00    24  juicefs.v1.3.1
14:47:35        0   2209270   79.00   91.00    0.00    0.00  170.00    24  juicefs.v1.3.1
14:47:36        0   2209270   79.00   82.00    0.00    0.00  161.00    24  juicefs.v1.3.1
14:47:37        0   2209270   70.00   69.00    0.00    0.00  139.00    24  juicefs.v1.3.1
14:47:38        0   2209270   64.00   70.00    0.00    0.00  134.00    24  juicefs.v1.3.1
14:47:39        0   2209270   74.00   94.00    0.00    0.00  168.00    24  juicefs.v1.3.1
14:47:40        0   2209270   78.00   91.00    0.00    0.00  169.00    24  juicefs.v1.3.1
14:47:41        0   2209270   82.00   90.00    0.00    0.00  172.00    24  juicefs.v1.3.1
14:47:42        0   2209270   81.00   79.00    0.00    0.00  160.00    24  juicefs.v1.3.1
14:47:43        0   2209270   67.00   75.00    0.00    0.00  142.00    24  juicefs.v1.3.1
14:47:44        0   2209270   67.00   83.00    0.00    0.00  150.00    24  juicefs.v1.3.1
14:47:45        0   2209270   77.00   92.00    0.00    0.00  169.00    24  juicefs.v1.3.1
14:47:46        0   2209270   74.00   76.00    0.00    0.00  150.00    24  juicefs.v1.3.1
14:47:47        0   2209270   47.00   47.00    0.00    0.00   94.00    24  juicefs.v1.3.1
14:47:48        0   2209270   71.00   57.00    0.00    0.00  128.00    24  juicefs.v1.3.1
14:47:49        0   2209270  228.00  118.00    0.00    0.00  346.00    24  juicefs.v1.3.1
14:47:50        0   2209270  125.00   55.00    0.00    0.00  180.00    24  juicefs.v1.3.1
14:47:51        0   2209270  116.00   58.00    0.00    0.00  174.00    24  juicefs.v1.3.1
14:47:52        0   2209270  130.00   48.00    0.00    0.00  178.00    24  juicefs.v1.3.1
14:47:53        0   2209270  129.00   46.00    0.00    0.00  175.00    24  juicefs.v1.3.1
