Linux 5.15.0-181-generic (tikv-node) 	07/10/26 	_x86_64_	(64 CPU)

14:41:24      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
14:41:25        0   2209270   37.00   19.00    0.00    0.00   56.00    28  juicefs.v1.3.1
14:41:26        0   2209270  152.00   79.00    0.00    0.00  231.00    14  juicefs.v1.3.1
14:41:27        0   2209270  121.00  103.00    0.00    0.00  224.00    31  juicefs.v1.3.1
14:41:28        0   2209270  113.00   85.00    0.00    0.00  198.00    43  juicefs.v1.3.1
14:41:29        0   2209270  112.00   74.00    0.00    0.00  186.00    43  juicefs.v1.3.1
14:41:30        0   2209270   95.00   83.00    0.00    0.00  178.00    46  juicefs.v1.3.1
14:41:31        0   2209270  118.00   79.00    0.00    0.00  197.00    35  juicefs.v1.3.1
14:41:32        0   2209270  134.00   96.00    0.00    0.00  230.00    48  juicefs.v1.3.1
14:41:33        0   2209270  116.00  105.00    0.00    0.00  221.00    48  juicefs.v1.3.1
14:41:34        0   2209270  112.00   82.00    0.00    0.00  194.00    50  juicefs.v1.3.1
14:41:35        0   2209270   99.00   89.00    0.00    0.00  188.00    16  juicefs.v1.3.1
14:41:36        0   2209270  101.00   83.00    0.00    0.00  184.00    51  juicefs.v1.3.1
14:41:37        0   2209270  106.00   88.00    0.00    0.00  194.00    53  juicefs.v1.3.1
14:41:38        0   2209270  120.00   95.00    0.00    0.00  215.00    10  juicefs.v1.3.1
14:41:39        0   2209270  115.00   99.00    0.00    0.00  214.00    10  juicefs.v1.3.1
14:41:40        0   2209270  108.00   84.00    0.00    0.00  192.00    12  juicefs.v1.3.1
14:41:41        0   2209270  102.00   85.00    0.00    0.00  187.00     0  juicefs.v1.3.1
14:41:42        0   2209270  105.00   83.00    0.00    0.00  188.00     2  juicefs.v1.3.1
14:41:43        0   2209270  116.00   83.00    0.00    0.00  199.00    56  juicefs.v1.3.1
14:41:44        0   2209270  130.00   89.00    0.00    0.00  219.00    56  juicefs.v1.3.1
14:41:45        0   2209270  106.00   78.00    0.00    0.00  184.00    56  juicefs.v1.3.1
14:41:46        0   2209270  112.00   90.00    0.00    0.00  202.00    12  juicefs.v1.3.1
14:41:47        0   2209270   93.00   78.00    0.00    0.00  171.00    12  juicefs.v1.3.1
14:41:48        0   2209270  108.00   85.00    0.00    0.00  193.00    16  juicefs.v1.3.1
14:41:49        0   2209270  116.00  105.00    0.00    0.00  221.00    18  juicefs.v1.3.1
14:41:50        0   2209270  131.00   95.00    0.00    0.00  226.00    16  juicefs.v1.3.1
14:41:51        0   2209270  120.00   90.00    0.00    0.00  210.00    16  juicefs.v1.3.1
14:41:52        0   2209270  103.00   86.00    0.00    0.00  189.00    46  juicefs.v1.3.1
14:41:53        0   2209270   91.00   81.00    0.00    0.00  172.00     5  juicefs.v1.3.1
14:41:54        0   2209270  102.00   85.00    0.00    0.00  187.00     2  juicefs.v1.3.1
14:41:55        0   2209270  128.00  104.00    0.00    0.00  232.00     6  juicefs.v1.3.1
14:41:56        0   2209270  104.00  106.00    0.00    0.00  210.00     6  juicefs.v1.3.1
14:41:57        0   2209270  124.00   86.00    0.00    0.00  210.00    22  juicefs.v1.3.1
14:41:58        0   2209270  104.00   89.00    0.00    0.00  193.00    23  juicefs.v1.3.1
14:41:59        0   2209270  109.00   76.00    0.00    0.00  185.00    22  juicefs.v1.3.1
