Linux 5.15.0-181-generic (tikv-node) 	07/10/26 	_x86_64_	(64 CPU)

14:40:00      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
14:40:01        0   2209270   20.00    9.00    0.00    0.00   29.00    14  juicefs.v1.3.1
14:40:02        0   2209270  128.00   77.00    0.00    0.00  205.00    14  juicefs.v1.3.1
14:40:03        0   2209270  136.00   47.00    0.00    0.00  183.00    14  juicefs.v1.3.1
14:40:04        0   2209270  101.00   44.00    0.00    0.00  145.00    14  juicefs.v1.3.1
14:40:05        0   2209270  107.00   34.00    0.00    0.00  141.00    14  juicefs.v1.3.1
14:40:06        0   2209270  116.00   42.00    0.00    0.00  158.00     6  juicefs.v1.3.1
14:40:07        0   2209270  123.00   58.00    0.00    0.00  181.00    23  juicefs.v1.3.1
14:40:08        0   2209270  127.00   58.00    0.00    0.00  185.00    31  juicefs.v1.3.1
14:40:09        0   2209270  106.00   52.00    0.00    0.00  158.00    31  juicefs.v1.3.1
14:40:10        0   2209270  104.00   42.00    0.00    0.00  146.00    31  juicefs.v1.3.1
14:40:11        0   2209270  110.00   42.00    0.00    0.00  152.00    31  juicefs.v1.3.1
14:40:12        0   2209270  111.00   54.00    0.00    0.00  165.00    25  juicefs.v1.3.1
14:40:13        0   2209270  120.00   59.00    0.00    0.00  179.00    31  juicefs.v1.3.1
14:40:14        0   2209270  128.00   37.00    0.00    0.00  165.00    31  juicefs.v1.3.1
14:40:15        0   2209270   98.00   53.00    0.00    0.00  151.00    31  juicefs.v1.3.1
14:40:16        0   2209270   98.00   42.00    0.00    0.00  140.00    31  juicefs.v1.3.1
14:40:17        0   2209270  115.00   38.00    0.00    0.00  153.00    31  juicefs.v1.3.1
14:40:18        0   2209270  125.00   51.00    0.00    0.00  176.00    31  juicefs.v1.3.1
14:40:19        0   2209270  125.00   49.00    0.00    0.00  174.00    31  juicefs.v1.3.1
14:40:20        0   2209270  109.00   44.00    0.00    0.00  153.00    62  juicefs.v1.3.1
14:40:21        0   2209270   97.00   46.00    0.00    0.00  143.00    25  juicefs.v1.3.1
14:40:22        0   2209270   92.00   48.00    0.00    0.00  140.00    16  juicefs.v1.3.1
14:40:23        0   2209270  113.00   48.00    0.00    0.00  161.00    16  juicefs.v1.3.1
14:40:24        0   2209270  116.00   59.00    0.00    0.00  175.00    16  juicefs.v1.3.1
14:40:25        0   2209270  105.00   54.00    0.00    0.00  159.00    16  juicefs.v1.3.1
