Linux 5.15.0-181-generic (tikv-node) 	07/10/26 	_x86_64_	(64 CPU)

13:39:35      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
13:39:36        0   2209270   52.00   28.00    0.00    0.00   80.00    38  juicefs.v1.3.1
13:39:37        0   2209270   35.00   30.00    0.00    0.00   65.00    38  juicefs.v1.3.1
13:39:38        0   2209270   34.00   28.00    0.00    0.00   62.00    38  juicefs.v1.3.1
13:39:39        0   2209270   34.00   27.00    0.00    0.00   61.00    38  juicefs.v1.3.1
13:39:40        0   2209270   32.00   18.00    0.00    0.00   50.00    38  juicefs.v1.3.1
13:39:41        0   2209270   29.00   22.00    0.00    0.00   51.00     1  juicefs.v1.3.1
13:39:42        0   2209270   37.62   34.65    0.00    0.00   72.28     1  juicefs.v1.3.1
13:39:43        0   2209270   34.00   34.00    0.00    0.00   68.00     1  juicefs.v1.3.1
13:39:44        0   2209270   30.00   33.00    0.00    0.00   63.00     1  juicefs.v1.3.1
13:39:45        0   2209270   29.00   22.00    0.00    0.00   51.00     1  juicefs.v1.3.1
13:39:46        0   2209270   30.00   19.00    0.00    0.00   49.00     1  juicefs.v1.3.1
13:39:47        0   2209270   26.00   24.00    0.00    0.00   50.00     1  juicefs.v1.3.1
13:39:48        0   2209270   40.00   26.00    0.00    0.00   66.00     1  juicefs.v1.3.1
13:39:49        0   2209270   41.00   28.00    0.00    0.00   69.00     1  juicefs.v1.3.1
13:39:50        0   2209270   34.00   31.00    0.00    0.00   65.00     3  juicefs.v1.3.1
13:39:51        0   2209270   27.00   22.00    0.00    0.00   49.00     3  juicefs.v1.3.1
13:39:52        0   2209270   31.00   18.00    0.00    0.00   49.00     3  juicefs.v1.3.1
13:39:53        0   2209270   31.00   27.00    0.00    0.00   58.00     3  juicefs.v1.3.1
13:39:54        0   2209270   33.00   23.00    0.00    0.00   56.00     3  juicefs.v1.3.1
13:39:55        0   2209270   34.00   27.00    0.00    0.00   61.00     1  juicefs.v1.3.1
13:39:56        0   2209270   34.00   23.00    0.00    0.00   57.00     3  juicefs.v1.3.1
13:39:57        0   2209270   29.00   18.00    0.00    0.00   47.00     5  juicefs.v1.3.1
