Linux 5.15.0-181-generic (tikv-node) 	07/10/26 	_x86_64_	(64 CPU)

13:41:23      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
13:41:24        0   2209270   42.00   45.00    0.00    0.00   87.00     9  juicefs.v1.3.1
13:41:25        0   2209270   58.00   50.00    0.00    0.00  108.00    13  juicefs.v1.3.1
13:41:26        0   2209270   38.00   32.00    0.00    0.00   70.00    13  juicefs.v1.3.1
13:41:27        0   2209270   30.00   19.00    0.00    0.00   49.00     5  juicefs.v1.3.1
13:41:28        0   2209270   30.00   26.00    0.00    0.00   56.00     5  juicefs.v1.3.1
13:41:29        0   2209270   33.00   28.00    0.00    0.00   61.00     5  juicefs.v1.3.1
13:41:30        0   2209270   38.00   26.00    0.00    0.00   64.00    18  juicefs.v1.3.1
13:41:31        0   2209270   38.00   25.00    0.00    0.00   63.00     1  juicefs.v1.3.1
13:41:32        0   2209270   34.00   22.00    0.00    0.00   56.00     1  juicefs.v1.3.1
13:41:33        0   2209270   33.00   16.00    0.00    0.00   49.00    38  juicefs.v1.3.1
13:41:34        0   2209270   31.00   28.00    0.00    0.00   59.00    38  juicefs.v1.3.1
13:41:35        0   2209270   35.00   27.00    0.00    0.00   62.00    38  juicefs.v1.3.1
13:41:36        0   2209270   32.00   28.00    0.00    0.00   60.00    38  juicefs.v1.3.1
13:41:37        0   2209270   33.00   33.00    0.00    0.00   66.00     4  juicefs.v1.3.1
13:41:38        0   2209270   31.00   36.00    0.00    0.00   67.00     4  juicefs.v1.3.1
13:41:39        0   2209270   30.00   33.00    0.00    0.00   63.00     4  juicefs.v1.3.1
13:41:40        0   2209270   37.00   27.00    0.00    0.00   64.00     4  juicefs.v1.3.1
13:41:41        0   2209270   38.00   27.00    0.00    0.00   65.00     4  juicefs.v1.3.1
13:41:42        0   2209270   33.00   27.00    0.00    0.00   60.00     4  juicefs.v1.3.1
13:41:43        0   2209270   33.00   29.00    0.00    0.00   62.00     4  juicefs.v1.3.1
13:41:44        0   2209270   30.00   19.00    0.00    0.00   49.00     4  juicefs.v1.3.1
13:41:45        0   2209270   32.00   22.00    0.00    0.00   54.00     4  juicefs.v1.3.1
13:41:46        0   2209270   33.00   27.00    0.00    0.00   60.00     4  juicefs.v1.3.1
13:41:47        0   2209270   31.00   30.00    0.00    0.00   61.00     4  juicefs.v1.3.1
13:41:48        0   2209270   34.00   28.00    0.00    0.00   62.00     4  juicefs.v1.3.1
13:41:49        0   2209270   35.00   24.00    0.00    0.00   59.00     4  juicefs.v1.3.1
13:41:50        0   2209270   27.00   21.00    0.00    0.00   48.00     1  juicefs.v1.3.1
13:41:51        0   2209270   33.00   24.00    0.00    0.00   57.00     1  juicefs.v1.3.1
13:41:52        0   2209270   38.00   25.00    0.00    0.00   63.00     1  juicefs.v1.3.1
13:41:53        0   2209270   33.00   25.00    0.00    0.00   58.00     1  juicefs.v1.3.1
13:41:54        0   2209270   36.00   23.00    0.00    0.00   59.00     1  juicefs.v1.3.1
13:41:55        0   2209270   28.00   22.00    0.00    0.00   50.00    45  juicefs.v1.3.1
13:41:56        0   2209270   27.00   23.00    0.00    0.00   50.00    45  juicefs.v1.3.1
13:41:57        0   2209270   29.00   27.00    0.00    0.00   56.00    45  juicefs.v1.3.1
13:41:58        0   2209270   27.00   20.00    0.00    0.00   47.00    45  juicefs.v1.3.1
13:41:59        0   2209270   25.00   14.00    0.00    0.00   39.00    45  juicefs.v1.3.1
13:42:00        0   2209270   18.00   17.00    0.00    0.00   35.00    45  juicefs.v1.3.1
13:42:01        0   2209270    3.00    1.00    0.00    0.00    4.00    45  juicefs.v1.3.1
13:42:02        0   2209270    3.00    0.00    0.00    0.00    3.00    45  juicefs.v1.3.1
13:42:03        0   2209270    2.00    1.00    0.00    0.00    3.00    45  juicefs.v1.3.1
13:42:04        0   2209270    2.00    2.00    0.00    0.00    4.00    45  juicefs.v1.3.1
13:42:05        0   2209270    2.00    1.00    0.00    0.00    3.00    45  juicefs.v1.3.1
13:42:06        0   2209270    3.00    0.00    0.00    0.00    3.00    45  juicefs.v1.3.1
13:42:07        0   2209270    3.00    0.00    0.00    0.00    3.00    45  juicefs.v1.3.1
13:42:08        0   2209270    3.00    1.00    0.00    0.00    4.00    45  juicefs.v1.3.1
13:42:09        0   2209270    3.00    0.00    0.00    0.00    3.00    45  juicefs.v1.3.1
13:42:10        0   2209270    3.00    0.00    0.00    0.00    3.00    45  juicefs.v1.3.1
13:42:11        0   2209270    3.00    1.00    0.00    0.00    4.00    45  juicefs.v1.3.1
13:42:12        0   2209270    3.00    0.00    0.00    0.00    3.00    45  juicefs.v1.3.1
13:42:13        0   2209270    2.00    1.00    0.00    0.00    3.00    45  juicefs.v1.3.1
13:42:14        0   2209270    3.00    1.00    0.00    0.00    4.00    45  juicefs.v1.3.1
13:42:15        0   2209270    3.00    2.00    0.00    0.00    5.00    45  juicefs.v1.3.1
13:42:16        0   2209270    3.00    0.00    0.00    0.00    3.00    45  juicefs.v1.3.1
13:42:17        0   2209270    1.00    3.00    0.00    0.00    4.00    45  juicefs.v1.3.1
13:42:18        0   2209270    2.00    0.00    0.00    0.00    2.00    45  juicefs.v1.3.1
13:42:19        0   2209270    1.00    2.00    0.00    0.00    3.00    45  juicefs.v1.3.1
