------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 0.0% 1219M 3072K|   0     0     0     0 |   0     0 |   0     0 |   0     0 
58.4% 1220M 3072K| 850  0.84     0     0 | 648  1.08 |   0     0 |   0     0 
 329%  953M  596M|5419  5.13     0   619M| 383  1.17 |   0     0 |   0    40M
65.0%  956M  599M| 953   123     0   116M|   1  0.87 |   0     0 |   0   111M
57.4%  956M  597M| 894   139     0   111M|   2  0.85 |   0     0 |   0   112M
61.7%  956M  600M| 928   138     0   114M|   1  0.83 |   0     0 |   0   112M
68.8%  956M  595M| 879   140     0   108M|   3  1.43 |   0     0 |   0   112M
73.6%  956M  599M| 969   142     0   119M|   1  1.33 |   0     0 |   0   110M
68.8%  957M  599M| 786   151     0    97M|   2  1.07 |   0     0 |   0   112M
55.4%  957M  599M| 913   141     0   111M|   2  0.90 |   0     0 |   0   110M
61.6%  957M  600M| 908   142     0   111M|   1  1.40 |   0     0 |   0   112M
65.7%  957M  600M| 911   135     0   112M|   2  1.09 |   0     0 |   0   111M
86.1%  957M  599M| 980   140     0   120M|  63  3.13 |   0     0 |   0   111M
84.9%  957M  600M| 836   151     0   102M|  68  3.00 |   0     0 |   0   111M
63.4%  957M  597M| 886   138     0   109M|   2  1.06 |   0     0 |   0   111M
61.1%  958M  598M| 900   133     0   110M|   1  1.14 |   0     0 |   0   111M
67.8%  958M  600M| 926   149     0   114M|   3  1.21 |   0     0 |   0   111M
82.4%  958M  597M| 906   144     0   111M|  50  3.13 |   0     0 |   0   111M
84.0%  958M  596M| 862   151     0   106M|  81  2.76 |   0     0 |   0   110M
73.9%  958M  600M| 922   143     0   113M|   2  1.33 |   0     0 |   0   111M
62.0%  958M  597M| 889   112     0   109M|   1  1.07 |   0     0 |   0   112M
63.9%  958M  599M| 928   168     0   114M|   2  0.96 |   0     0 |   0   111M
71.0%  958M  595M| 897   136     0   110M|  31  3.03 |   0     0 |   0   112M
89.7%  958M  600M| 931   135     0   114M|  84  2.91 |   0     0 |   0   111M
71.1%  958M  595M| 874   136     0   107M|  18  2.81 |   0     0 |   0   112M
73.4%  958M  597M| 916   140     0   112M|   1  1.09 |   0     0 |   0   111M
60.7%  958M  599M| 936   145     0   115M|   3  1.18 |   0     0 |   0   112M
68.6%  959M  593M| 861   118     0   106M|  22  3.02 |   0     0 |   0   111M
90.6%  959M  599M| 980   164     0   121M|  85  2.85 |   0     0 |   0   111M
77.2%  959M  596M| 847   141     0   103M|  26  3.04 |   0     0 |   0   111M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
74.4%  959M  598M| 937   146     0   115M|   1  1.32 |   0     0 |   0   111M
