------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 0.0%  727M  256K|   0     0     0     0 |   0     0 |   0     0 |   0     0 
97.2%  727M  178M|2246  0.14     0   273M|  14  1.22 |   0     0 |   0    95M
 103%  727M  300M|1926  0.23     0   233M|   6  1.90 |   0     0 |   0   112M
63.8%  727M  298M| 945  0.80     0   111M|   7  1.94 |   0     0 |   0   112M
64.3%  727M  299M| 949  0.79     0   112M|   6  1.50 |   0     0 |   0   112M
63.3%  727M  299M| 936  0.81     0   110M|   6  2.19 |   0     0 |   0   110M
48.2%  727M  299M| 944  0.84     0   111M|   7  1.49 |   0     0 |   0   111M
63.1%  727M  299M| 942  0.82     0   111M|   7  1.96 |   0     0 |   0   111M
62.2%  727M  299M| 943  0.81     0   111M|   6  1.50 |   0     0 |   0   111M
60.4%  727M  300M| 953  0.80     0   112M|   7  2.08 |   0     0 |   0   111M
63.2%  727M  299M| 949  0.80     0   111M|   8  2.10 |   0     0 |   0   111M
59.0%  727M  300M| 944  0.81     0   111M|   5  1.60 |   0     0 |   0   111M
49.3%  727M  299M| 936  0.87     0   111M|   7  1.58 |   0     0 |   0   111M
65.7%  727M  298M| 950  0.78     0   111M|   7  2.07 |   0     0 |   0   112M
64.2%  727M  299M| 951  0.79     0   111M|   6  1.61 |   0     0 |   0   111M
62.1%  727M  300M| 952  0.80     0   112M|   7  2.01 |   0     0 |   0   112M
63.7%  727M  299M| 938  0.80     0   110M|   6  2.22 |   0     0 |   0   110M
51.3%  727M  299M| 933  0.85     0   110M|   7  1.53 |   0     0 |   0   111M
50.9%  727M  299M| 952  0.82     0   112M|   6  1.35 |   0     0 |   0   112M
74.0%  728M  299M| 949  0.79     0   112M|   7  2.27 |   0     0 |   0   111M
78.4%  728M  299M| 941  0.78     0   110M|   8  2.11 |   0     0 |   0   111M
69.3%  728M  299M| 942  0.81     0   111M|   5  1.70 |   0     0 |   0   110M
66.9%  728M  299M| 941  0.79     0   111M|   7  2.16 |   0     0 |   0   111M
49.0%  728M  300M| 946  0.87     0   111M|   7  1.46 |   0     0 |   0   111M
54.0%  728M  299M| 944  0.83     0   111M|   7  1.68 |   0     0 |   0   112M
62.5%  728M  299M| 949  0.79     0   112M|   6  1.53 |   0     0 |   0   111M
62.1%  728M  300M| 948  0.81     0   111M|   6  2.17 |   0     0 |   0   111M
60.4%  728M  299M| 943  0.80     0   112M|   7  1.98 |   0     0 |   0   112M
53.9%  728M  300M| 949  0.83     0   112M|   6  1.41 |   0     0 |   0   111M
45.4%  728M  300M| 934  0.87     0   111M|   6  1.51 |   0     0 |   0   111M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
60.7%  728M  300M| 937  0.81     0   112M|   6  2.37 |   0     0 |   0   112M
64.1%  728M  299M| 940  0.80     0   112M|   6  2.27 |   0     0 |   0   112M
68.4%  728M  300M| 932  0.82     0   112M|   5  1.56 |   0     0 |   0   112M
71.5%  728M  300M| 932  0.80     0   111M|   6  2.29 |   0     0 |   0   111M
52.8%  728M  299M| 927  0.84     0   111M|   5  1.92 |   0     0 |   0   112M
38.1%  728M  206M| 189  0.77     0    18M|   6  1.84 |   0     0 |   0   111M
41.7%  728M   94M|  40  0.39     0     0 |   6  1.99 |   0     0 |   0   112M
29.2%  728M  256K|  41  66.2     0     0 |   7  2.29 |   0     0 |   0    94M
63.1%  728M  158M|1794  0.08     0   217M|  13  1.28 |   0     0 |   0    60M
89.0%  728M  299M|2069  0.20     0   254M|   7  2.15 |   0     0 |   0   112M
49.0%  728M  299M| 929  0.85     0   110M|   4  1.44 |   0     0 |   0   110M
62.1%  728M  299M| 940  0.81     0   112M|   6  2.05 |   0     0 |   0   112M
66.2%  728M  299M| 924  0.81     0   110M|   5  1.74 |   0     0 |   0   111M
65.8%  729M  300M| 944  0.81     0   113M|   6  2.38 |   0     0 |   0   112M
65.5%  729M  299M| 935  0.83     0   111M|   6  2.18 |   0     0 |   0   112M
57.3%  729M  300M| 940  0.81     0   113M|   5  2.01 |   0     0 |   0   112M
51.0%  729M  300M| 932  0.85     0   111M|   5  1.33 |   0     0 |   0   111M
63.1%  729M  299M| 932  0.81     0   111M|   6  2.31 |   0     0 |   0   112M
62.0%  729M  299M| 935  0.82     0   112M|   6  2.04 |   0     0 |   0   112M
57.0%  729M  299M| 942  0.82     0   112M|   4  1.60 |   0     0 |   0   111M
64.7%  729M  299M| 926  0.80     0   111M|   7  2.34 |   0     0 |   0   112M
52.2%  729M  299M| 936  0.85     0   112M|   6  1.82 |   0     0 |   0   111M
51.6%  729M  300M| 941  0.84     0   112M|   5  1.36 |   0     0 |   0   111M
61.2%  729M  300M| 935  0.81     0   112M|   6  2.15 |   0     0 |   0   112M
62.0%  729M  299M| 927  0.81     0   111M|   5  2.33 |   0     0 |   0   111M
61.2%  729M  299M| 930  0.80     0   110M|   6  2.04 |   0     0 |   0   111M
69.0%  729M  299M| 928  0.80     0   111M|   5  1.84 |   0     0 |   0   111M
55.7%  729M  300M| 942  0.87     0   112M|   6  1.66 |   0     0 |   0   111M
68.4%  729M  299M| 934  0.84     0   111M|   6  2.12 |   0     0 |   0   112M
67.7%  729M  300M| 939  0.79     0   112M|   5  2.09 |   0     0 |   0   111M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
62.1%  729M  299M| 921  0.80     0   110M|   6  2.12 |   0     0 |   0   111M
62.5%  729M  300M| 939  0.80     0   112M|   6  2.10 |   0     0 |   0   111M
55.3%  729M  299M| 932  0.84     0   111M|   6  1.91 |   0     0 |   0   111M
49.2%  729M  299M| 926  0.87     0   110M|   6  1.71 |   0     0 |   0   111M
62.3%  729M  299M| 935  0.80     0   112M|   4  1.80 |   0     0 |   0   111M
62.3%  729M  299M| 932  0.81     0   111M|   6  2.49 |   0     0 |   0   111M
56.2%  729M  300M| 933  0.83     0   111M|   6  1.95 |   0     0 |   0   110M
60.6%  729M  299M| 929  0.80     0   111M|   5  1.53 |   0     0 |   0   112M
49.0%  729M  300M| 941  0.87     0   112M|   6  1.58 |   0     0 |   0   112M
63.5%  729M  299M| 926  0.83     0   110M|   6  2.11 |   0     0 |   0   110M
71.5%  729M  298M| 923  0.81     0   110M|   6  2.19 |   0     0 |   0   111M
64.7%  729M  299M| 933  0.80     0   111M|   6  1.93 |   0     0 |   0   111M
52.2%  729M  238M| 447  0.82     0    50M|   5  1.57 |   0     0 |   0   111M
46.2%  729M  126M|  40  0.39     0     0 |   6  2.20 |   0     0 |   0   111M
30.7%  729M   17M|  39  0.33     0     0 |   5  1.93 |   0     0 |   0   109M
39.9%  729M   78M| 914  3.06     0   108M|  15  1.64 |   0     0 |   0    46M
 105%  729M  299M|2710  0.08     0   333M|   5  1.64 |   0     0 |   0   112M
60.4%  729M  298M| 919  0.81     0   111M|   5  2.27 |   0     0 |   0   113M
56.5%  729M  300M| 933  0.81     0   113M|   5  2.18 |   0     0 |   0   111M
54.2%  730M  298M| 913  0.84     0   110M|   4  2.08 |   0     0 |   0   111M
53.8%  730M  299M| 924  0.86     0   112M|   5  2.02 |   0     0 |   0   112M
64.2%  730M  300M| 931  0.79     0   113M|   5  2.68 |   0     0 |   0   112M
64.6%  732M  299M| 916  0.80     0   111M|   4  2.75 |   0     0 |   0   112M
55.2%  733M  299M| 917  0.84     0   111M|   4  1.69 |   0     0 |   0   111M
62.4%  733M  299M| 929  0.79     0   112M|   5  2.54 |   0     0 |   0   112M
47.2%  734M  299M| 916  0.88     0   111M|   3  1.61 |   0     0 |   0   111M
66.6%  739M  298M| 915  0.83     0   111M|   5  2.28 |   0     0 |   0   112M
73.2%  741M  298M| 922  0.81     0   111M|   5  2.37 |   0     0 |   0   111M
62.5%  742M  299M| 923  0.82     0   112M|   6  2.16 |   0     0 |   0   111M
60.3%  743M  299M| 919  0.81     0   112M|   4  2.82 |   0     0 |   0   111M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
59.6%  744M  299M| 927  0.81     0   112M|   4  1.78 |   0     0 |   0   112M
46.2%  745M  299M| 927  0.87     0   111M|   5  1.78 |   0     0 |   0   112M
63.1%  746M  298M| 920  0.80     0   111M|   4  2.73 |   0     0 |   0   112M
63.1%  747M  299M| 929  0.79     0   112M|   5  2.49 |   0     0 |   0   112M
59.0%  749M  299M| 928  0.82     0   112M|   4  1.77 |   0     0 |   0   112M
61.1%  750M  299M| 919  0.80     0   112M|   4  2.61 |   0     0 |   0   112M
53.0%  750M  299M| 915  0.85     0   111M|   4  1.70 |   0     0 |   0   111M
50.3%  751M  299M| 918  0.88     0   111M|   5  1.84 |   0     0 |   0   111M
58.5%  753M  299M| 914  0.82     0   110M|   5  2.26 |   0     0 |   0   111M
62.7%  754M  299M| 920  0.80     0   111M|   5  2.49 |   0     0 |   0   111M
58.3%  755M  299M| 923  0.82     0   112M|   4  1.71 |   0     0 |   0   111M
60.9%  757M  299M| 927  0.81     0   112M|   5  2.37 |   0     0 |   0   112M
47.0%  758M  298M| 910  0.87     0   110M|   4  1.90 |   0     0 |   0   111M
61.7%  762M  299M| 921  0.81     0   111M|   4  2.00 |   0     0 |   0   111M
68.8%  768M  298M| 923  0.82     0   112M|   5  2.50 |   0     0 |   0   112M
64.0%  770M  300M| 924  0.79     0   111M|   4  2.79 |   0     0 |   0   110M
61.3%  772M  299M| 919  0.81     0   111M|   5  2.45 |   0     0 |   0   112M
56.4%  772M  300M| 924  0.83     0   112M|   4  1.89 |   0     0 |   0   111M
46.8%  774M  299M| 920  0.87     0   111M|   6  1.87 |   0     0 |   0   111M
53.3%  776M  263M| 631  0.82     0    76M|   4  2.63 |   0     0 |   0   112M
42.9%  777M  151M|  27  0.41     0     0 |   5  2.43 |   0     0 |   0   112M
40.8%  778M   39M|  27  0.39     0     0 |   5  2.17 |   0     0 |   0   111M
12.9%  779M 8192K| 112  24.3     0  8704K|  13  1.68 |   0     0 |   0    39M
91.1%  781M  298M|3241  0.09     0   402M|   4  1.27 |   0     0 |   0   111M
53.6%  783M  299M| 917  0.85     0   111M|   4  1.58 |   0     0 |   0   111M
91.2%  786M  300M| 929  0.81     0   113M|   4  2.89 |   0     0 |   0   112M
63.3%  787M  299M| 926  0.82     0   111M|   5  2.49 |   0     0 |   0   112M
61.0%  787M  300M| 910  0.83     0   110M|   4  2.10 |   0     0 |   0   110M
57.3%  787M  300M| 918  0.83     0   111M|   5  1.91 |   0     0 |   0   111M
46.7%  787M  300M| 920  0.88     0   111M|   4  1.49 |   0     0 |   0   112M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
57.2%  787M  298M| 913  0.83     0   110M|   5  2.25 |   0     0 |   0   111M
61.8%  787M  300M| 935  0.80     0   113M|   5  2.38 |   0     0 |   0   112M
59.6%  788M  298M| 908  0.81     0   110M|   3  2.11 |   0     0 |   0   111M
61.1%  788M  299M| 925  0.81     0   112M|   5  2.30 |   0     0 |   0   111M
57.4%  788M  299M| 917  0.82     0   111M|   5  2.18 |   0     0 |   0   112M
46.3%  788M  299M| 916  0.88     0   111M|   4  2.12 |   0     0 |   0   110M
59.8%  788M  300M| 929  0.80     0   112M|   4  1.92 |   0     0 |   0   112M
61.3%  788M  300M| 921  0.80     0   112M|   5  2.30 |   0     0 |   0   112M
61.9%  790M  299M| 917  0.83     0   110M|   6  2.15 |   0     0 |   0   110M
69.6%  792M  299M| 925  0.80     0   112M|   4  2.48 |   0     0 |   0   112M
56.1%  792M  299M| 914  0.86     0   111M|   4  1.62 |   0     0 |   0   111M
51.7%  792M  300M| 930  0.86     0   113M|   5  2.19 |   0     0 |   0   112M
61.8%  792M  300M| 915  0.80     0   110M|   4  2.76 |   0     0 |   0   111M
