------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 0.0%  375M  256K|   0     0     0     0 |   0     0 |   0     0 |   0     0 
 154%  618M  337M|3343  2.47     0   394M| 146  0.97 |   0     0 |   0    62M
90.3%  690M  409M|1491  10.4     0   186M|   1  1.14 |   0     0 |   0   112M
 114%  768M  481M|1495  10.4     0   184M|   2  1.11 |   0     0 |   0   111M
92.2%  841M  551M|1468  10.5     0   181M|   1  0.97 |   0     0 |   0   111M
87.2%  892M  594M|1252  12.0     0   154M|   2  0.92 |   0     0 |   0   112M
68.7%  892M  600M| 954  16.9     0   117M|   2  1.38 |   0     0 |   0   111M
69.2%  893M  600M| 906  17.5     0   111M|   2  1.28 |   0     0 |   0   111M
65.6%  893M  598M| 895  17.6     0   110M|   2  1.00 |   0     0 |   0   112M
61.4%  893M  597M| 893  16.9     0   110M|   1  1.18 |   0     0 |   0   110M
62.6%  893M  599M| 911  17.6     0   112M|   5  2.38 |   0     0 |   0   111M
59.5%  893M  599M| 901  17.3     0   110M|  14  2.86 |   0     0 |   0   112M
63.7%  893M  596M| 885  17.1     0   108M|   2  1.08 |   0     0 |   0   111M
65.9%  893M  599M| 932  17.8     0   114M|   2  1.15 |   0     0 |   0   111M
64.6%  893M  600M| 909  17.1     0   111M|   1  1.04 |   0     0 |   0   111M
65.7%  893M  599M| 907  17.3     0   111M|   3  2.10 |   0     0 |   0   112M
62.1%  893M  599M| 909  17.3     0   111M|  17  2.82 |   0     0 |   0   111M
54.4%  893M  596M| 879  18.1     0   107M|   2  0.90 |   0     0 |   0   110M
64.0%  893M  596M| 905  16.4     0   112M|   2  1.11 |   0     0 |   0   112M
69.0%  893M  600M| 935  17.7     0   115M|   5  3.15 |   0     0 |   0   111M
65.5%  893M  596M| 895  16.4     0   110M|   9  2.95 |   0     0 |   0   113M
66.1%  893M  599M| 931  17.6     0   114M|   7  3.38 |   0     0 |   0   111M
54.0%  893M  594M| 871  17.8     0   106M|   3  1.75 |   0     0 |   0   111M
55.3%  893M  600M| 944  17.1     0   116M|   2  1.17 |   0     0 |   0   111M
65.8%  893M  598M| 894  17.1     0   110M|   4  3.00 |   0     0 |   0   112M
68.1%  893M  600M| 922  17.5     0   113M|  11  3.13 |   0     0 |   0   111M
64.6%  893M  600M| 908  17.3     0   112M|   4  2.66 |   0     0 |   0   111M
59.2%  893M  599M| 900  17.4     0   110M|   5  2.50 |   0     0 |   0   111M
55.7%  894M  599M| 899  17.4     0   110M|   4  1.96 |   0     0 |   0   111M
64.7%  894M  598M| 910  17.0     0   111M|   8  3.31 |   0     0 |   0   112M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
65.8%  894M  597M| 896  17.2     0   111M|   4  2.35 |   0     0 |   0   111M
65.8%  894M  597M| 918  17.4     0   113M|   5  3.38 |   0     0 |   0   113M
64.7%  894M  599M| 913  17.4     0   112M|   7  2.81 |   0     0 |   0   111M
67.5%  894M  599M| 908  17.2     0   111M|   4  2.62 |   0     0 |   0   111M
58.2%  894M  596M| 886  18.1     0   107M|   7  3.24 |   0     0 |   0   111M
66.4%  894M  598M| 910  16.7     0   113M|   6  2.64 |   0     0 |   0   111M
67.1%  894M  598M| 914  16.9     0   112M|   3  2.92 |   0     0 |   0   112M
65.8%  894M  598M| 912  17.2     0   112M|   9  2.84 |   0     0 |   0   111M
62.6%  894M  598M| 907  18.0     0   110M|   4  2.20 |   0     0 |   0   112M
62.3%  894M  598M| 912  16.9     0   112M|   5  3.00 |   0     0 |   0   111M
58.4%  895M  600M| 916  17.3     0   112M|   4  2.01 |   0     0 |   0   111M
67.1%  895M  599M| 911  17.5     0   111M|   5  3.47 |   0     0 |   0   111M
70.5%  895M  599M| 893  16.9     0   110M|   6  2.71 |   0     0 |   0   111M
65.1%  896M  598M| 905  17.4     0   111M|   7  2.73 |   0     0 |   0   111M
70.8%  896M  599M| 910  17.4     0   111M|   6  3.47 |   0     0 |   0   111M
