------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 0.0%  105M    0 |   0     0     0     0 |   0     0 |   0     0 |   0     0 
98.5%  286M  132M|1730  0.16     0   213M|  11  0.97 |   0     0 |   0    81M
92.2%  457M  299M|2249  0.19     0   279M|   3  2.38 |   0     0 |   0   112M
49.4%  459M  300M| 915  0.86     0   112M|   4  1.87 |   0     0 |   0   111M
56.4%  459M  299M| 910  0.82     0   112M|   4  2.40 |   0     0 |   0   112M
58.5%  460M  299M| 899  0.82     0   110M|   3  3.18 |   0     0 |   0   111M
61.3%  461M  299M| 919  0.79     0   113M|   4  3.02 |   0     0 |   0   112M
55.6%  463M  300M| 908  0.83     0   112M|   2  2.53 |   0     0 |   0   112M
49.6%  464M  299M| 903  0.86     0   111M|   4  2.35 |   0     0 |   0   111M
49.8%  465M  299M| 904  0.87     0   111M|   3  1.74 |   0     0 |   0   112M
59.1%  466M  299M| 897  0.81     0   110M|   3  3.13 |   0     0 |   0   110M
59.1%  466M  300M| 919  0.81     0   113M|   4  2.69 |   0     0 |   0   112M
62.4%  467M  300M| 902  0.80     0   111M|   2  2.96 |   0     0 |   0   111M
50.6%  468M  299M| 895  0.85     0   110M|   5  2.35 |   0     0 |   0   111M
47.5%  468M  299M| 899  0.87     0   110M|   4  2.10 |   0     0 |   0   110M
53.1%  470M  300M| 910  0.84     0   112M|   3  3.19 |   0     0 |   0   111M
77.0%  482M  299M| 903  0.80     0   111M|   3  3.02 |   0     0 |   0   112M
74.9%  487M  300M| 908  0.80     0   111M|   3  3.32 |   0     0 |   0   111M
73.2%  489M  299M| 896  0.82     0   110M|   4  2.87 |   0     0 |   0   111M
56.7%  490M  300M| 920  0.84     0   113M|   4  2.07 |   0     0 |   0   112M
50.7%  491M  300M| 908  0.86     0   112M|   3  2.28 |   0     0 |   0   112M
59.1%  492M  299M| 899  0.83     0   110M|   4  2.53 |   0     0 |   0   111M
59.4%  493M  300M| 911  0.83     0   112M|   3  2.10 |   0     0 |   0   112M
61.2%  493M  299M| 896  0.82     0   110M|   4  2.96 |   0     0 |   0   111M
55.2%  494M  299M| 900  0.86     0   110M|   4  2.40 |   0     0 |   0   110M
48.9%  494M  299M| 899  0.87     0   111M|   3  2.54 |   0     0 |   0   110M
49.8%  496M  299M| 898  0.88     0   111M|   4  2.11 |   0     0 |   0   111M
74.5%  500M  299M| 909  0.80     0   111M|   2  2.62 |   0     0 |   0   112M
