------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 0.0%  769M 8192K|   0     0     0     0 |   0     0 |   0     0 |   0     0 
65.4%  769M   72M| 654  20.4    15M    0 | 617  0.87 |   0     0 |  22M  768K
 145%  769M  145M| 484   241    49M    0 | 218  0.68 |   0     0 | 110M 8960K
 174%  769M  153M| 591   192    54M    0 | 295  0.77 |   0     0 | 112M   10M
 175%  769M  152M| 547   233    50M    0 | 239  0.82 |   0     0 | 111M 8448K
 176%  769M  154M| 550   234    49M    0 | 228  0.84 |   0     0 | 112M   10M
 149%  769M  149M| 541   242    48M    0 | 208  0.71 |   0     0 | 109M   10M
 155%  769M  152M| 570   215    52M    0 | 204  0.69 |   0     0 | 110M 7168K
 144%  769M  151M| 572   230    52M    0 | 206  0.67 |   0     0 | 110M 7936K
 161%  769M  152M| 560   219    51M    0 | 182  0.79 |   0     0 | 111M 7168K
 182%  769M  150M| 522   251    48M    0 | 156  0.85 |   0     0 | 111M   11M
 171%  769M  153M| 565   228    53M    0 | 170  0.81 |   0     0 | 111M 6912K
 152%  769M  155M| 521   232    50M    0 | 131  0.73 |   0     0 | 111M 8960K
 148%  769M  152M| 552   234    52M    0 | 135  0.71 |   0     0 | 109M 7424K
 151%  769M  154M| 534   235    52M    0 | 129  0.73 |   0     0 | 112M 6400K
 173%  769M  156M| 522   229    50M    0 | 108  0.86 |   0     0 | 112M 8192K
 172%  769M  154M| 523   245    51M    0 |  94  0.87 |   0     0 | 111M 8448K
 150%  769M  158M| 546   225    54M    0 |  98  0.77 |   0     0 | 111M 4608K
 142%  769M  153M| 521   220    50M    0 |  99  0.70 |   0     0 | 110M 7424K
 132%  769M  153M| 507   279    51M    0 |  76  0.73 |   0     0 | 109M 8192K
 169%  769M  153M| 539   219    52M    0 |  93  0.78 |   0     0 | 112M   11M
 172%  769M  154M| 515   250    51M    0 |  83  0.85 |   0     0 | 111M 6912K
