------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 0.0% 1712M 8192K|   0     0     0     0 |   0     0 |   0     0 |   0     0 
71.2% 1712M   53M| 884  5.44  4736K   40M| 657  0.97 |   0     0 |7040K   22M
 202% 1713M  133M| 879   122    46M   43M| 464  1.66 |   0     0 |  94M   55M
 232% 1718M  149M| 901   134    49M   41M| 511  1.88 |   0     0 | 104M   58M
 215% 1720M  155M| 875   143    47M   41M| 468  1.63 |   0     0 | 103M   49M
 226% 1722M  155M| 900   146    45M   45M| 468  1.61 |   0     0 | 100M   52M
 182% 1722M  153M| 889   141    45M   43M| 493  1.43 |   0     0 | 100M   53M
 189% 1722M  153M| 865   144    46M   41M| 439  1.52 |   0     0 | 101M   47M
 238% 1740M  154M| 900   137    46M   43M| 478  1.79 |   0     0 | 103M   51M
 232% 1749M  156M| 869   156    44M   43M| 454  1.87 |   0     0 | 100M   55M
 222% 1752M  156M| 995   128    47M   53M| 536  1.84 |   0     0 |  98M   60M
 212% 1753M  156M| 943   137    44M   52M| 482  1.74 |   0     0 | 101M   62M
 193% 1753M  155M| 930   135    46M   47M| 513  1.40 |   0     0 | 102M   60M
 225% 1753M  151M| 884   143    45M   44M| 471  1.76 |   0     0 | 102M   54M
 229% 1753M  158M| 967   135    48M   49M| 468  1.83 |   0     0 | 102M   51M
 229% 1753M  155M| 938   139    46M   49M| 510  1.87 |   0     0 | 100M   57M
 207% 1753M  154M| 947   122    45M   50M| 498  1.68 |   0     0 |  98M   57M
 181% 1753M  154M| 876   148    45M   44M| 477  1.48 |   0     0 |  99M   52M
 176% 1753M  160M| 914   145    46M   46M| 457  1.42 |   0     0 |  98M   50M
 221% 1753M  154M| 895   132    45M   45M| 490  1.84 |   0     0 | 100M   57M
 227% 1754M  151M| 904   140    45M   46M| 491  1.94 |   0     0 | 101M   56M
 212% 1754M  153M| 888   168    48M   40M| 472  1.70 |   0     0 | 100M   47M
 189% 1754M  156M| 918   131    47M   44M| 464  1.45 |   0     0 | 101M   49M
 167% 1754M  155M| 807   160    39M   40M| 445  1.38 |   0     0 |  95M   54M
 194% 1754M  154M| 858   146    47M   38M| 448  1.58 |   0     0 | 103M   47M
 229% 1754M  156M| 851   155    46M   38M| 466  1.76 |   0     0 | 104M   49M
 217% 1754M  156M| 882   145    48M   42M| 439  1.74 |   0     0 | 102M   46M
 216% 1754M  153M| 891   141    46M   42M| 480  1.67 |   0     0 | 102M   53M
 202% 1754M  155M| 937   137    44M   51M| 498  1.68 |   0     0 | 100M   61M
 191% 1754M  156M| 936   143    45M   50M| 488  1.63 |   0     0 | 101M   61M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 222% 1754M  157M| 970   124    47M   51M| 505  1.85 |   0     0 | 100M   57M
 222% 1754M  153M| 860   143    45M   41M| 463  1.83 |   0     0 | 102M   51M
 211% 1754M  157M| 919   144    46M   46M| 467  1.73 |   0     0 |  97M   51M
 213% 1754M  157M| 900   145    48M   43M| 489  1.67 |   0     0 | 103M   53M
 188% 1754M  154M| 908   138    47M   43M| 473  1.43 |   0     0 | 101M   47M
 203% 1754M  158M| 995   123    47M   54M| 517  1.60 |   0     0 | 100M   57M
 229% 1754M  158M| 949   134    49M   45M| 505  1.81 |   0     0 | 103M   52M
 223% 1754M  150M| 836   155    44M   39M| 466  1.92 |   0     0 | 100M   49M
