------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 0.0%  762M   12M|   0     0     0     0 |   0     0 |   0     0 |   0     0 
 327% 1052M  500M|4600  4.09     0   525M| 351  0.97 |   0     0 |  44M   73M
 164% 1138M  599M|1701  65.5     0   205M| 445  8.80 |   0     0 | 256K  112M
 176% 1140M  600M| 987   138     0   115M| 415  2.96 |   0     0 | 256K  112M
 174% 1140M  593M| 887   132     0   104M| 437  2.85 |   0     0 | 256K  112M
 160% 1144M  600M|1013   140     0   119M| 438  2.50 |   0     0 | 256K  112M
 146% 1157M  596M| 909   123     0   106M| 427  2.45 |   0     0 | 512K  111M
 165% 1173M  597M| 968   133     0   113M| 579  2.33 |   0     0 |   0   111M
 183% 1188M  598M| 962   140     0   113M| 499  2.80 |   0     0 | 256K  112M
 180% 1206M  591M| 881   142     0   103M| 464  2.93 |   0     0 |   0   111M
 178% 1225M  598M|1015   134     0   119M| 452  2.76 |   0     0 |   0   112M
 253% 1242M  597M| 934   119     0   109M| 429  2.56 |   0     0 |   0   111M
 145% 1243M  599M| 991   137     0   116M| 455  2.28 |   0     0 |   0   111M
 153% 1243M  592M| 876   141     0   102M| 451  2.48 |   0     0 |   0   112M
 175% 1243M  599M| 997   140     0   117M| 447  2.90 |   0     0 |   0   110M
 173% 1243M  592M| 882   132     0   103M| 458  2.84 |   0     0 |   0   111M
 166% 1243M  600M|1011   132     0   119M| 453  2.63 |   0     0 |   0   111M
 150% 1244M  597M| 943   136     0   110M| 451  2.42 |   0     0 |   0   112M
 141% 1245M  598M| 966   120     0   113M| 451  2.20 |   0     0 |   0   112M
 153% 1245M  594M| 908   154     0   106M| 449  2.52 |   0     0 |   0   111M
 178% 1247M  600M| 994   129     0   117M| 458  2.79 |   0     0 |   0   111M
 176% 1253M  599M| 958   132     0   112M| 451  2.77 |   0     0 |   0   112M
 176% 1271M  601M| 951   132     0   111M| 448  2.73 |   0     0 |   0   111M
 148% 1290M  598M| 935   129     0   109M| 443  2.35 |   0     0 |   0   111M
 148% 1312M  600M| 971   135     0   114M| 461  2.33 |   0     0 |   0   111M
 177% 1331M  599M| 917   139     0   107M| 449  2.88 |   0     0 |   0   111M
 185% 1353M  599M| 971   141     0   113M| 441  2.96 |   0     0 |   0   111M
 175% 1372M  596M| 917   129     0   107M| 450  2.90 |   0     0 |   0   111M
 169% 1391M  599M| 975   138     0   114M| 454  2.78 |   0     0 |   0   110M
 150% 1411M  592M| 895   145     0   104M| 438  2.46 |   0     0 |   0   111M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 149% 1433M  599M| 985   122     0   116M| 451  2.35 |   0     0 |   0   110M
 181% 1454M  595M| 943   133     0   110M| 449  2.90 |   0     0 |   0   112M
 186% 1475M  601M| 982   149     0   115M| 457  2.98 |   0     0 |   0   111M
 168% 1497M  598M| 936   124     0   109M| 453  2.74 |   0     0 |   0   112M
 162% 1518M  600M| 966   131     0   113M| 454  2.55 |   0     0 |   0   112M
 152% 1539M  596M| 912   146     0   106M| 446  2.41 |   0     0 |   0   111M
 169% 1560M  595M| 955   129     0   112M| 445  2.68 |   0     0 |   0   111M
 193% 1582M  598M| 972   135     0   114M| 465  2.94 |   0     0 |   0   112M
 177% 1601M  598M| 942   129     0   110M| 445  2.85 |   0     0 |   0   110M
 160% 1621M  598M| 946   143     0   111M| 448  2.63 |   0     0 |   0   110M
 145% 1642M  598M| 924   123     0   109M| 451  2.26 |   0     0 |   0   110M
 151% 1664M  601M| 977   148     0   114M| 449  2.36 |   0     0 |   0   111M
 167% 1685M  596M| 944   134     0   110M| 459  2.59 |   0     0 |   0   112M
 279% 1710M  590M| 870   137     0   101M| 442  3.06 |   0     0 |   0   110M
 180% 1711M  597M|1010   125     0   119M| 449  2.89 |   0     0 |   0   112M
 153% 1711M  591M| 903   131     0   105M| 442  2.58 |   0     0 |   0   111M
 153% 1711M  600M|1016   139     0   119M| 455  2.44 |   0     0 |   0   111M
 147% 1711M  594M| 894   139     0   104M| 438  2.40 |   0     0 |   0   111M
 178% 1711M  598M| 992   138     0   116M| 463  2.85 |   0     0 |   0   111M
 174% 1711M  596M| 930   126     0   109M| 442  2.88 |   0     0 |   0   112M
 162% 1711M  599M| 963   137     0   113M| 456  2.56 |   0     0 |   0   110M
 148% 1711M  597M| 955   141     0   112M| 438  2.48 |   0     0 |   0   111M
 152% 1711M  599M| 962   138     0   112M| 458  2.38 |   0     0 |   0   112M
 168% 1712M  598M| 947   118     0   112M| 458  2.73 |   0     0 |   0   112M
 175% 1712M  590M| 874   146     0   102M| 449  2.92 |   0     0 |   0   111M
 174% 1712M  598M|1001   136     0   118M| 456  2.81 |   0     0 |   0   111M
 169% 1712M  593M| 932   120     0   109M| 451  2.72 |   0     0 |   0   112M
 158% 1712M  598M| 983   147     0   115M| 452  2.42 |   0     0 |   0   111M
 152% 1712M  590M| 890   137     0   104M| 444  2.41 |   0     0 |   0   112M
 177% 1712M  600M|1024   134     0   120M| 452  2.79 |   0     0 |   0   111M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 167% 1712M  596M| 914   125     0   107M| 444  2.72 |   0     0 |   0   111M
 171% 1712M  599M| 961   144     0   113M| 448  2.73 |   0     0 |   0   111M
 135% 1712M  488M|  61  5.89     0   512K| 463  2.64 |   0     0 |   0   111M
 113% 1712M  377M|  57  0.27     0     0 | 445  2.34 |   0     0 |   0   111M
 113% 1712M  265M|  57  0.28     0     0 | 462  2.25 |   0     0 |   0   112M
 131% 1712M  152M|  43  0.31     0     0 | 450  2.82 |   0     0 |   0   112M
 124% 1712M   40M| 114  1571     0     0 | 446  2.86 |   0     0 |   0   112M
39.2% 1712M 8192K| 227  2126     0     0 | 148  2.72 |   0     0 |   0    32M
 5.7% 1712M 8192K|  43  0.31     0     0 |   4  0.97 |   0     0 |   0     0 
22.6% 1712M 8192K| 314  0.86     0     0 | 262  0.98 |   0     0 |   0     0 
 150% 1713M   96M|1037  53.4    28M   57M| 695  1.21 |   0     0 |  50M   54M
 221% 1713M  138M| 996   107    46M   54M| 477  1.80 |   0     0 | 100M   56M
 221% 1720M  149M| 828   147    50M   33M| 449  1.71 |   0     0 | 106M   44M
 212% 1721M  143M| 878   154    44M   43M| 481  1.64 |   0     0 | 101M   53M
 216% 1722M  146M| 896   143    45M   44M| 466  1.55 |   0     0 | 101M   52M
 178% 1722M  140M| 885   128    45M   44M| 476  1.44 |   0     0 |  98M   51M
 220% 1733M  144M| 845   159    47M   37M| 457  1.67 |   0     0 | 105M   49M
 244% 1747M  145M| 937   147    48M   46M| 506  1.81 |   0     0 | 102M   53M
 224% 1751M  148M| 927   125    42M   52M| 454  2.01 |   0     0 |  97M   58M
 218% 1752M  142M| 962   143    46M   50M| 539  1.71 |   0     0 | 100M   62M
