------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 0.0%  503M  256K|   0     0     0     0 |   0     0 |   0     0 |   0     0 
87.2%  505M  281M|3056  0.06     0   378M|  11  0.97 |   0     0 |   0    97M
61.6%  511M  299M|1065  0.67     0   129M|   4  2.43 |   0     0 |   0   112M
62.8%  512M  300M| 921  0.81     0   112M|   4  1.92 |   0     0 |   0   111M
60.4%  514M  300M| 925  0.81     0   112M|   6  2.13 |   0     0 |   0   112M
49.9%  515M  300M| 920  0.86     0   112M|   4  2.23 |   0     0 |   0   112M
52.4%  519M  299M| 915  0.85     0   111M|   4  1.68 |   0     0 |   0   112M
73.6%  527M  300M| 929  0.80     0   113M|   5  2.58 |   0     0 |   0   111M
66.6%  530M  299M| 909  0.81     0   110M|   4  2.59 |   0     0 |   0   111M
62.2%  531M  299M| 916  0.80     0   111M|   4  1.78 |   0     0 |   0   111M
51.1%  532M  299M| 917  0.85     0   111M|   5  1.99 |   0     0 |   0   111M
48.1%  533M  300M| 925  0.86     0   112M|   5  1.76 |   0     0 |   0   112M
51.3%  534M  299M| 909  0.86     0   111M|   4  2.28 |   0     0 |   0   111M
67.5%  537M  299M| 910  0.81     0   110M|   4  2.16 |   0     0 |   0   111M
67.3%  540M  299M| 916  0.82     0   111M|   6  2.38 |   0     0 |   0   111M
65.0%  541M  300M| 921  0.77     0   112M|   4  2.96 |   0     0 |   0   111M
49.3%  542M  300M| 923  0.85     0   112M|   4  1.49 |   0     0 |   0   112M
49.4%  544M  300M| 917  0.85     0   111M|   5  1.93 |   0     0 |   0   111M
58.0%  544M  299M| 919  0.82     0   111M|   5  2.15 |   0     0 |   0   111M
55.4%  545M  300M| 922  0.82     0   112M|   4  2.59 |   0     0 |   0   112M
61.5%  546M  299M| 915  0.80     0   111M|   5  2.46 |   0     0 |   0   112M
55.9%  547M  299M| 915  0.82     0   111M|   4  1.79 |   0     0 |   0   110M
47.0%  548M  300M| 920  0.86     0   112M|   4  2.09 |   0     0 |   0   111M
49.3%  550M  299M| 913  0.86     0   111M|   5  2.03 |   0     0 |   0   111M
60.1%  551M  300M| 918  0.82     0   111M|   6  2.27 |   0     0 |   0   110M
55.9%  553M  300M| 911  0.82     0   110M|   4  2.36 |   0     0 |   0   111M
61.1%  554M  300M| 919  0.78     0   111M|   4  2.03 |   0     0 |   0   111M
56.1%  557M  299M| 917  0.84     0   111M|   5  2.38 |   0     0 |   0   112M
58.4%  564M  299M| 924  0.85     0   112M|   4  2.43 |   0     0 |   0   112M
65.2%  567M  300M| 919  0.83     0   111M|   4  1.64 |   0     0 |   0   111M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
69.1%  569M  300M| 921  0.81     0   112M|   6  2.19 |   0     0 |   0   112M
65.0%  570M  300M| 927  0.80     0   112M|   4  2.97 |   0     0 |   0   112M
60.5%  571M  299M| 905  0.83     0   110M|   5  2.42 |   0     0 |   0   110M
48.5%  572M  299M| 913  0.87     0   111M|   4  1.38 |   0     0 |   0   111M
48.3%  573M  299M| 915  0.86     0   111M|   6  1.84 |   0     0 |   0   111M
42.0%  574M  204M| 153  0.78     0    16M|   4  2.85 |   0     0 |   0   111M
41.8%  575M   92M|  25  0.43     0     0 |   5  2.28 |   0     0 |   0   112M
28.3%  576M  256K|  26   104     0     0 |   6  2.66 |   0     0 |   0    91M
50.6%  582M 3584K| 381  3.50    43M    0 |  11  1.05 |   0     0 |  43M    0 
 110%  584M 3328K| 809  3.50    98M    0 |   9  0.95 |   0     0 |  98M    0 
 117%  586M 3200K| 824  3.58    99M    0 |   8  0.99 |   0     0 |  99M    0 
 135%  588M 3328K| 842  3.23   101M    0 |   8  1.12 |   0     0 | 101M    0 
 125%  590M 3200K| 821  3.66    99M    0 |   8  1.02 |   0     0 | 100M    0 
 135%  593M 3328K| 850  3.34   102M    0 |   9  1.13 |   0     0 | 103M    0 
 121%  596M 3328K| 866  3.36   104M    0 |   8  1.37 |   0     0 | 104M    0 
 108%  598M 3328K| 817  3.50    98M    0 |   9  0.94 |   0     0 |  98M    0 
 125%  600M 3328K| 842  3.43   101M    0 |  11  0.99 |   0     0 | 101M    0 
 132%  602M 3328K| 844  3.35   101M    0 |   5  1.15 |   0     0 | 102M    0 
 137%  605M 3072K| 818  3.54    98M    0 |  11  1.21 |   0     0 |  98M    0 
