------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 0.0%  703M  256K|   0     0     0     0 |   0     0 |   0     0 |   0     0 
95.5%  707M  125M|1720  0.16     0   209M|  13  0.99 |   0     0 |   0    83M
 109%  707M  280M|2189  0.16     0   268M|   6  2.17 |   0     0 |   0   112M
64.1%  707M  299M|1081  0.66     0   130M|   5  1.68 |   0     0 |   0   112M
49.0%  707M  299M| 935  0.85     0   112M|   5  1.79 |   0     0 |   0   111M
56.8%  707M  300M| 934  0.84     0   111M|   6  1.79 |   0     0 |   0   111M
62.5%  707M  299M| 928  0.81     0   110M|   6  1.87 |   0     0 |   0   111M
62.3%  707M  298M| 933  0.80     0   111M|   7  1.98 |   0     0 |   0   112M
63.5%  707M  299M| 936  0.81     0   112M|   5  2.41 |   0     0 |   0   111M
54.6%  708M  299M| 929  0.84     0   111M|   5  1.67 |   0     0 |   0   111M
51.0%  708M  300M| 943  0.84     0   112M|   6  1.68 |   0     0 |   0   112M
58.4%  708M  300M| 935  0.82     0   111M|   6  2.02 |   0     0 |   0   111M
62.7%  709M  299M| 923  0.80     0   111M|   4  1.83 |   0     0 |   0   111M
59.0%  709M  299M| 940  0.82     0   111M|   6  2.08 |   0     0 |   0   111M
68.0%  711M  300M| 937  0.80     0   113M|   6  2.48 |   0     0 |   0   112M
63.7%  713M  300M| 931  0.86     0   110M|   7  1.68 |   0     0 |   0   110M
66.1%  714M  300M| 933  0.84     0   111M|   4  1.80 |   0     0 |   0   111M
63.0%  714M  299M| 924  0.81     0   110M|   6  2.06 |   0     0 |   0   111M
63.7%  715M  299M| 944  0.78     0   113M|   6  2.11 |   0     0 |   0   112M
61.4%  715M  299M| 938  0.80     0   111M|   6  1.96 |   0     0 |   0   112M
61.1%  715M  299M| 936  0.79     0   112M|   5  2.32 |   0     0 |   0   111M
48.5%  716M  300M| 931  0.87     0   111M|   5  1.37 |   0     0 |   0   111M
54.7%  716M  300M| 931  0.82     0   111M|   6  1.76 |   0     0 |   0   111M
59.7%  716M  300M| 927  0.82     0   110M|   6  2.21 |   0     0 |   0   110M
61.0%  716M  299M| 925  0.81     0   110M|   4  1.91 |   0     0 |   0   111M
62.8%  716M  299M| 932  0.81     0   111M|   7  2.38 |   0     0 |   0   111M
56.9%  716M  299M| 938  0.82     0   112M|   6  2.03 |   0     0 |   0   111M
49.1%  716M  300M| 930  0.86     0   111M|   6  1.61 |   0     0 |   0   111M
58.1%  716M  300M| 926  0.83     0   111M|   5  1.68 |   0     0 |   0   111M
62.2%  716M  299M| 938  0.79     0   111M|   6  2.11 |   0     0 |   0   111M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
57.7%  716M  299M| 923  0.80     0   111M|   5  2.45 |   0     0 |   0   111M
59.5%  717M  299M| 929  0.83     0   111M|   6  2.08 |   0     0 |   0   111M
48.8%  717M  299M| 933  0.85     0   111M|   5  1.44 |   0     0 |   0   111M
50.3%  717M  299M| 932  0.84     0   111M|   6  1.70 |   0     0 |   0   111M
57.0%  717M  299M| 936  0.82     0   112M|   6  2.16 |   0     0 |   0   111M
44.7%  717M  217M| 272  0.77     0    29M|   5  2.03 |   0     0 |   0   111M
40.3%  717M  106M|  40  0.36     0     0 |   6  1.98 |   0     0 |   0   111M
32.1%  717M  256K|  43  62.8     0     0 |   8  2.19 |   0     0 |   0   105M
 3.2%  717M  256K|  40  0.34     0     0 |   4  0.93 |   0     0 |   0     0 
 3.1%  717M  256K|  40  0.35     0     0 |   4  0.92 |   0     0 |   0     0 
 3.2%  717M  256K|  39  0.31     0     0 |   3  0.87 |   0     0 |   0     0 
 3.3%  717M  256K|  40  0.35     0     0 |   4  0.90 |   0     0 |   0     0 
 2.9%  717M  256K|  40  0.34     0     0 |   4  0.90 |   0     0 |   0     0 
 3.3%  717M  256K|  40  0.33     0     0 |   4  0.84 |   0     0 |   0     0 
 2.9%  717M  256K|  39  0.31     0     0 |   3  0.84 |   0     0 |   0     0 
 3.8%  717M  256K|  40  0.33     0     0 |   5  1.05 |   0     0 |   0     0 
 3.5%  717M  256K|  40  0.35     0     0 |   4  0.90 |   0     0 |   0     0 
 3.3%  717M  256K|  40  0.35     0     0 |   4  0.89 |   0     0 |   0     0 
 2.7%  717M  256K|  39  0.34     0     0 |   3  0.89 |   0     0 |   0     0 
 4.3%  717M  256K|  40  0.31     0     0 |   4  0.73 |   0     0 |   0     0 
 2.7%  718M  256K|  40  0.31     0     0 |   4  0.87 |   0     0 |   0     0 
 3.3%  718M  256K|  40  0.36     0     0 |   4  0.95 |   0     0 |   0     0 
 4.7%  718M  256K|  39  0.32     0     0 |   3  0.84 |   0     0 |   0     0 
 3.7%  718M  256K|  40  0.37     0     0 |   4  0.98 |   0     0 |   0     0 
 3.5%  718M  256K|  40  0.37     0     0 |   4  0.99 |   0     0 |   0     0 
 3.2%  718M  256K|  40  0.33     0     0 |   5  1.07 |   0     0 |   0     0 
 3.3%  718M  256K|  40  0.34     0     0 |   4  0.90 |   0     0 |   0     0 
 3.8%  718M  256K|  40  0.35     0     0 |   4  0.89 |   0     0 |   0     0 
 3.2%  718M  256K|  39  0.34     0     0 |   3  0.95 |   0     0 |   0     0 
 3.7%  718M  256K|  40  0.37     0     0 |   4  0.91 |   0     0 |   0     0 
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 3.4%  718M  256K|  40  0.34     0     0 |   4  0.82 |   0     0 |   0     0 
 3.9%  718M  256K|  40  0.35     0     0 |   4  0.82 |   0     0 |   0     0 
 3.4%  718M  256K|  39  0.32     0     0 |   3  0.81 |   0     0 |   0     0 
 3.6%  718M  256K|  40  0.35     0     0 |   4  0.89 |   0     0 |   0     0 
 3.8%  718M  256K|  40  0.37     0     0 |   4  1.06 |   0     0 |   0     0 
 2.8%  719M  256K|  40  0.30     0     0 |   5  0.95 |   0     0 |   0     0 
 2.6%  719M  256K|  40  0.27     0     0 |   4  0.83 |   0     0 |   0     0 
 3.7%  719M  256K|  40  0.34     0     0 |   4  0.94 |   0     0 |   0     0 
 4.0%  719M  256K|  39  0.53     0     0 |   3  1.01 |   0     0 |   0     0 
 3.8%  719M  256K|  40  0.36     0     0 |   4  0.97 |   0     0 |   0     0 
 3.5%  719M  256K|  40  0.36     0     0 |   4  0.91 |   0     0 |   0     0 
 3.0%  719M  256K|  40  0.33     0     0 |   4  0.77 |   0     0 |   0     0 
 2.9%  719M  256K|  39  0.31     0     0 |   3  0.87 |   0     0 |   0     0 
 4.8%  719M  256K|  40  0.35     0     0 |   4  0.89 |   0     0 |   0     0 
 3.0%  719M  256K|  40  0.36     0     0 |   4  0.95 |   0     0 |   0     0 
 3.9%  719M  256K|  40  0.38     0     0 |   5  1.16 |   0     0 |   0     0 
 3.8%  719M  256K|  40  0.34     0     0 |   4  0.87 |   0     0 |   0     0 
 3.1%  719M  256K|  39  0.31     0     0 |   3  0.88 |   0     0 |   0     0 
 3.5%  719M  256K|  40  0.34     0     0 |   4  0.90 |   0     0 |   0     0 
 3.9%  719M  256K|  40  0.40     0     0 |   4  0.99 |   0     0 |   0     0 
 3.2%  719M  256K|  40  0.37     0     0 |   4  0.96 |   0     0 |   0     0 
 3.6%  719M  256K|  40  0.36     0     0 |   4  0.96 |   0     0 |   0     0 
 2.7%  719M  256K|  39  0.29     0     0 |   3  0.77 |   0     0 |   0     0 
 2.8%  719M  256K|  40  0.28     0     0 |   4  0.89 |   0     0 |   0     0 
 3.6%  719M  256K|  40  0.36     0     0 |   4  0.96 |   0     0 |   0     0 
 4.5%  719M  256K|  40  0.34     0     0 |   5  1.18 |   0     0 |   0     0 
 3.5%  719M  256K|  40  0.34     0     0 |   4  0.95 |   0     0 |   0     0 
 3.7%  719M  256K|  39  0.35     0     0 |   3  0.97 |   0     0 |   0     0 
 3.5%  720M  256K|  40  0.33     0     0 |   4  0.87 |   0     0 |   0     0 
 3.1%  720M  256K|  40  0.39     0     0 |   5  1.06 |   0     0 |   0     0 
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 3.5%  720M  256K|  40  0.35     0     0 |   4  0.89 |   0     0 |   0     0 
 3.9%  720M  256K|  40  0.38     0     0 |   4  0.98 |   0     0 |   0     0 
 2.8%  720M  256K|  39  0.33     0     0 |   3  0.93 |   0     0 |   0     0 
 3.9%  720M  256K|  40  0.34     0     0 |   4  0.89 |   0     0 |   0     0 
 2.7%  721M  256K|  40  0.34     0     0 |   4  0.91 |   0     0 |   0     0 
 3.9%  721M  256K|  40  0.37     0     0 |   5  1.17 |   0     0 |   0     0 
 3.9%  721M  256K|  40  0.34     0     0 |   4  0.82 |   0     0 |   0     0 
