Linux 5.15.0-181-generic (tikv-node) 	07/10/26 	_x86_64_	(64 CPU)

15:33:47      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
15:33:48        0   2592925   50.00   12.00    0.00    0.00   62.00    54  juicefs.v1.3.1
15:33:49        0   2592925  151.00  140.00    0.00    0.00  291.00    52  juicefs.v1.3.1
15:33:50        0   2592925   33.00   26.00    0.00    0.00   59.00    52  juicefs.v1.3.1
15:33:51        0   2592925   45.00   28.00    0.00    0.00   73.00    52  juicefs.v1.3.1
15:33:52        0   2592925   43.00   27.00    0.00    0.00   70.00    52  juicefs.v1.3.1
15:33:53        0   2592925   33.00   31.00    0.00    0.00   64.00    52  juicefs.v1.3.1
15:33:54        0   2592925   41.00   17.00    0.00    0.00   58.00    52  juicefs.v1.3.1
15:33:55        0   2592925   33.00   24.00    0.00    0.00   57.00    52  juicefs.v1.3.1
15:33:56        0   2592925   37.00   26.00    0.00    0.00   63.00    52  juicefs.v1.3.1
15:33:57        0   2592925   43.00   29.00    0.00    0.00   72.00    54  juicefs.v1.3.1
15:33:58        0   2592925   44.00   28.00    0.00    0.00   72.00    54  juicefs.v1.3.1
15:33:59        0   2592925   53.00   28.00    0.00    0.00   81.00    54  juicefs.v1.3.1
15:34:00        0   2592925   42.00   29.00    0.00    0.00   71.00    54  juicefs.v1.3.1
15:34:01        0   2592925   35.00   27.00    0.00    0.00   62.00    54  juicefs.v1.3.1
15:34:02        0   2592925   43.00   28.00    0.00    0.00   71.00    54  juicefs.v1.3.1
15:34:03        0   2592925   49.00   22.00    0.00    0.00   71.00    54  juicefs.v1.3.1
15:34:04        0   2592925   53.00   29.00    0.00    0.00   82.00    56  juicefs.v1.3.1
15:34:05        0   2592925   46.00   26.00    0.00    0.00   72.00    56  juicefs.v1.3.1
15:34:06        0   2592925   39.00   21.00    0.00    0.00   60.00    56  juicefs.v1.3.1
15:34:07        0   2592925   35.00   25.00    0.00    0.00   60.00    56  juicefs.v1.3.1
15:34:08        0   2592925   47.00   27.00    0.00    0.00   74.00    54  juicefs.v1.3.1
15:34:09        0   2592925   50.00   33.00    0.00    0.00   83.00    54  juicefs.v1.3.1
15:34:10        0   2592925   49.00   32.00    0.00    0.00   81.00    54  juicefs.v1.3.1
15:34:11        0   2592925   42.00   23.00    0.00    0.00   65.00    54  juicefs.v1.3.1
