Linux 5.15.0-181-generic (tikv-node) 	07/10/26 	_x86_64_	(64 CPU)

14:59:52      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
14:59:53        0   2592925   46.00   34.00    0.00    0.00   80.00     2  juicefs.v1.3.1
14:59:54        0   2592925   37.00   16.00    0.00    0.00   53.00     2  juicefs.v1.3.1
14:59:55        0   2592925   41.00   26.00    0.00    0.00   67.00     2  juicefs.v1.3.1
14:59:56        0   2592925   39.00   23.00    0.00    0.00   62.00     2  juicefs.v1.3.1
14:59:57        0   2592925   39.00   23.00    0.00    0.00   62.00     2  juicefs.v1.3.1
14:59:58        0   2592925   33.00   20.00    0.00    0.00   53.00     2  juicefs.v1.3.1
14:59:59        0   2592925   32.00   23.00    0.00    0.00   55.00     2  juicefs.v1.3.1
15:00:00        0   2592925   35.00   24.00    0.00    0.00   59.00     2  juicefs.v1.3.1
15:00:01        0   2592925   41.00   23.00    0.00    0.00   64.00     8  juicefs.v1.3.1
15:00:02        0   2592925   38.00   26.00    0.00    0.00   64.00     8  juicefs.v1.3.1
15:00:03        0   2592925   33.00   26.00    0.00    0.00   59.00     8  juicefs.v1.3.1
15:00:04        0   2592925   34.00   21.00    0.00    0.00   55.00     8  juicefs.v1.3.1
15:00:05        0   2592925   28.00   23.00    0.00    0.00   51.00     8  juicefs.v1.3.1
15:00:06        0   2592925   29.00   28.00    0.00    0.00   57.00     8  juicefs.v1.3.1
15:00:07        0   2592925   34.00   33.00    0.00    0.00   67.00     8  juicefs.v1.3.1
15:00:08        0   2592925   31.00   41.00    0.00    0.00   72.00     8  juicefs.v1.3.1
15:00:09        0   2592925   35.00   34.00    0.00    0.00   69.00     8  juicefs.v1.3.1
15:00:10        0   2592925   35.00   25.00    0.00    0.00   60.00     8  juicefs.v1.3.1
15:00:11        0   2592925   31.00   23.00    0.00    0.00   54.00     8  juicefs.v1.3.1
15:00:12        0   2592925   35.00   30.00    0.00    0.00   65.00     8  juicefs.v1.3.1
15:00:13        0   2592925   37.00   26.00    0.00    0.00   63.00     8  juicefs.v1.3.1
15:00:14        0   2592925   33.00   29.00    0.00    0.00   62.00     8  juicefs.v1.3.1
15:00:15        0   2592925   32.00   26.00    0.00    0.00   58.00     8  juicefs.v1.3.1
15:00:16        0   2592925   31.00   18.00    0.00    0.00   49.00     8  juicefs.v1.3.1
15:00:17        0   2592925   34.00   23.00    0.00    0.00   57.00     8  juicefs.v1.3.1
15:00:18        0   2592925   32.00   30.00    0.00    0.00   62.00     8  juicefs.v1.3.1
15:00:19        0   2592925   37.00   25.00    0.00    0.00   62.00     8  juicefs.v1.3.1
15:00:20        0   2592925   31.00   27.00    0.00    0.00   58.00     8  juicefs.v1.3.1
15:00:21        0   2592925   28.00   23.00    0.00    0.00   51.00     2  juicefs.v1.3.1
15:00:22        0   2592925   31.00   20.00    0.00    0.00   51.00     4  juicefs.v1.3.1
15:00:23        0   2592925   35.00   25.00    0.00    0.00   60.00     6  juicefs.v1.3.1
15:00:24        0   2592925   35.00   26.00    0.00    0.00   61.00     6  juicefs.v1.3.1
15:00:25        0   2592925   38.00   23.00    0.00    0.00   61.00     6  juicefs.v1.3.1
15:00:26        0   2592925   30.00   24.00    0.00    0.00   54.00     6  juicefs.v1.3.1
15:00:27        0   2592925   23.00   13.00    0.00    0.00   36.00     6  juicefs.v1.3.1
15:00:28        0   2592925   18.00   16.00    0.00    0.00   34.00     6  juicefs.v1.3.1
15:00:29        0   2592925   19.00   13.00    0.00    0.00   32.00     6  juicefs.v1.3.1
15:00:30        0   2592925   38.00   34.00    0.00    0.00   72.00    30  juicefs.v1.3.1
15:00:31        0   2592925   57.00   52.00    0.00    0.00  109.00    30  juicefs.v1.3.1
15:00:32        0   2592925   34.00   27.00    0.00    0.00   61.00    30  juicefs.v1.3.1
15:00:33        0   2592925   29.00   21.00    0.00    0.00   50.00    30  juicefs.v1.3.1
15:00:34        0   2592925   32.00   22.00    0.00    0.00   54.00    30  juicefs.v1.3.1
15:00:35        0   2592925   37.00   27.00    0.00    0.00   64.00    12  juicefs.v1.3.1
15:00:36        0   2592925   38.00   26.00    0.00    0.00   64.00     8  juicefs.v1.3.1
15:00:37        0   2592925   42.00   18.00    0.00    0.00   60.00    16  juicefs.v1.3.1
15:00:38        0   2592925   28.00   28.00    0.00    0.00   56.00    12  juicefs.v1.3.1
15:00:39        0   2592925   33.00   17.00    0.00    0.00   50.00    12  juicefs.v1.3.1
15:00:40        0   2592925   36.00   21.00    0.00    0.00   57.00    12  juicefs.v1.3.1
15:00:41        0   2592925   40.00   23.00    0.00    0.00   63.00    12  juicefs.v1.3.1
15:00:42        0   2592925   35.00   27.00    0.00    0.00   62.00    12  juicefs.v1.3.1
15:00:43        0   2592925   32.00   23.00    0.00    0.00   55.00    12  juicefs.v1.3.1
15:00:44        0   2592925   31.00   22.00    0.00    0.00   53.00    12  juicefs.v1.3.1
15:00:45        0   2592925   36.00   15.00    0.00    0.00   51.00    16  juicefs.v1.3.1
15:00:46        0   2592925   34.00   25.00    0.00    0.00   59.00    16  juicefs.v1.3.1
15:00:47        0   2592925   36.00   25.00    0.00    0.00   61.00    16  juicefs.v1.3.1
15:00:48        0   2592925   32.00   21.00    0.00    0.00   53.00    12  juicefs.v1.3.1
15:00:49        0   2592925   25.00   26.00    0.00    0.00   51.00    12  juicefs.v1.3.1
15:00:50        0   2592925   25.00   24.00    0.00    0.00   49.00    12  juicefs.v1.3.1
15:00:51        0   2592925   36.00   30.00    0.00    0.00   66.00    12  juicefs.v1.3.1
15:00:52        0   2592925   38.00   36.00    0.00    0.00   74.00    12  juicefs.v1.3.1
15:00:53        0   2592925   39.00   30.00    0.00    0.00   69.00    12  juicefs.v1.3.1
15:00:54        0   2592925   34.00   22.00    0.00    0.00   56.00    12  juicefs.v1.3.1
15:00:55        0   2592925   31.00   21.00    0.00    0.00   52.00    16  juicefs.v1.3.1
15:00:56        0   2592925   32.00   19.00    0.00    0.00   51.00    18  juicefs.v1.3.1
15:00:57        0   2592925   33.00   25.00    0.00    0.00   58.00    18  juicefs.v1.3.1
15:00:58        0   2592925   39.00   25.00    0.00    0.00   64.00    18  juicefs.v1.3.1
15:00:59        0   2592925   33.00   24.00    0.00    0.00   57.00    18  juicefs.v1.3.1
15:01:00        0   2592925   33.00   22.00    0.00    0.00   55.00    18  juicefs.v1.3.1
15:01:01        0   2592925   28.00   21.00    0.00    0.00   49.00    18  juicefs.v1.3.1
15:01:02        0   2592925   30.00   20.00    0.00    0.00   50.00    18  juicefs.v1.3.1
15:01:03        0   2592925   35.00   29.00    0.00    0.00   64.00    22  juicefs.v1.3.1
15:01:04        0   2592925   30.00   20.00    0.00    0.00   50.00    22  juicefs.v1.3.1
15:01:05        0   2592925   22.00   16.00    0.00    0.00   38.00    22  juicefs.v1.3.1
15:01:06        0   2592925   19.00   12.00    0.00    0.00   31.00    22  juicefs.v1.3.1
15:01:07        0   2592925   24.00   17.00    0.00    0.00   41.00    22  juicefs.v1.3.1
15:01:08        0   2592925   52.00   35.00    0.00    0.00   87.00    20  juicefs.v1.3.1
15:01:09        0   2592925   41.00   23.00    0.00    0.00   64.00    22  juicefs.v1.3.1
15:01:10        0   2592925   34.00   26.00    0.00    0.00   60.00    24  juicefs.v1.3.1
15:01:11        0   2592925   33.00   23.00    0.00    0.00   56.00    22  juicefs.v1.3.1
15:01:12        0   2592925   32.00   19.00    0.00    0.00   51.00    33  juicefs.v1.3.1
15:01:13        0   2592925   30.00   24.00    0.00    0.00   54.00    33  juicefs.v1.3.1
15:01:14        0   2592925   38.00   26.00    0.00    0.00   64.00    33  juicefs.v1.3.1
15:01:15        0   2592925   35.00   29.00    0.00    0.00   64.00    33  juicefs.v1.3.1
15:01:16        0   2592925   35.00   21.00    0.00    0.00   56.00    33  juicefs.v1.3.1
15:01:17        0   2592925   39.00   30.00    0.00    0.00   69.00    33  juicefs.v1.3.1
