Linux 5.15.0-181-generic (tikv-node) 	07/10/26 	_x86_64_	(64 CPU)

15:19:59      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
15:20:00        0   2592925   97.00   91.00    0.00    0.00  188.00    44  juicefs.v1.3.1
15:20:01        0   2592925   45.00   41.00    0.00    0.00   86.00    46  juicefs.v1.3.1
15:20:02        0   2592925   40.00   39.00    0.00    0.00   79.00    46  juicefs.v1.3.1
15:20:03        0   2592925   48.00   36.00    0.00    0.00   84.00    46  juicefs.v1.3.1
15:20:04        0   2592925   71.00   34.00    0.00    0.00  105.00    46  juicefs.v1.3.1
15:20:05        0   2592925   42.00   23.00    0.00    0.00   65.00    46  juicefs.v1.3.1
15:20:06        0   2592925   30.00   28.00    0.00    0.00   58.00    46  juicefs.v1.3.1
15:20:07        0   2592925   38.00   24.00    0.00    0.00   62.00    46  juicefs.v1.3.1
15:20:08        0   2592925   39.00   32.00    0.00    0.00   71.00    46  juicefs.v1.3.1
15:20:09        0   2592925   42.00   31.00    0.00    0.00   73.00    44  juicefs.v1.3.1
15:20:10        0   2592925   36.00   35.00    0.00    0.00   71.00    44  juicefs.v1.3.1
15:20:11        0   2592925   37.00   40.00    0.00    0.00   77.00    44  juicefs.v1.3.1
15:20:12        0   2592925   36.00   43.00    0.00    0.00   79.00    44  juicefs.v1.3.1
15:20:13        0   2592925   47.00   30.00    0.00    0.00   77.00    44  juicefs.v1.3.1
15:20:14        0   2592925   39.00   33.00    0.00    0.00   72.00    44  juicefs.v1.3.1
15:20:15        0   2592925   42.00   26.00    0.00    0.00   68.00    46  juicefs.v1.3.1
15:20:16        0   2592925   41.00   28.00    0.00    0.00   69.00    46  juicefs.v1.3.1
15:20:17        0   2592925   38.00   23.00    0.00    0.00   61.00    44  juicefs.v1.3.1
15:20:18        0   2592925   41.00   28.00    0.00    0.00   69.00    46  juicefs.v1.3.1
15:20:19        0   2592925   38.00   29.00    0.00    0.00   67.00    44  juicefs.v1.3.1
15:20:20        0   2592925   35.00   28.00    0.00    0.00   63.00    44  juicefs.v1.3.1
15:20:21        0   2592925   44.00   18.00    0.00    0.00   62.00    44  juicefs.v1.3.1
