Linux 5.15.0-181-generic (tikv-node) 	07/10/26 	_x86_64_	(64 CPU)

14:57:15      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
14:57:16        0   2592925   44.00   41.00    0.00    0.00   85.00    61  juicefs.v1.3.1
14:57:17        0   2592925   54.00   37.00    0.00    0.00   91.00    61  juicefs.v1.3.1
14:57:18        0   2592925   32.00   31.00    0.00    0.00   63.00    61  juicefs.v1.3.1
14:57:19        0   2592925   36.00   26.00    0.00    0.00   62.00    61  juicefs.v1.3.1
14:57:20        0   2592925   34.00   28.00    0.00    0.00   62.00    61  juicefs.v1.3.1
14:57:21        0   2592925   35.00   22.00    0.00    0.00   57.00    61  juicefs.v1.3.1
14:57:22        0   2592925   29.00   21.00    0.00    0.00   50.00    61  juicefs.v1.3.1
14:57:23        0   2592925   38.00   21.00    0.00    0.00   59.00    61  juicefs.v1.3.1
14:57:24        0   2592925   39.00   24.00    0.00    0.00   63.00    61  juicefs.v1.3.1
14:57:25        0   2592925   41.00   23.00    0.00    0.00   64.00    61  juicefs.v1.3.1
14:57:26        0   2592925   30.00   28.00    0.00    0.00   58.00    61  juicefs.v1.3.1
14:57:27        0   2592925   29.00   22.00    0.00    0.00   51.00    61  juicefs.v1.3.1
14:57:28        0   2592925   30.00   21.00    0.00    0.00   51.00    61  juicefs.v1.3.1
14:57:29        0   2592925   38.00   23.00    0.00    0.00   61.00    61  juicefs.v1.3.1
14:57:30        0   2592925   35.00   27.00    0.00    0.00   62.00    61  juicefs.v1.3.1
14:57:31        0   2592925   34.00   32.00    0.00    0.00   66.00    61  juicefs.v1.3.1
14:57:32        0   2592925   34.00   38.00    0.00    0.00   72.00    61  juicefs.v1.3.1
14:57:33        0   2592925   28.00   29.00    0.00    0.00   57.00    61  juicefs.v1.3.1
14:57:34        0   2592925   33.00   25.00    0.00    0.00   58.00    61  juicefs.v1.3.1
14:57:35        0   2592925   35.00   32.00    0.00    0.00   67.00    61  juicefs.v1.3.1
14:57:36        0   2592925   38.00   23.00    0.00    0.00   61.00    61  juicefs.v1.3.1
14:57:37        0   2592925   36.00   23.00    0.00    0.00   59.00    61  juicefs.v1.3.1
14:57:38        0   2592925   32.00   24.00    0.00    0.00   56.00    61  juicefs.v1.3.1
14:57:39        0   2592925   29.00   19.00    0.00    0.00   48.00    61  juicefs.v1.3.1
14:57:40        0   2592925   33.00   25.00    0.00    0.00   58.00    61  juicefs.v1.3.1
14:57:41        0   2592925   35.00   26.00    0.00    0.00   61.00    61  juicefs.v1.3.1
14:57:42        0   2592925   34.00   27.00    0.00    0.00   61.00    61  juicefs.v1.3.1
14:57:43        0   2592925   30.00   29.00    0.00    0.00   59.00    61  juicefs.v1.3.1
14:57:44        0   2592925   30.00   23.00    0.00    0.00   53.00    61  juicefs.v1.3.1
14:57:45        0   2592925   29.00   18.00    0.00    0.00   47.00    61  juicefs.v1.3.1
14:57:46        0   2592925   33.00   24.00    0.00    0.00   57.00    61  juicefs.v1.3.1
14:57:47        0   2592925   35.00   28.00    0.00    0.00   63.00    61  juicefs.v1.3.1
14:57:48        0   2592925   37.00   24.00    0.00    0.00   61.00    61  juicefs.v1.3.1
14:57:49        0   2592925   31.00   24.00    0.00    0.00   55.00    61  juicefs.v1.3.1
14:57:50        0   2592925   19.00   16.00    0.00    0.00   35.00    61  juicefs.v1.3.1
14:57:51        0   2592925   19.00   16.00    0.00    0.00   35.00    61  juicefs.v1.3.1
14:57:52        0   2592925   14.00   17.00    0.00    0.00   31.00    61  juicefs.v1.3.1
14:57:53        0   2592925   20.00   14.00    0.00    0.00   34.00    61  juicefs.v1.3.1
14:57:54        0   2592925   37.00   41.00    0.00    0.00   78.00    61  juicefs.v1.3.1
14:57:55        0   2592925   41.00   32.00    0.00    0.00   73.00    61  juicefs.v1.3.1
14:57:56        0   2592925   37.00   31.00    0.00    0.00   68.00    61  juicefs.v1.3.1
14:57:57        0   2592925   39.00   33.00    0.00    0.00   72.00    61  juicefs.v1.3.1
14:57:58        0   2592925   40.00   35.00    0.00    0.00   75.00    61  juicefs.v1.3.1
14:57:59        0   2592925   39.00   38.00    0.00    0.00   77.00    61  juicefs.v1.3.1
14:58:00        0   2592925   45.00   34.00    0.00    0.00   79.00    61  juicefs.v1.3.1
14:58:01        0   2592925   30.00   37.00    0.00    0.00   67.00    61  juicefs.v1.3.1
14:58:02        0   2592925   33.00   34.00    0.00    0.00   67.00    61  juicefs.v1.3.1
14:58:03        0   2592925   38.00   38.00    0.00    0.00   76.00    61  juicefs.v1.3.1
14:58:04        0   2592925   39.00   39.00    0.00    0.00   78.00    61  juicefs.v1.3.1
14:58:05        0   2592925   42.00   37.00    0.00    0.00   79.00    61  juicefs.v1.3.1
14:58:06        0   2592925   38.00   36.00    0.00    0.00   74.00    61  juicefs.v1.3.1
14:58:07        0   2592925   35.00   31.00    0.00    0.00   66.00    61  juicefs.v1.3.1
14:58:08        0   2592925   40.00   34.00    0.00    0.00   74.00    61  juicefs.v1.3.1
14:58:09        0   2592925   39.00   40.00    0.00    0.00   79.00    61  juicefs.v1.3.1
14:58:10        0   2592925   41.00   41.00    0.00    0.00   82.00    61  juicefs.v1.3.1
14:58:11        0   2592925   38.00   40.00    0.00    0.00   78.00    61  juicefs.v1.3.1
14:58:12        0   2592925   36.00   36.00    0.00    0.00   72.00    61  juicefs.v1.3.1
14:58:13        0   2592925   37.00   35.00    0.00    0.00   72.00    61  juicefs.v1.3.1
14:58:14        0   2592925   38.61   37.62    0.00    0.00   76.24    61  juicefs.v1.3.1
14:58:15        0   2592925   43.00   36.00    0.00    0.00   79.00    61  juicefs.v1.3.1
14:58:16        0   2592925   38.00   39.00    0.00    0.00   77.00    61  juicefs.v1.3.1
