------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 0.0%  282M 3328K|   0     0     0     0 |   0     0 |   0     0 |   0     0 
63.9%  282M 3328K| 942  0.76     0     0 | 718  0.97 |   0     0 |   0     0 
 291%  888M  597M|5527  9.20     0   647M| 294  1.05 |   0     0 |   0    64M
58.7%  891M  590M| 829   131     0   101M|   1  1.38 |   0     0 |   0   111M
72.7%  892M  596M| 957   136     0   118M|   3  1.60 |   0     0 |   0   110M
70.6%  892M  600M| 934   143     0   115M|   1  1.19 |   0     0 |   0   110M
63.3%  892M  599M| 906   112     0   111M|   2  0.96 |   0     0 |   0   112M
58.9%  893M  597M| 849   191     0   104M|   1  0.96 |   0     0 |   0   112M
57.2%  894M  600M| 932   127     0   115M|   2  0.92 |   0     0 |   0   112M
62.4%  894M  598M| 888   141     0   108M|   1  1.36 |   0     0 |   0   112M
73.7%  894M  599M| 925   146     0   113M|   3  2.40 |   0     0 |   0   111M
71.6%  895M  599M| 904   142     0   111M|   4  3.35 |   0     0 |   0   110M
80.2%  899M  594M| 950   132     0   117M|  82  2.73 |   0     0 |   0   111M
70.6%  901M  598M| 840   149     0   103M|  45  2.81 |   0     0 |   0   112M
61.1%  902M  594M| 884   146     0   108M|   3  1.16 |   0     0 |   0   112M
72.2%  902M  598M| 937   120     0   115M|   2  1.32 |   0     0 |   0   112M
72.2%  903M  599M| 917   166     0   112M|   5  3.31 |   0     0 |   0   111M
80.6%  907M  597M| 976   126     0   120M|  58  2.89 |   0     0 |   0   111M
71.7%  910M  599M| 821   154     0   100M|  70  2.54 |   0     0 |   0   112M
59.0%  911M  596M| 893   129     0   109M|   1  0.95 |   0     0 |   0   110M
62.3%  912M  597M| 907   136     0   111M|   2  1.20 |   0     0 |   0   111M
73.2%  913M  599M| 937   153     0   115M|   1  1.24 |   0     0 |   0   112M
82.7%  915M  592M| 903   135     0   111M|  48  3.09 |   0     0 |   0   111M
81.2%  919M  599M| 900   155     0   110M|  80  2.76 |   0     0 |   0   111M
64.8%  920M  600M| 920   135     0   113M|   6  2.85 |   0     0 |   0   111M
55.3%  920M  594M| 869   134     0   106M|   2  0.85 |   0     0 |   0   111M
66.8%  921M  598M| 933   151     0   114M|   1  1.37 |   0     0 |   0   112M
83.5%  924M  597M| 951   128     0   117M|  47  3.17 |   0     0 |   0   111M
86.6%  928M  598M| 889   146     0   109M|  67  3.10 |   0     0 |   0   111M
61.7%  930M  600M| 916   150     0   112M|  19  2.72 |   0     0 |   0   110M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
59.2%  933M  598M| 885   134     0   108M|   2  0.88 |   0     0 |   0   111M
62.5%  934M  600M| 921   139     0   113M|   2  1.33 |   0     0 |   0   112M
79.2%  936M  595M| 903   142     0   110M|  36  3.14 |   0     0 |   0   111M
89.4%  940M  598M| 902   147     0   110M|  63  3.17 |   0     0 |   0   112M
75.8%  943M  595M| 874   127     0   107M|  34  3.07 |   0     0 |   0   111M
62.5%  946M  598M| 922   141     0   113M|   2  1.16 |   0     0 |   0   111M
56.2%  948M  599M| 937   147     0   116M|   1  0.89 |   0     0 |   0   112M
63.9%  951M  597M| 880   139     0   107M|  17  3.14 |   0     0 |   0   110M
91.2%  955M  600M| 954   141     0   118M|  80  3.11 |   0     0 |   0   112M
77.5%  957M  599M| 884   143     0   107M|  36  3.04 |   0     0 |   0   111M
66.7%  957M  599M| 910   150     0   112M|   2  1.03 |   0     0 |   0   111M
59.0%  958M  596M| 870   110     0   107M|   1  0.99 |   0     0 |   0   112M
58.6%  959M  599M| 945   151     0   116M|   4  2.08 |   0     0 |   0   112M
86.1%  964M  600M| 969   143     0   119M|  81  2.74 |   0     0 |   0   111M
81.3%  968M  597M| 829   141     0   101M|  47  3.25 |   0     0 |   0   112M
70.8%  969M  598M| 930   149     0   114M|   4  2.45 |   0     0 |   0   111M
61.6%  969M  600M| 913   117     0   112M|   1  1.08 |   0     0 |   0   111M
59.1%  970M  597M| 892   139     0   109M|   3  1.77 |   0     0 |   0   112M
77.7%  974M  600M| 997   156     0   122M|  72  2.77 |   0     0 |   0   111M
78.7%  976M  597M| 804   133     0    98M|  56  2.88 |   0     0 |   0   110M
74.8%  977M  599M| 917   127     0   112M|   4  2.58 |   0     0 |   0   112M
67.5%  979M  600M| 922   167     0   113M|   1  0.85 |   0     0 |   0   111M
57.7%  980M  596M| 885   138     0   109M|   3  1.18 |   0     0 |   0   111M
68.5%  984M  597M| 986   128     0   121M|  57  2.45 |   0     0 |   0   111M
76.0%  988M  596M| 858   155     0   105M|  69  2.82 |   0     0 |   0   112M
74.3%  989M  595M| 889   123     0   109M|   7  2.68 |   0     0 |   0   111M
70.6%  990M  598M| 910   152     0   111M|   2  2.94 |   0     0 |   0   111M
64.6%  991M  598M| 920   147     0   113M|   2  0.86 |   0     0 |   0   111M
68.7%  993M  599M| 944   128     0   116M|  45  2.83 |   0     0 |   0   111M
70.2%  996M  599M| 887   130     0   109M|  72  2.61 |   0     0 |   0   111M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
72.8%  999M  598M| 884   159     0   108M|  17  3.16 |   0     0 |   0   111M
73.6%  999M  600M| 906   146     0   111M|   3  2.35 |   0     0 |   0   111M
70.5% 1000M  600M| 927   141     0   114M|   4  3.03 |   0     0 |   0   112M
72.5% 1003M  595M| 900   133     0   110M|  40  2.69 |   0     0 |   0   112M
70.0% 1006M  599M| 918   146     0   113M|  63  2.61 |   0     0 |   0   112M
67.6% 1009M  600M| 908   132     0   110M|  29  2.71 |   0     0 |   0   111M
73.0% 1009M  598M| 896   144     0   111M|   4  3.22 |   0     0 |   0   111M
74.5% 1011M  600M| 900   132     0   110M|   4  2.97 |   0     0 |   0   110M
73.6% 1012M  600M| 923   166     0   113M|  25  3.13 |   0     0 |   0   111M
70.9% 1016M  594M| 893   132     0   109M|  54  2.74 |   0     0 |   0   112M
67.4% 1019M  600M| 916   140     0   112M|  51  2.60 |   0     0 |   0   111M
70.1% 1020M  595M| 884   139     0   108M|  14  3.13 |   0     0 |   0   112M
76.9% 1021M  600M| 939   135     0   115M|  13  3.50 |   0     0 |   0   112M
73.2% 1024M  594M| 858   151     0   105M|  18  3.44 |   0     0 |   0   111M
79.9% 1027M  600M| 996   130     0   122M|  61  2.94 |   0     0 |   0   111M
67.6% 1029M  596M| 866   146     0   107M|  43  2.78 |   0     0 |   0   111M
63.1% 1031M  598M| 924   117     0   114M|  14  3.05 |   0     0 |   0   111M
77.7% 1033M  598M| 900   163     0   110M|  11  3.37 |   0     0 |   0   112M
81.1% 1036M  598M| 901   127     0   110M|  30  3.34 |   0     0 |   0   111M
78.2% 1038M  597M| 912   144     0   112M|  43  2.98 |   0     0 |   0   111M
72.9% 1040M  600M| 943   143     0   116M|  47  2.87 |   0     0 |   0   111M
65.4% 1043M  596M| 855   155     0   105M|  18  2.90 |   0     0 |   0   112M
80.9% 1057M  598M| 934   135     0   115M|  20  2.95 |   0     0 |   0   111M
87.2% 1064M  596M| 909   141     0   113M|  23  3.52 |   0     0 |   0   112M
86.7% 1066M  598M| 922   133     0   112M|  28  3.34 |   0     0 |   0   111M
82.6% 1069M  599M| 923   151     0   113M|  40  3.12 |   0     0 |   0   112M
68.6% 1072M  598M| 899   131     0   110M|  29  3.03 |   0     0 |   0   112M
65.8% 1072M  596M| 895   144     0   110M|  19  2.75 |   0     0 |   0   111M
78.2% 1074M  600M| 946   147     0   116M|  21  3.32 |   0     0 |   0   111M
77.4% 1074M  598M| 890   138     0   109M|  30  3.25 |   0     0 |   0   111M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
81.3% 1076M  599M| 903   135     0   111M|  32  3.23 |   0     0 |   0   112M
70.9% 1077M  596M| 889   148     0   109M|  30  3.08 |   0     0 |   0   110M
65.1% 1078M  599M| 928   138     0   114M|  24  2.80 |   0     0 |   0   112M
62.9% 1079M  594M| 870   135     0   107M|  24  2.84 |   0     0 |   0   111M
81.6% 1080M  598M| 951   134     0   116M|  32  3.00 |   0     0 |   0   112M
81.5% 1083M  599M| 940   153     0   114M|  28  3.22 |   0     0 |   0   111M
77.9% 1085M  599M| 886   123     0   110M|  30  3.17 |   0     0 |   0   112M
65.9% 1086M  600M| 912   155     0   112M|  24  2.80 |   0     0 |   0   111M
64.6% 1087M  594M| 858   138     0   105M|  14  3.01 |   0     0 |   0   111M
71.3% 1088M  599M| 940   128     0   115M|  32  2.94 |   0     0 |   0   111M
78.6% 1090M  599M| 923   152     0   113M|  25  3.39 |   0     0 |   0   112M
79.0% 1091M  597M| 895   132     0   110M|  29  3.30 |   0     0 |   0   111M
75.9% 1092M  598M| 906   154     0   111M|  29  3.02 |   0     0 |   0   113M
64.4% 1094M  600M| 923   144     0   113M|  21  2.80 |   0     0 |   0   110M
63.0% 1095M  597M| 889   131     0   109M|  32  2.74 |   0     0 |   0   111M
72.7% 1098M  598M| 934   145     0   114M|  22  2.90 |   0     0 |   0   112M
79.6% 1100M  594M| 878   134     0   108M|  32  3.31 |   0     0 |   0   112M
79.0% 1102M  599M| 958   144     0   117M|  26  3.12 |   0     0 |   0   112M
69.9% 1103M  595M| 882   139     0   108M|  21  3.06 |   0     0 |   0   112M
74.5% 1115M  598M| 923   138     0   113M|  24  2.80 |   0     0 |   0   112M
74.5% 1125M  600M| 929   150     0   109M|  34  2.86 |   0     0 |   0   111M
90.6% 1128M  596M| 889   115     0   113M|  28  3.24 |   0     0 |   0   112M
97.9% 1131M  598M| 933   147     0   114M|  27  3.61 |   0     0 |   0   111M
87.6% 1132M  599M| 893   142     0   109M|  21  3.37 |   0     0 |   0   111M
78.8% 1135M  599M| 925   132     0   113M|  29  3.07 |   0     0 |   0   111M
68.4% 1136M  599M| 879   165     0   108M|  24  2.86 |   0     0 |   0   111M
79.0% 1138M  593M| 881   134     0   108M|  29  3.11 |   0     0 |   0   111M
83.9% 1139M  597M| 926   141     0   113M|  28  3.33 |   0     0 |   0   112M
79.5% 1141M  600M| 919   140     0   113M|  23  3.39 |   0     0 |   0   111M
73.1% 1142M  598M| 901   129     0   110M|  32  3.10 |   0     0 |   0   111M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
65.1% 1143M  596M| 880   143     0   108M|  22  2.88 |   0     0 |   0   111M
64.9% 1145M  600M| 940   151     0   115M|  23  2.83 |   0     0 |   0   110M
 115% 1149M  595M| 880   126     0   108M|  28  3.50 |   0     0 |   0   111M
 138%  980M  599M| 925   159     0   114M|  27  3.55 |   0     0 |   0   112M
77.6%  981M  594M| 883   139     0   108M|  28  3.33 |   0     0 |   0   111M
70.0%  982M  599M| 946   124     0   116M|  27  3.02 |   0     0 |   0   111M
61.8%  982M  600M| 912   150     0   112M|  23  2.88 |   0     0 |   0   112M
69.1%  982M  598M| 897   146     0   110M|  28  3.09 |   0     0 |   0   110M
