------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 0.0%  761M  256K|   0     0     0     0 |   0     0 |   0     0 |   0     0 
85.1%  761M  300M|3221  0.06     0   395M|  13  0.84 |   0     0 |   0    95M
52.5%  761M  299M| 947  0.84     0   111M|   7  1.58 |   0     0 |   0   111M
66.2%  761M  298M| 947  0.78     0   112M|   7  1.94 |   0     0 |   0   113M
61.0%  761M  300M| 951  0.81     0   112M|   7  1.82 |   0     0 |   0   110M
63.3%  761M  299M| 946  0.80     0   112M|   5  1.53 |   0     0 |   0   112M
52.4%  761M  299M| 950  0.83     0   111M|   7  1.57 |   0     0 |   0   112M
54.5%  761M  299M| 945  0.84     0   111M|   7  1.79 |   0     0 |   0   111M
59.4%  761M  300M| 955  0.80     0   111M|   6  1.49 |   0     0 |   0   111M
64.6%  761M  299M| 949  0.80     0   112M|   7  1.98 |   0     0 |   0   112M
64.0%  761M  299M| 936  0.79     0   110M|   7  2.14 |   0     0 |   0   110M
58.0%  761M  299M| 938  0.81     0   111M|   6  1.54 |   0     0 |   0   111M
55.2%  761M  300M| 957  0.83     0   113M|   7  1.48 |   0     0 |   0   111M
51.1%  761M  300M| 949  0.83     0   112M|   6  1.30 |   0     0 |   0   112M
57.9%  761M  300M| 942  0.82     0   110M|   7  1.85 |   0     0 |   0   111M
67.1%  761M  298M| 934  0.78     0   110M|   6  2.55 |   0     0 |   0   112M
72.0%  761M  300M| 958  0.79     0   113M|   7  1.86 |   0     0 |   0   111M
69.0%  761M  299M| 943  0.82     0   111M|   6  1.52 |   0     0 |   0   112M
58.7%  761M  299M| 937  0.85     0   110M|   7  1.74 |   0     0 |   0   110M
54.9%  761M  299M| 949  0.83     0   112M|   7  1.76 |   0     0 |   0   112M
64.8%  761M  300M| 949  0.79     0   112M|   7  2.07 |   0     0 |   0   111M
63.0%  761M  300M| 941  0.80     0   110M|   6  2.08 |   0     0 |   0   110M
61.7%  762M  299M| 939  0.81     0   110M|   7  1.91 |   0     0 |   0   111M
58.1%  762M  300M| 954  0.80     0   113M|   7  1.75 |   0     0 |   0   111M
48.5%  762M  300M| 941  0.86     0   111M|   7  1.52 |   0     0 |   0   110M
57.0%  762M  299M| 948  0.80     0   112M|   5  1.62 |   0     0 |   0   112M
62.2%  762M  299M| 945  0.78     0   111M|   7  1.81 |   0     0 |   0   111M
62.5%  762M  299M| 952  0.79     0   112M|   7  1.94 |   0     0 |   0   112M
56.5%  762M  299M| 942  0.81     0   111M|   6  1.51 |   0     0 |   0   111M
51.8%  762M  299M| 942  0.85     0   111M|   7  1.66 |   0     0 |   0   111M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
50.9%  762M  299M| 945  0.84     0   111M|   6  1.70 |   0     0 |   0   111M
60.6%  762M  299M| 939  0.81     0   110M|   8  1.79 |   0     0 |   0   111M
61.0%  762M  299M| 949  0.79     0   112M|   7  1.85 |   0     0 |   0   111M
61.8%  762M  299M| 943  0.81     0   111M|   6  1.48 |   0     0 |   0   110M
53.4%  762M  299M| 947  0.83     0   111M|   7  1.69 |   0     0 |   0   112M
34.5%  762M  205M| 193  0.77     0    17M|   6  1.74 |   0     0 |   0   111M
33.3%  762M   94M|  53  0.30     0     0 |   6  1.13 |   0     0 |   0   111M
30.9%  762M  256K|  54  50.3     0     0 |   9  2.32 |   0     0 |   0    94M
78.7%  762M   98M|1388  0.17     0   166M|  14  1.36 |   0     0 |   0    68M
 109%  763M  281M|2418  0.13     0   295M|   7  1.99 |   0     0 |   0   112M
58.0%  763M  300M|1090  0.68     0   129M|   6  1.32 |   0     0 |   0   111M
49.5%  763M  299M| 940  0.85     0   111M|   7  1.66 |   0     0 |   0   111M
54.0%  763M  299M| 948  0.83     0   112M|   6  1.39 |   0     0 |   0   111M
65.2%  763M  299M| 946  0.78     0   111M|   6  1.42 |   0     0 |   0   111M
62.6%  763M  299M| 947  0.81     0   111M|   7  1.82 |   0     0 |   0   111M
60.8%  763M  300M| 949  0.82     0   112M|   8  2.02 |   0     0 |   0   112M
55.2%  764M  300M| 952  0.83     0   111M|   6  1.88 |   0     0 |   0   112M
49.7%  764M  299M| 943  0.84     0   111M|   6  1.28 |   0     0 |   0   111M
58.7%  764M  299M| 947  0.82     0   111M|   7  1.85 |   0     0 |   0   112M
62.9%  764M  299M| 939  0.77     0   111M|   6  1.50 |   0     0 |   0   111M
61.9%  764M  299M| 947  0.80     0   112M|   7  1.92 |   0     0 |   0   111M
54.0%  764M  299M| 946  0.83     0   111M|   7  1.80 |   0     0 |   0   112M
51.8%  764M  300M| 957  0.83     0   113M|   6  1.23 |   0     0 |   0   112M
53.1%  764M  300M| 945  0.86     0   111M|   7  1.59 |   0     0 |   0   111M
58.3%  764M  299M| 940  0.82     0   110M|   7  1.93 |   0     0 |   0   111M
61.0%  765M  299M| 944  0.80     0   111M|   7  1.84 |   0     0 |   0   111M
52.8%  765M  299M| 946  0.83     0   111M|   5  1.40 |   0     0 |   0   110M
50.8%  765M  299M| 945  0.85     0   111M|   7  1.43 |   0     0 |   0   111M
49.5%  765M  299M| 943  0.85     0   111M|   7  1.60 |   0     0 |   0   111M
66.3%  766M  299M| 939  0.82     0   110M|   7  1.95 |   0     0 |   0   111M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
74.9%  766M  299M| 947  0.79     0   112M|   6  1.54 |   0     0 |   0   112M
67.4%  768M  299M| 952  0.81     0   112M|   7  1.96 |   0     0 |   0   111M
56.8%  768M  300M| 955  0.82     0   112M|   7  1.75 |   0     0 |   0   112M
51.6%  770M  299M| 941  0.84     0   111M|   6  1.22 |   0     0 |   0   112M
50.0%  772M  299M| 947  0.85     0   112M|   7  1.49 |   0     0 |   0   111M
59.3%  774M  300M| 955  0.82     0   112M|   8  2.19 |   0     0 |   0   112M
63.7%  776M  299M| 945  0.80     0   110M|   5  1.74 |   0     0 |   0   111M
57.2%  778M  299M| 946  0.81     0   112M|   7  1.93 |   0     0 |   0   111M
54.0%  780M  300M| 955  0.83     0   112M|   6  1.27 |   0     0 |   0   112M
48.3%  782M  299M| 937  0.85     0   110M|   7  1.47 |   0     0 |   0   111M
52.7%  785M  299M| 953  0.83     0   112M|   7  1.70 |   0     0 |   0   112M
63.1%  786M  299M| 948  0.77     0   112M|   7  2.17 |   0     0 |   0   112M
48.8%  788M  229M| 386  0.76     0    41M|   6  1.58 |   0     0 |   0   111M
37.3%  789M  117M|  53  0.33     0     0 |   7  1.68 |   0     0 |   0   111M
29.9%  792M 7680K|  53  0.33     0     0 |   8  1.80 |   0     0 |   0   109M
45.8%  796M  152M|1635  1.71     0   195M|  15  1.14 |   0     0 |   0    51M
85.4%  800M  299M|2108  0.20     0   258M|   6  2.07 |   0     0 |   0   110M
64.9%  802M  300M| 948  0.79     0   110M|   6  1.63 |   0     0 |   0   110M
58.7%  805M  300M| 934  0.82     0   110M|   7  1.80 |   0     0 |   0   110M
54.7%  807M  300M| 935  0.83     0   110M|   6  1.43 |   0     0 |   0   110M
51.9%  810M  300M| 949  0.84     0   112M|   7  1.59 |   0     0 |   0   112M
54.3%  812M  298M| 933  0.85     0   110M|   6  1.74 |   0     0 |   0   111M
64.0%  814M  299M| 957  0.78     0   112M|   7  1.59 |   0     0 |   0   112M
63.9%  817M  300M| 958  0.79     0   113M|   7  1.89 |   0     0 |   0   112M
55.6%  819M  300M| 951  0.81     0   112M|   7  1.64 |   0     0 |   0   112M
69.4%  823M  300M| 951  0.84     0   112M|   6  1.33 |   0     0 |   0   112M
50.2%  824M  299M| 940  0.86     0   111M|   6  1.61 |   0     0 |   0   111M
59.1%  824M  300M| 953  0.79     0   112M|   7  1.79 |   0     0 |   0   112M
65.0%  825M  299M| 944  0.81     0   111M|   7  1.98 |   0     0 |   0   112M
60.8%  825M  299M| 940  0.79     0   111M|   6  1.65 |   0     0 |   0   111M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
59.9%  825M  299M| 957  0.81     0   113M|   7  1.86 |   0     0 |   0   112M
52.3%  826M  300M| 952  0.84     0   112M|   6  1.98 |   0     0 |   0   112M
50.4%  826M  299M| 945  0.85     0   111M|   7  1.33 |   0     0 |   0   112M
58.4%  827M  300M| 950  0.79     0   111M|   7  1.75 |   0     0 |   0   112M
62.2%  827M  298M| 942  0.80     0   110M|   7  1.85 |   0     0 |   0   112M
58.6%  827M  298M| 950  0.80     0   112M|   7  1.94 |   0     0 |   0   112M
52.3%  827M  300M| 948  0.83     0   111M|   5  1.38 |   0     0 |   0   110M
51.3%  827M  299M| 948  0.83     0   112M|   7  1.53 |   0     0 |   0   112M
55.1%  828M  299M| 939  0.83     0   110M|   7  1.89 |   0     0 |   0   111M
63.5%  828M  299M| 949  0.78     0   112M|   6  1.58 |   0     0 |   0   111M
61.9%  828M  299M| 951  0.78     0   112M|   7  1.96 |   0     0 |   0   111M
56.0%  829M  299M| 948  0.82     0   111M|   6  1.96 |   0     0 |   0   111M
64.8%  834M  299M| 949  0.83     0   112M|   8  1.92 |   0     0 |   0   111M
62.3%  835M  299M| 943  0.84     0   111M|   7  1.78 |   0     0 |   0   112M
63.2%  835M  299M| 949  0.83     0   112M|   6  1.48 |   0     0 |   0   111M
63.2%  835M  300M| 940  0.80     0   112M|   6  2.00 |   0     0 |   0   112M
61.1%  836M  300M| 933  0.81     0   111M|   5  2.34 |   0     0 |   0   111M
55.2%  836M  299M| 928  0.83     0   111M|   6  1.88 |   0     0 |   0   112M
49.5%  836M  299M| 934  0.85     0   111M|   5  1.47 |   0     0 |   0   111M
44.4%  836M  253M| 571  0.84     0    66M|   6  1.82 |   0     0 |   0   111M
37.8%  836M  142M|  39  0.40     0     0 |   5  2.59 |   0     0 |   0   111M
38.4%  836M   30M|  40  0.37     0     0 |   6  2.12 |   0     0 |   0   111M
34.0%  836M   70M| 775  3.56     0    91M|  16  1.59 |   0     0 |   0    51M
86.1%  836M  299M|2775  0.15     0   341M|   5  1.53 |   0     0 |   0   112M
51.7%  836M  299M| 934  0.85     0   111M|   5  1.45 |   0     0 |   0   111M
54.8%  836M  300M| 941  0.81     0   112M|   5  2.06 |   0     0 |   0   112M
76.2%  836M  300M| 934  0.79     0   111M|   5  2.04 |   0     0 |   0   112M
74.7%  837M  300M| 933  0.79     0   111M|   6  2.21 |   0     0 |   0   111M
65.9%  837M  299M| 922  0.82     0   110M|   6  1.96 |   0     0 |   0   111M
54.8%  837M  299M| 937  0.84     0   111M|   5  1.46 |   0     0 |   0   112M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
48.9%  837M  299M| 932  0.86     0   112M|   5  1.83 |   0     0 |   0   112M
54.4%  837M  299M| 935  0.81     0   111M|   6  1.85 |   0     0 |   0   111M
64.0%  837M  299M| 932  0.81     0   111M|   7  2.02 |   0     0 |   0   111M
61.7%  837M  300M| 936  0.82     0   111M|   5  1.72 |   0     0 |   0   111M
57.2%  837M  298M| 928  0.83     0   111M|   6  1.99 |   0     0 |   0   112M
50.5%  837M  299M| 932  0.86     0   112M|   5  1.87 |   0     0 |   0   111M
51.3%  837M  298M| 929  0.84     0   110M|   6  1.76 |   0     0 |   0   111M
62.3%  837M  299M| 939  0.81     0   113M|   6  2.09 |   0     0 |   0   111M
61.6%  837M  299M| 932  0.81     0   110M|   5  1.65 |   0     0 |   0   112M
55.8%  837M  299M| 937  0.82     0   112M|   6  1.76 |   0     0 |   0   112M
52.7%  837M  299M| 935  0.83     0   112M|   5  1.81 |   0     0 |   0   111M
48.0%  837M  299M| 932  0.86     0   111M|   5  1.30 |   0     0 |   0   112M
51.3%  837M  299M| 929  0.86     0   111M|   7  1.71 |   0     0 |   0   111M
61.1%  837M  299M| 939  0.81     0   111M|   7  1.96 |   0     0 |   0   111M
58.0%  837M  299M| 928  0.83     0   112M|   6  1.94 |   0     0 |   0   111M
54.2%  837M  299M| 929  0.83     0   110M|   5  2.01 |   0     0 |   0   111M
49.4%  837M  300M| 940  0.84     0   112M|   5  1.32 |   0     0 |   0   111M
49.7%  837M  300M| 935  0.85     0   111M|   6  1.79 |   0     0 |   0   111M
57.1%  837M  299M| 929  0.80     0   111M|   6  1.88 |   0     0 |   0   112M
62.2%  837M  300M| 941  0.80     0   112M|   6  2.13 |   0     0 |   0   111M
59.8%  837M  300M| 934  0.80     0   112M|   4  1.92 |   0     0 |   0   111M
66.3%  837M  300M| 920  0.85     0   110M|   7  2.22 |   0     0 |   0   110M
56.2%  837M  299M| 940  0.84     0   112M|   6  1.73 |   0     0 |   0   113M
53.7%  837M  299M| 920  0.86     0   110M|   5  1.36 |   0     0 |   0   109M
62.6%  837M  300M| 931  0.81     0   113M|   5  2.26 |   0     0 |   0   112M
65.1%  837M  300M| 924  0.81     0   112M|   4  2.74 |   0     0 |   0   112M
54.8%  837M  278M| 744  0.83     0    89M|   4  1.78 |   0     0 |   0   111M
33.9%  837M  166M|  27  0.29     0     0 |   5  1.80 |   0     0 |   0   112M
32.4%  837M   55M|  26  0.30     0     0 |   4  2.09 |   0     0 |   0   111M
12.2%  837M  256K|  28  96.8     0     0 |   6  2.02 |   0     0 |   0    54M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 105%  837M  222M|2628  0.08     0   324M|  13  1.74 |   0     0 |   0   102M
75.0%  837M  300M|1549  0.38     0   189M|   4  2.10 |   0     0 |   0   112M
51.9%  837M  300M| 924  0.83     0   112M|   5  2.01 |   0     0 |   0   112M
55.6%  837M  299M| 919  0.84     0   111M|   4  1.48 |   0     0 |   0   111M
50.9%  837M  299M| 928  0.87     0   112M|   5  1.82 |   0     0 |   0   112M
58.1%  837M  299M| 913  0.83     0   111M|   4  2.63 |   0     0 |   0   110M
60.6%  837M  299M| 904  0.84     0   110M|   4  1.87 |   0     0 |   0   110M
59.8%  837M  299M| 916  0.81     0   110M|   5  2.11 |   0     0 |   0   111M
56.1%  837M  299M| 923  0.83     0   112M|   4  2.40 |   0     0 |   0   111M
51.6%  837M  298M| 915  0.86     0   111M|   4  1.52 |   0     0 |   0   112M
50.5%  837M  300M| 930  0.86     0   112M|   5  1.89 |   0     0 |   0   111M
60.5%  837M  300M| 918  0.82     0   111M|   5  2.54 |   0     0 |   0   111M
58.7%  837M  299M| 914  0.83     0   110M|   4  1.81 |   0     0 |   0   111M
54.2%  837M  299M| 918  0.83     0   111M|   5  2.16 |   0     0 |   0   111M
51.2%  837M  299M| 915  0.85     0   111M|   5  1.93 |   0     0 |   0   111M
