------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 0.0%  262M  256K|   0     0     0     0 |   0     0 |   0     0 |   0     0 
 193%  581M  333M|3308  2.45     0   391M| 146  1.00 |   0     0 |   0    62M
87.0%  649M  405M|1500  10.4     0   184M|   3  0.96 |   0     0 |   0   112M
77.8%  722M  479M|1501  10.4     0   186M|   1  1.00 |   0     0 |   0   112M
84.4%  794M  551M|1486  10.4     0   184M|   2  0.94 |   0     0 |   0   111M
 105%  845M  599M|1297  11.9     0   160M|   2  1.19 |   0     0 |   0   111M
62.8%  846M  594M| 859  17.6     0   107M|   2  1.63 |   0     0 |   0   111M
58.1%  846M  593M| 898  17.1     0   109M|   2  1.06 |   0     0 |   0   111M
62.0%  846M  595M| 923  17.0     0   113M|   2  1.06 |   0     0 |   0   112M
74.0%  852M  600M| 946  17.6     0   116M|   1  1.82 |   0     0 |   0   112M
71.3%  855M  597M| 885  17.4     0   108M|  12  3.02 |   0     0 |   0   111M
72.0%  857M  597M| 908  17.8     0   111M|   7  2.98 |   0     0 |   0   112M
76.2%  857M  595M| 894  16.6     0   110M|   2  1.18 |   0     0 |   0   112M
78.8%  857M  598M| 935  17.3     0   115M|   2  1.16 |   0     0 |   0   112M
76.8%  857M  598M| 899  17.4     0   110M|   2  1.03 |   0     0 |   0   111M
71.2%  857M  600M| 925  17.3     0   114M|   3  2.16 |   0     0 |   0   111M
69.6%  858M  598M| 903  17.4     0   111M|  17  2.71 |   0     0 |   0   112M
68.8%  858M  599M| 912  17.0     0   112M|   1  1.31 |   0     0 |   0   111M
61.9%  858M  599M| 906  17.4     0   111M|   2  1.09 |   0     0 |   0   112M
66.4%  858M  596M| 880  17.2     0   108M|   4  3.24 |   0     0 |   0   111M
67.6%  858M  598M| 923  17.5     0   113M|  10  3.07 |   0     0 |   0   112M
61.5%  858M  597M| 893  16.8     0   110M|   6  3.11 |   0     0 |   0   110M
63.8%  859M  598M| 919  17.5     0   113M|   3  1.87 |   0     0 |   0   111M
65.4%  859M  598M| 906  17.1     0   111M|   2  1.02 |   0     0 |   0   112M
61.0%  859M  597M| 894  18.3     0   110M|   2  1.07 |   0     0 |   0   111M
72.4%  860M  600M| 935  16.7     0   115M|  15  3.51 |   0     0 |   0   111M
67.3%  861M  599M| 902  17.3     0   111M|   4  2.59 |   0     0 |   0   110M
62.7%  862M  600M| 905  17.4     0   111M|   2  2.50 |   0     0 |   0   111M
62.4%  863M  598M| 898  16.8     0   110M|   4  2.35 |   0     0 |   0   112M
65.9%  864M  598M| 900  17.4     0   110M|  11  3.32 |   0     0 |   0   110M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
67.7%  865M  599M| 913  17.5     0   113M|   6  2.96 |   0     0 |   0   111M
65.8%  865M  595M| 869  17.4     0   107M|   1  1.36 |   0     0 |   0   111M
70.1%  866M  597M| 936  17.3     0   115M|   3  2.23 |   0     0 |   0   112M
65.0%  867M  599M| 929  17.2     0   114M|   5  2.83 |   0     0 |   0   112M
67.3%  868M  593M| 862  17.7     0   106M|   6  3.36 |   0     0 |   0   111M
64.3%  869M  599M| 950  17.1     0   117M|  10  2.97 |   0     0 |   0   112M
67.3%  869M  599M| 911  17.2     0   112M|   1  1.24 |   0     0 |   0   111M
67.3%  870M  599M| 895  16.8     0   108M|   4  2.49 |   0     0 |   0   111M
60.9%  872M  599M| 917  17.7     0   113M|   7  2.74 |   0     0 |   0   111M
67.1%  873M  599M| 906  17.2     0   111M|   7  3.29 |   0     0 |   0   111M
64.5%  874M  593M| 868  17.2     0   106M|   7  2.98 |   0     0 |   0   112M
64.1%  874M  598M| 937  17.1     0   116M|   2  2.75 |   0     0 |   0   111M
63.4%  875M  597M| 912  17.0     0   111M|   5  2.63 |   0     0 |   0   112M
67.0%  876M  600M| 924  17.5     0   113M|   9  3.02 |   0     0 |   0   111M
62.5%  877M  598M| 895  17.4     0   110M|   4  3.24 |   0     0 |   0   112M
69.5%  877M  598M| 915  17.6     0   112M|   5  2.84 |   0     0 |   0   112M
68.9%  878M  597M| 898  17.5     0   110M|   6  3.00 |   0     0 |   0   111M
65.6%  879M  596M| 898  16.7     0   110M|   5  2.78 |   0     0 |   0   111M
63.4%  880M  598M| 927  17.4     0   114M|   6  2.92 |   0     0 |   0   112M
65.1%  881M  598M| 902  16.9     0   111M|   5  3.24 |   0     0 |   0   110M
60.8%  882M  598M| 906  17.6     0   111M|   4  2.37 |   0     0 |   0   111M
68.3%  883M  598M| 909  17.8     0   112M|   3  3.23 |   0     0 |   0   112M
68.2%  884M  598M| 907  17.3     0   111M|   7  3.14 |   0     0 |   0   111M
69.5%  886M  597M| 904  16.9     0   111M|   7  3.01 |   0     0 |   0   112M
69.0%  887M  599M| 913  17.7     0   112M|   6  3.33 |   0     0 |   0   112M
59.9%  887M  598M| 911  16.8     0   112M|   3  1.74 |   0     0 |   0   112M
63.7%  888M  598M| 911  17.3     0   112M|   8  2.87 |   0     0 |   0   112M
68.6%  890M  596M| 887  18.0     0   109M|   6  3.40 |   0     0 |   0   111M
75.3%  901M  600M| 934  16.5     0   115M|   4  2.77 |   0     0 |   0   111M
70.2%  904M  597M| 885  17.1     0   109M|   4  3.49 |   0     0 |   0   111M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
71.1%  905M  598M| 906  17.6     0   111M|   3  2.06 |   0     0 |   0   111M
66.4%  907M  597M| 907  17.2     0   111M|   5  3.13 |   0     0 |   0   111M
74.2%  910M  598M| 918  17.3     0   113M|   7  3.10 |   0     0 |   0   111M
67.4%  910M  599M| 918  17.6     0   113M|   4  2.46 |   0     0 |   0   112M
70.2%  911M  600M| 907  17.2     0   111M|   6  3.49 |   0     0 |   0   111M
66.9%  911M  599M| 893  17.2     0   109M|   6  2.87 |   0     0 |   0   111M
61.7%  912M  599M| 916  17.2     0   112M|   7  2.84 |   0     0 |   0   111M
59.1%  913M  599M| 898  17.4     0   110M|   3  1.80 |   0     0 |   0   111M
61.2%  914M  598M| 905  17.4     0   111M|   5  2.50 |   0     0 |   0   112M
66.9%  914M  599M| 914  17.3     0   112M|   4  3.32 |   0     0 |   0   112M
66.3%  914M  599M| 917  17.3     0   112M|   5  2.78 |   0     0 |   0   112M
67.2%  916M  598M| 893  16.8     0   110M|   6  3.39 |   0     0 |   0   111M
62.3%  917M  598M| 898  17.5     0   111M|   4  2.51 |   0     0 |   0   110M
67.2%  917M  594M| 882  17.5     0   108M|   7  2.68 |   0     0 |   0   112M
68.5%  918M  598M| 936  17.2     0   115M|   6  2.98 |   0     0 |   0   111M
68.3%  919M  596M| 896  17.8     0   110M|   6  3.42 |   0     0 |   0   112M
67.9%  920M  596M| 910  16.8     0   112M|   5  2.42 |   0     0 |   0   111M
64.3%  920M  594M| 892  18.4     0   109M|   3  2.70 |   0     0 |   0   112M
61.4%  921M  599M| 957  16.4     0   117M|   8  2.76 |   0     0 |   0   112M
67.6%  922M  599M| 907  16.8     0   111M|   1  1.19 |   0     0 |   0   112M
69.2%  923M  597M| 895  17.2     0   110M|   7  3.13 |   0     0 |   0   112M
67.7%  924M  597M| 904  17.5     0   111M|   4  3.43 |   0     0 |   0   111M
70.7%  925M  600M| 927  17.4     0   114M|   9  3.17 |   0     0 |   0   112M
66.3%  926M  596M| 890  16.9     0   109M|   4  2.30 |   0     0 |   0   111M
62.0%  927M  598M| 924  17.0     0   113M|   4  2.23 |   0     0 |   0   111M
68.7%  928M  598M| 905  17.5     0   111M|   4  3.24 |   0     0 |   0   111M
60.4%  929M  599M| 925  17.6     0   113M|   5  2.03 |   0     0 |   0   112M
65.3%  930M  597M| 892  16.7     0   109M|   7  3.46 |   0     0 |   0   112M
66.6%  930M  598M| 921  17.5     0   113M|   6  2.88 |   0     0 |   0   111M
62.1%  932M  594M| 865  17.4     0   106M|   3  2.95 |   0     0 |   0   110M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
65.7%  933M  597M| 929  17.0     0   114M|   3  2.02 |   0     0 |   0   112M
66.2%  934M  598M| 910  18.1     0   113M|   6  3.22 |   0     0 |   0   110M
68.0%  935M  596M| 895  16.7     0   109M|  11  3.01 |   0     0 |   0   112M
67.5%  936M  600M| 941  17.3     0   115M|   5  2.57 |   0     0 |   0   112M
60.5%  937M  599M| 893  17.2     0   109M|   1  1.15 |   0     0 |   0   111M
61.6%  938M  598M| 901  17.4     0   111M|   4  2.41 |   0     0 |   0   112M
69.3%  939M  599M| 918  17.6     0   113M|   8  3.20 |   0     0 |   0   112M
66.7%  940M  598M| 902  16.8     0   111M|   6  2.73 |   0     0 |   0   111M
66.9%  942M  600M| 922  17.3     0   113M|   6  2.87 |   0     0 |   0   111M
74.6%  953M  594M| 859  17.3     0   105M|   5  3.39 |   0     0 |   0   112M
78.5%  959M  599M| 953  17.1     0   117M|   5  2.81 |   0     0 |   0   112M
77.8%  961M  597M| 897  17.2     0   110M|   6  3.51 |   0     0 |   0   112M
78.9%  963M  598M| 921  17.4     0   113M|   5  2.80 |   0     0 |   0   111M
75.8%  964M  596M| 888  17.5     0   109M|   3  2.05 |   0     0 |   0   111M
74.5%  965M  599M| 928  17.5     0   114M|   5  3.12 |   0     0 |   0   111M
63.6%  966M  598M| 892  17.7     0   109M|   7  2.55 |   0     0 |   0   111M
61.3%  967M  599M| 929  16.9     0   114M|   5  2.95 |   0     0 |   0   112M
65.9%  967M  599M| 904  17.0     0   111M|   5  2.78 |   0     0 |   0   111M
66.3%  968M  596M| 884  18.2     0   109M|   3  1.92 |   0     0 |   0   112M
69.9%  969M  598M| 917  17.1     0   112M|   9  3.51 |   0     0 |   0   111M
73.1%  970M  599M| 934  16.6     0   114M|   7  3.13 |   0     0 |   0   112M
64.8%  972M  600M| 908  16.9     0   112M|   4  3.16 |   0     0 |   0   112M
59.8%  973M  597M| 891  18.2     0   109M|   2  1.10 |   0     0 |   0   111M
69.4%  974M  599M| 920  16.9     0   112M|   5  2.85 |   0     0 |   0   111M
66.8%  974M  599M| 901  17.2     0   111M|   6  3.39 |   0     0 |   0   111M
69.5%  975M  599M| 913  17.2     0   112M|   6  2.80 |   0     0 |   0   111M
68.5%  976M  597M| 896  17.0     0   110M|   6  3.13 |   0     0 |   0   111M
65.9%  976M  600M| 923  17.6     0   113M|   3  2.09 |   0     0 |   0   112M
66.8%  978M  596M| 878  17.1     0   107M|   6  2.80 |   0     0 |   0   111M
69.0%  979M  599M| 936  17.2     0   115M|   9  3.15 |   0     0 |   0   112M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
67.2%  979M  599M| 899  17.4     0   111M|   4  3.02 |   0     0 |   0   111M
67.9%  980M  598M| 901  17.8     0   110M|   5  2.70 |   0     0 |   0   111M
64.7%  981M  597M| 898  16.8     0   110M|   2  2.60 |   0     0 |   0   112M
70.0%  982M  599M| 924  17.7     0   113M|   9  3.16 |   0     0 |   0   111M
69.0%  983M  597M| 888  16.7     0   109M|   4  3.11 |   0     0 |   0   111M
92.5%  986M  597M| 916  17.4     0   112M|   6  2.76 |   0     0 |   0   113M
67.3%  987M  600M| 932  17.4     0   114M|   3  3.25 |   0     0 |   0   111M
64.1%  987M  595M| 876  16.8     0   108M|   5  2.62 |   0     0 |   0   112M
61.4%  987M  597M| 931  17.0     0   114M|   8  2.99 |   0     0 |   0   112M
65.3%  987M  599M| 914  18.0     0   112M|   3  3.26 |   0     0 |   0   110M
67.6%  988M  599M| 904  17.3     0   111M|   7  2.99 |   0     0 |   0   112M
61.5%  988M  597M| 883  17.8     0   108M|   3  2.80 |   0     0 |   0   110M
70.5%  988M  597M| 914  16.3     0   112M|   8  3.22 |   0     0 |   0   111M
68.6%  988M  599M| 923  17.7     0   113M|   3  1.89 |   0     0 |   0   111M
68.1%  989M  597M| 891  17.0     0   109M|   7  3.55 |   0     0 |   0   112M
68.2%  989M  599M| 926  17.4     0   114M|   5  2.56 |   0     0 |   0   111M
66.4%  990M  597M| 889  17.4     0   109M|   4  3.35 |   0     0 |   0   111M
