------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 0.0%  102M    0 |   0     0     0     0 |   0     0 |   0     0 |   0     0 
95.2%  297M  141M|1813  0.15     0   223M|  11  0.92 |   0     0 |   0    82M
 109%  459M  300M|2178  0.16     0   270M|   3  3.15 |   0     0 |   0   112M
64.3%  459M  299M| 907  0.79     0   111M|   4  2.78 |   0     0 |   0   112M
63.2%  461M  299M| 905  0.81     0   111M|   5  2.49 |   0     0 |   0   112M
58.1%  462M  299M| 906  0.82     0   111M|   2  2.33 |   0     0 |   0   111M
50.7%  463M  299M| 913  0.85     0   112M|   4  2.32 |   0     0 |   0   112M
56.1%  464M  299M| 906  0.83     0   111M|   2  2.51 |   0     0 |   0   112M
61.6%  465M  299M| 915  0.80     0   113M|   4  2.68 |   0     0 |   0   111M
61.5%  465M  299M| 909  0.80     0   111M|   3  2.34 |   0     0 |   0   112M
55.5%  466M  300M| 908  0.83     0   112M|   3  2.87 |   0     0 |   0   111M
51.8%  467M  300M| 907  0.86     0   111M|   4  2.06 |   0     0 |   0   111M
49.6%  467M  299M| 910  0.86     0   112M|   3  2.51 |   0     0 |   0   112M
67.2%  473M  299M| 900  0.83     0   111M|   3  2.35 |   0     0 |   0   111M
80.6%  483M  299M| 905  0.80     0   111M|   5  2.61 |   0     0 |   0   111M
75.0%  485M  300M| 910  0.80     0   112M|   3  3.10 |   0     0 |   0   111M
54.1%  486M  300M| 906  0.85     0   111M|   3  1.95 |   0     0 |   0   111M
49.0%  486M  300M| 906  0.86     0   112M|   3  2.58 |   0     0 |   0   111M
57.4%  489M  299M| 905  0.84     0   111M|   4  2.52 |   0     0 |   0   112M
68.1%  491M  299M| 909  0.81     0   112M|   4  2.78 |   0     0 |   0   112M
65.9%  492M  299M| 904  0.81     0   111M|   3  3.31 |   0     0 |   0   111M
61.2%  493M  299M| 913  0.81     0   112M|   3  2.21 |   0     0 |   0   111M
52.3%  494M  299M| 899  0.85     0   111M|   3  2.98 |   0     0 |   0   111M
47.0%  494M  300M| 910  0.85     0   111M|   4  2.14 |   0     0 |   0   112M
54.8%  495M  299M| 907  0.83     0   111M|   5  2.26 |   0     0 |   0   112M
60.1%  496M  298M| 898  0.81     0   110M|   2  2.63 |   0     0 |   0   110M
60.5%  496M  300M| 907  0.80     0   111M|   4  2.45 |   0     0 |   0   111M
57.7%  496M  299M| 901  0.84     0   111M|   3  2.80 |   0     0 |   0   111M
49.8%  497M  300M| 912  0.86     0   111M|   3  1.69 |   0     0 |   0   111M
47.5%  497M  300M| 911  0.86     0   112M|   4  2.13 |   0     0 |   0   112M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
55.2%  499M  300M| 898  0.84     0   110M|   3  2.81 |   0     0 |   0   110M
60.5%  500M  300M| 901  0.81     0   111M|   4  2.54 |   0     0 |   0   111M
60.2%  500M  299M| 891  0.82     0   109M|   2  2.87 |   0     0 |   0   110M
54.4%  501M  299M| 902  0.83     0   111M|   4  2.22 |   0     0 |   0   111M
