------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 0.0% 1172M 8192K|   0     0     0     0 |   0     0 |   0     0 |   0     0 
 2.7% 1172M 8192K|  24  0.71     0     0 |  11  1.24 |   0     0 |   0     0 
14.5% 1108M 8192K|  23  0.74     0     0 |  10  1.34 |   0     0 |   0     0 
 2.6% 1108M 8192K|  24  0.76     0     0 |  11  1.36 |   0     0 |   0     0 
 2.7% 1108M 8192K|  23  0.74     0     0 |  10  1.37 |   0     0 |   0     0 
 3.2% 1108M 8192K|  24  0.80     0     0 |  11  1.43 |   0     0 |   0     0 
 2.3% 1108M 8192K|  24  0.74     0     0 |  11  1.31 |   0     0 |   0     0 
 2.7% 1108M 8192K|  24  0.75     0     0 |  11  1.33 |   0     0 |   0     0 
 2.6% 1108M 8192K|  24  0.75     0     0 |  11  1.35 |   0     0 |   0     0 
 2.9% 1108M 8192K|  25  0.79     0     0 |  12  1.36 |   0     0 |   0     0 
 2.4% 1108M 8192K|  23  0.74     0     0 |  11  1.40 |   0     0 |   0     0 
 3.3% 1108M 8192K|  24  0.73     0     0 |  11  1.30 |   0     0 |   0     0 
 2.8% 1108M 8192K|  24  0.76     0     0 |  11  1.37 |   0     0 |   0     0 
 2.4% 1108M 8192K|  22  0.67     0     0 |   9  1.31 |   0     0 |   0     0 
 2.9% 1108M 8192K|  24  0.77     0     0 |  11  1.40 |   0     0 |   0     0 
 2.5% 1108M 8192K|  23  0.77     0     0 |  10  1.43 |   0     0 |   0     0 
 2.5% 1108M 8192K|  21  0.68     0     0 |   8  1.33 |   0     0 |   0     0 
14.1% 1108M 8192K| 185  1.10     0     0 | 172  1.16 |   0     0 |   0     0 
 124% 1108M   44M| 785  70.6    52M    0 | 647  1.06 |   0     0 |  61M 7424K
 192% 1108M   44M| 888   138    95M    0 | 426  0.76 |   0     0 | 111M   16M
 195% 1108M   46M| 821   150    91M    0 | 312  0.86 |   0     0 | 109M   16M
 198% 1109M   44M| 881   151    96M    0 | 304  0.85 |   0     0 | 111M   17M
 178% 1109M   45M| 908   139    99M    0 | 286  0.78 |   0     0 | 110M   11M
 178% 1109M   46M| 889   138    96M    0 | 246  0.78 |   0     0 | 109M   12M
 168% 1109M   45M| 877   144    96M    0 | 202  0.75 |   0     0 | 110M   15M
 178% 1109M   46M| 856   144    93M    0 | 204  0.83 |   0     0 | 109M   15M
 181% 1109M   45M| 873   147    96M    0 | 166  0.84 |   0     0 | 111M   15M
 182% 1109M   45M| 872   149    95M    0 | 158  0.82 |   0     0 | 109M   14M
 157% 1109M   45M| 865   152    93M    0 | 161  0.73 |   0     0 | 110M   17M
 163% 1109M   45M| 872   143    95M    0 | 142  0.74 |   0     0 | 109M   13M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 170% 1109M   46M| 889   140    97M    0 | 139  0.77 |   0     0 | 110M   13M
 171% 1109M   45M| 855   156    92M    0 | 132  0.81 |   0     0 | 109M   18M
 183% 1109M   45M| 841   154    92M    0 | 119  0.83 |   0     0 | 110M   18M
 178% 1109M   45M| 806   159    86M    0 | 110  0.81 |   0     0 | 108M   21M
 156% 1109M   45M| 883   145    96M    0 | 121  0.74 |   0     0 | 110M   14M
 147% 1109M   45M| 832   144    90M    0 | 111  0.69 |   0     0 | 107M   16M
 158% 1109M   45M| 883   154    95M    0 | 123  0.71 |   0     0 | 111M   16M
 174% 1109M   45M| 864   148    95M    0 | 101  0.84 |   0     0 | 110M   15M
 173% 1109M   46M| 864   147    94M    0 | 109  0.81 |   0     0 | 109M   14M
 182% 1109M   45M| 859   148    93M    0 | 107  0.78 |   0     0 | 109M   17M
 161% 1109M   46M| 869   148    95M    0 |  94  0.72 |   0     0 | 109M   13M
 159% 1109M   45M| 899   142    97M    0 | 109  0.71 |   0     0 | 110M   12M
 172% 1109M   46M| 822   149    89M    0 |  90  0.76 |   0     0 | 109M   18M
 195% 1109M   45M| 929   143   101M    0 | 111  0.80 |   0     0 | 112M   12M
 182% 1109M   45M| 899   139    98M    0 |  98  0.82 |   0     0 | 110M   12M
 176% 1109M   46M| 839   154    92M    0 |  89  0.78 |   0     0 | 110M   16M
 172% 1109M   47M| 883   145    95M    0 | 109  0.72 |   0     0 | 110M   14M
 158% 1109M   47M| 838   153    91M    0 |  99  0.72 |   0     0 | 109M   18M
 178% 1109M   47M| 861   144    94M    0 |  93  0.78 |   0     0 | 110M   16M
 188% 1109M   44M| 888   150    97M    0 | 100  0.80 |   0     0 | 110M   16M
 181% 1109M   45M| 870   143    94M    0 | 101  0.78 |   0     0 | 109M   14M
 158% 1109M   46M| 850   151    92M    0 | 104  0.71 |   0     0 | 109M   16M
 162% 1109M   45M| 865   149    94M    0 |  97  0.69 |   0     0 | 109M   16M
 170% 1109M   45M| 867   150    93M    0 | 107  0.76 |   0     0 | 110M   16M
 186% 1109M   45M| 878   138    97M    0 |  86  0.84 |   0     0 | 110M   13M
 178% 1109M   46M| 869   148    95M    0 |  91  0.81 |   0     0 | 110M   14M
 175% 1110M   46M| 850   153    92M    0 |  95  0.80 |   0     0 | 109M   17M
 161% 1110M   46M| 873   146    94M    0 | 111  0.70 |   0     0 | 109M   15M
 153% 1111M   47M| 878   139    96M    0 |  91  0.68 |   0     0 | 109M   12M
 177% 1113M   46M| 871   149    94M    0 | 105  0.80 |   0     0 | 110M   16M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 187% 1114M   47M| 867   145    95M    0 |  90  0.83 |   0     0 | 111M   15M
 181% 1116M   45M| 869   156    93M    0 | 107  0.80 |   0     0 | 110M   17M
 184% 1118M   42M| 916   136   100M    0 |  98  0.74 |   0     0 | 110M   12M
 167% 1120M   42M| 958   136   104M    0 | 113  0.69 |   0     0 | 110M 6144K
 155% 1123M   43M| 914   132   102M    0 |  89  0.68 |   0     0 | 110M 7680K
 196% 1126M   41M| 947   139   104M    0 |  99  0.75 |   0     0 | 111M 8192K
 192% 1129M   41M| 970   136   107M    0 | 103  0.78 |   0     0 | 111M 5376K
 185% 1132M   40M| 966   128   106M    0 |  98  0.72 |   0     0 | 110M 4352K
 156% 1136M   41M| 971   136   108M    0 |  98  0.64 |   0     0 | 111M 2816K
 166% 1140M   41M| 974   131   107M    0 | 100  0.70 |   0     0 | 110M 2560K
 172% 1143M   40M| 997   133   110M    0 | 106  0.70 |   0     0 | 112M 2560K
 183% 1146M   40M| 977   123   109M    0 |  90  0.78 |   0     0 | 112M 3072K
 180% 1148M   41M| 988   132   108M    0 | 107  0.78 |   0     0 | 111M 2304K
 177% 1151M   40M| 970   138   107M    0 | 100  0.71 |   0     0 | 110M 4352K
 166% 1155M   40M| 988   131   108M    0 | 106  0.69 |   0     0 | 111M 2304K
 158% 1160M   40M| 956   127   105M    0 |  98  0.69 |   0     0 | 110M 4608K
 173% 1164M   40M|1005   131   110M    0 | 106  0.74 |   0     0 | 112M 1536K
 188% 1166M   40M| 980   134   108M    0 | 100  0.77 |   0     0 | 112M 3840K
 144% 1169M 9344K| 886  99.8    70M    0 |  47  0.77 |   0     0 |  89M   18M
51.1% 1170M 9472K|  15  0.34     0     0 |   2  0.87 |   0     0 |  48M   48M
56.8% 1175M 8192K| 281  1.11     0     0 | 255  1.19 |   0     0 |  19M   20M
 225% 1294M  593M|5480  11.6     0   664M| 141  1.07 |   0     0 |   0    76M
 184% 1326M  600M| 959   141     0   116M| 625  8.72 |   0     0 |   0   112M
 174% 1344M  594M| 889   133     0   107M| 415  3.00 |   0     0 |   0   112M
 155% 1362M  593M| 909   143     0   110M| 417  2.57 |   0     0 |   0   112M
