------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 0.0% 1647M 8192K|   0     0     0     0 |   0     0 |   0     0 |   0     0 
75.9% 1648M   42M| 890  3.89  3712K   41M| 689  1.08 |   0     0 |4992K   26M
 245% 1654M   54M|1300  99.6    74M   64M| 702  1.80 |   0     0 |  88M   83M
 249% 1656M   55M|1368  90.4    75M   68M| 742  1.70 |   0     0 |  90M   82M
 229% 1659M   56M|1418  93.0    77M   72M| 759  1.55 |   0     0 |  90M   84M
 235% 1660M   58M|1404  91.2    76M   72M| 737  1.63 |   0     0 |  90M   83M
 234% 1661M   56M|1383  93.2    71M   74M| 763  1.68 |   0     0 |  86M   90M
 244% 1663M   54M|1397  89.6    74M   73M| 749  1.72 |   0     0 |  87M   87M
 304% 1663M   54M|1405  88.3    74M   73M| 762  1.84 |   0     0 |  88M   89M
 234% 1663M   58M|1441  88.5    74M   77M| 764  1.72 |   0     0 |  88M   86M
 209% 1663M   52M|1382  93.5    72M   72M| 783  1.45 |   0     0 |  87M   93M
 244% 1663M   56M|1523  90.1    76M   84M| 816  1.67 |   0     0 |  88M   93M
 221% 1663M   54M|1394  88.5    75M   70M| 754  1.58 |   0     0 |  86M   82M
 243% 1663M   53M|1462  88.5    77M   78M| 793  1.75 |   0     0 |  90M   90M
 256% 1664M   59M|1467  83.2    77M   78M| 765  1.80 |   0     0 |  91M   86M
 240% 1664M   55M|1472  87.8    78M   76M| 817  1.70 |   0     0 |  89M   92M
 202% 1664M   54M|1391  87.9    76M   69M| 748  1.41 |   0     0 |  89M   83M
 215% 1664M   57M|1465  88.3    75M   79M| 775  1.49 |   0     0 |  87M   89M
 214% 1664M   51M|1387  92.3    74M   70M| 777  1.52 |   0     0 |  88M   88M
 231% 1664M   53M|1365  93.3    73M   69M| 731  1.73 |   0     0 |  86M   81M
 240% 1664M   51M|1373  94.4    76M   68M| 748  1.71 |   0     0 |  91M   85M
 234% 1664M   53M|1453  91.2    74M   78M| 776  1.62 |   0     0 |  87M   90M
 225% 1665M   52M|1503  86.0    78M   82M| 794  1.53 |   0     0 |  90M   93M
 239% 1666M   52M|1531  83.7    77M   84M| 837  1.64 |   0     0 |  88M   95M
 232% 1666M   52M|1492  85.1    80M   77M| 814  1.53 |   0     0 |  92M   88M
 262% 1666M   48M|1480  85.7    81M   76M| 803  1.84 |   0     0 |  91M   91M
 252% 1666M   58M|1561  82.8    76M   89M| 808  1.75 |   0     0 |  87M   90M
 215% 1666M   57M|1395  86.7    75M   72M| 760  1.49 |   0     0 |  88M   86M
 233% 1666M   50M|1434  92.3    78M   73M| 809  1.59 |   0     0 |  88M   90M
 232% 1666M   50M|1492  84.8    79M   78M| 807  1.57 |   0     0 |  92M   89M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 240% 1666M   53M|1511  86.8    77M   82M| 782  1.68 |   0     0 |  89M   92M
 241% 1666M   54M|1404  87.0    75M   73M| 766  1.81 |   0     0 |  87M   84M
 236% 1666M   51M|1423  92.1    78M   72M| 771  1.66 |   0     0 |  91M   89M
 209% 1666M   58M|1495  87.0    80M   78M| 778  1.37 |   0     0 |  92M   83M
 233% 1666M   54M|1428  88.6    76M   72M| 786  1.54 |   0     0 |  91M   89M
 216% 1666M   50M|1438  84.7    71M   81M| 785  1.60 |   0     0 |  82M   97M
 241% 1666M   50M|1402  96.0    70M   77M| 774  1.90 |   0     0 |  82M   90M
 255% 1666M   50M|1445  87.7    78M   74M| 766  1.76 |   0     0 |  91M   87M
 238% 1666M   55M|1493  84.2    76M   82M| 781  1.66 |   0     0 |  88M   88M
 212% 1666M   53M|1391  94.1    78M   68M| 758  1.46 |   0     0 |  92M   83M
 287% 1673M   60M|1454  85.2    77M   76M| 763  1.69 |   0     0 |  91M   84M
 232% 1677M   49M|1438  86.2    75M   77M| 814  1.71 |   0     0 |  88M  100M
 245% 1680M   60M|1428  89.5    75M   75M| 718  1.79 |   0     0 |  89M   79M
 252% 1682M   58M|1491  85.6    75M   81M| 819  1.84 |   0     0 |  87M   95M
 221% 1683M   52M|1360  97.4    71M   70M| 767  1.61 |   0     0 |  84M   88M
 298%  949M   52M|1476  86.0    78M   77M| 792  1.57 |   0     0 |  90M   89M
 273%  552M   51M|1440  90.1    77M   75M| 775  1.73 |   0     0 |  89M   87M
 255%  552M   59M|1520  86.0    80M   81M| 771  1.71 |   0     0 |  91M   85M
 259%  552M   53M|1460  82.0    74M   79M| 803  1.90 |   0     0 |  86M   95M
 282%  524M   49M|1471  90.9    79M   75M| 823  1.81 |   0     0 |  90M   91M
 217%  524M   53M|1427  89.4    80M   72M| 746  1.39 |   0     0 |  93M   82M
 215%  524M   52M|1452  90.0    76M   77M| 781  1.59 |   0     0 |  87M   90M
 247%  524M   52M|1482  83.6    80M   77M| 789  1.65 |   0     0 |  92M   88M
 257%  524M   50M|1414  90.2    80M   69M| 774  1.79 |   0     0 |  94M   86M
 284%  517M   50M|1415  88.3    78M   68M| 770  1.78 |   0     0 |  93M   84M
 245%  517M   52M|1405  93.5    76M   71M| 748  1.63 |   0     0 |  92M   84M
 223%  517M   53M|1365  93.2    82M   61M| 720  1.41 |   0     0 |  97M   76M
 209%  517M   57M|1360  91.0    76M   68M| 714  1.32 |   0     0 |  93M   81M
 229%  517M   59M|1366  94.8    70M   73M| 725  1.68 |   0     0 |  86M   87M
 273%  518M   53M|1405  93.4    74M   74M| 770  1.87 |   0     0 |  88M   94M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 252%  518M   56M|1434  89.7    78M   74M| 747  1.72 |   0     0 |  90M   83M
 220%  518M   23M|1393  93.0    78M   52M| 658  1.61 |   0     0 |  95M   80M
