------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 0.0%  492M 8192K|   0     0     0     0 |   0     0 |   0     0 |   0     0 
 154%  780M  344M|3292  1.64     0   353M| 358  1.32 |   0     0 |   0    13M
 280% 1065M  595M|2881  36.3     0   356M|  85  10.9 |   0     0 |   0   109M
 201% 1084M  600M|1017   138     0   118M| 768  6.77 |   0     0 |   0   111M
 160% 1104M  597M| 949   128     0   109M| 419  2.71 |   0     0 |   0   112M
 141% 1125M  600M| 984   134     0   114M| 419  2.34 |   0     0 |   0   112M
 166% 1146M  597M| 941   132     0   108M| 444  2.67 |   0     0 |   0   112M
 184% 1169M  600M|1007   136     0   117M| 529  2.71 |   0     0 |   0   112M
 194% 1194M  598M| 943   122     0   109M| 539  2.96 |   0     0 |   0   112M
 179% 1215M  594M| 928   139     0   107M| 447  2.97 |   0     0 |   0   111M
 154% 1238M  598M|1002   131     0   116M| 452  2.42 |   0     0 |   0   112M
 163% 1260M  594M| 930   135     0   107M| 455  2.58 |   0     0 |   0   111M
 164% 1280M  598M| 992   137     0   115M| 448  2.67 |   0     0 |   0   111M
 179% 1303M  596M| 970   121     0   112M| 457  2.93 |   0     0 |   0   111M
 288% 1330M  599M| 970   139     0   112M| 448  3.13 |   0     0 |   0   112M
 170% 1332M  597M| 963   125     0   111M| 451  2.81 |   0     0 |   0   112M
 153% 1332M  598M| 962   138     0   111M| 446  2.46 |   0     0 |   0   111M
 147% 1332M  599M| 978   121     0   113M| 458  2.37 |   0     0 |   0   111M
 168% 1336M  599M| 960   140     0   111M| 451  2.65 |   0     0 |   0   111M
 185% 1340M  596M| 944   141     0   109M| 459  2.99 |   0     0 |   0   112M
 181% 1345M  600M| 991   123     0   111M| 452  2.94 |   0     0 |   0   112M
 160% 1348M  599M| 953   131     0   113M| 453  2.58 |   0     0 |   0   111M
 140% 1351M  590M| 901   146     0   103M| 450  2.26 |   0     0 |   0   111M
 163% 1352M  598M|1006   123     0   118M| 449  2.58 |   0     0 |   0   111M
 174% 1353M  597M| 938   142     0   110M| 450  2.83 |   0     0 |   0   112M
 182% 1354M  599M|1004   129     0   117M| 451  2.94 |   0     0 |   0   111M
 175% 1354M  592M| 884   135     0   103M| 454  2.92 |   0     0 |   0   112M
 151% 1357M  599M| 997   130     0   117M| 454  2.42 |   0     0 |   0   111M
 150% 1366M  595M| 933   142     0   109M| 449  2.42 |   0     0 |   0   112M
 163% 1379M  600M| 979   131     0   114M| 455  2.62 |   0     0 |   0   111M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 175% 1390M  596M| 934   133     0   110M| 445  2.90 |   0     0 |   0   112M
