------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 0.0%  510M  256K|   0     0     0     0 |   0     0 |   0     0 |   0     0 
93.6%  515M  223M|2587  0.11     0   319M|  11  0.94 |   0     0 |   0    96M
87.4%  520M  300M|1541  0.39     0   190M|   5  2.28 |   0     0 |   0   113M
62.8%  520M  300M| 922  0.80     0   112M|   3  2.25 |   0     0 |   0   111M
62.0%  520M  300M| 921  0.80     0   112M|   5  2.58 |   0     0 |   0   112M
62.4%  521M  300M| 925  0.81     0   112M|   5  2.44 |   0     0 |   0   112M
55.3%  521M  299M| 908  0.83     0   110M|   5  2.33 |   0     0 |   0   111M
50.8%  522M  299M| 925  0.86     0   112M|   5  1.89 |   0     0 |   0   111M
59.8%  522M  300M| 925  0.82     0   112M|   5  2.18 |   0     0 |   0   112M
62.8%  522M  300M| 918  0.81     0   111M|   3  2.33 |   0     0 |   0   111M
63.8%  522M  300M| 915  0.80     0   111M|   5  2.47 |   0     0 |   0   111M
57.8%  523M  299M| 916  0.83     0   111M|   5  2.04 |   0     0 |   0   111M
50.3%  523M  298M| 916  0.85     0   111M|   4  1.55 |   0     0 |   0   112M
51.1%  524M  300M| 924  0.86     0   112M|   4  2.26 |   0     0 |   0   110M
61.3%  524M  300M| 919  0.82     0   111M|   5  2.49 |   0     0 |   0   111M
63.1%  524M  299M| 913  0.81     0   111M|   5  2.37 |   0     0 |   0   111M
67.4%  525M  298M| 910  0.81     0   110M|   5  2.81 |   0     0 |   0   111M
68.9%  527M  300M| 925  0.81     0   112M|   4  1.83 |   0     0 |   0   111M
58.3%  527M  299M| 916  0.87     0   111M|   5  2.12 |   0     0 |   0   111M
58.5%  527M  300M| 915  0.84     0   111M|   4  2.59 |   0     0 |   0   111M
67.0%  527M  300M| 915  0.80     0   111M|   4  1.91 |   0     0 |   0   111M
60.4%  527M  300M| 917  0.82     0   111M|   5  2.40 |   0     0 |   0   111M
59.0%  527M  300M| 921  0.82     0   112M|   4  1.86 |   0     0 |   0   112M
55.2%  527M  300M| 910  0.85     0   110M|   4  2.38 |   0     0 |   0   110M
47.0%  527M  299M| 913  0.89     0   111M|   5  1.79 |   0     0 |   0   112M
59.1%  527M  299M| 919  0.83     0   111M|   4  1.84 |   0     0 |   0   112M
61.8%  528M  300M| 920  0.80     0   112M|   5  2.65 |   0     0 |   0   110M
60.4%  528M  299M| 907  0.82     0   110M|   5  2.60 |   0     0 |   0   110M
59.3%  529M  300M| 911  0.82     0   110M|   5  2.20 |   0     0 |   0   110M
51.3%  529M  299M| 912  0.85     0   111M|   3  1.79 |   0     0 |   0   111M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
48.3%  530M  300M| 923  0.85     0   112M|   5  1.91 |   0     0 |   0   111M
58.0%  531M  300M| 921  0.82     0   112M|   5  2.33 |   0     0 |   0   112M
62.4%  532M  299M| 912  0.82     0   110M|   4  2.02 |   0     0 |   0   111M
61.1%  532M  299M| 922  0.80     0   112M|   4  2.63 |   0     0 |   0   111M
53.6%  534M  300M| 920  0.84     0   112M|   5  2.04 |   0     0 |   0   111M
34.6%  535M  205M| 156  0.83     0    16M|   5  1.84 |   0     0 |   0   110M
35.0%  535M   94M|  24  0.33     0     0 |   5  2.31 |   0     0 |   0   111M
27.8%  536M  256K|  26   104     0     0 |   6  2.61 |   0     0 |   0    93M
39.8%  540M  768K| 285  5.62    31M    0 |   9  1.05 |   0     0 |  31M    0 
79.3%  542M  640K| 564  6.01    66M    0 |   6  1.07 |   0     0 |  66M    0 
70.9%  545M  768K| 560  5.99    67M    0 |   5  1.04 |   0     0 |  67M    0 
68.1%  547M  768K| 581  5.85    68M    0 |   6  0.88 |   0     0 |  68M    0 
72.6%  550M  768K| 554  6.04    65M    0 |   8  0.97 |   0     0 |  66M    0 
75.6%  552M  768K| 574  5.89    68M    0 |   5  1.07 |   0     0 |  68M    0 
76.5%  554M  768K| 555  6.03    66M    0 |   6  1.08 |   0     0 |  66M    0 
79.0%  556M  768K| 590  5.77    70M    0 |   6  0.98 |   0     0 |  70M    0 
66.3%  560M  768K| 585  5.84    69M    0 |   5  0.93 |   0     0 |  69M    0 
67.4%  562M  768K| 579  5.83    68M    0 |   9  1.07 |   0     0 |  68M    0 
76.5%  564M  768K| 589  5.75    70M    0 |   8  1.10 |   0     0 |  70M    0 
78.5%  567M  768K| 588  5.79    69M    0 |   5  1.09 |   0     0 |  70M    0 
79.0%  570M  768K| 586  5.79    69M    0 |   6  1.05 |   0     0 |  69M    0 
73.7%  571M  768K| 577  5.89    68M    0 |   6  1.02 |   0     0 |  68M    0 
65.5%  574M  768K| 572  5.94    67M    0 |   6  0.94 |   0     0 |  67M    0 
74.7%  576M  768K| 582  5.80    69M    0 |   5  1.08 |   0     0 |  69M    0 
79.5%  578M  768K| 583  5.83    69M    0 |   6  0.99 |   0     0 |  69M    0 
81.0%  582M  768K| 568  5.93    67M    0 |   6  1.17 |   0     0 |  67M    0 
78.8%  584M  768K| 574  5.91    67M    0 |   5  1.07 |   0     0 |  68M    0 
70.0%  586M  768K| 573  5.91    68M    0 |   7  1.08 |   0     0 |  68M    0 
72.1%  589M  768K| 568  5.94    67M    0 |   6  0.94 |   0     0 |  67M    0 
78.4%  591M  768K| 576  5.88    68M    0 |   5  1.04 |   0     0 |  68M    0 
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
78.2%  594M  768K| 583  5.83    69M    0 |   8  1.04 |   0     0 |  69M    0 
76.7%  596M  640K| 589  5.78    70M    0 |   6  1.01 |   0     0 |  70M    0 
