------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 0.0%  690M  256K|   0     0     0     0 |   0     0 |   0     0 |   0     0 
92.1%  702M  120M|1669  0.16     0   202M|  13  0.97 |   0     0 |   0    82M
88.6%  707M  299M|2372  0.18     0   292M|   6  1.91 |   0     0 |   0   112M
53.6%  710M  300M| 937  0.85     0   111M|   5  1.32 |   0     0 |   0   112M
64.3%  713M  298M| 923  0.83     0   110M|   5  2.42 |   0     0 |   0   111M
74.1%  716M  299M| 944  0.79     0   112M|   5  1.64 |   0     0 |   0   112M
69.5%  719M  299M| 938  0.80     0   112M|   6  2.24 |   0     0 |   0   112M
68.1%  721M  299M| 933  0.82     0   111M|   6  2.02 |   0     0 |   0   112M
54.3%  722M  299M| 927  0.83     0   111M|   7  1.87 |   0     0 |   0   111M
48.2%  723M  299M| 933  0.87     0   111M|   4  1.26 |   0     0 |   0   111M
60.8%  725M  299M| 942  0.81     0   112M|   6  2.00 |   0     0 |   0   112M
65.5%  727M  300M| 940  0.79     0   112M|   6  2.04 |   0     0 |   0   112M
62.5%  729M  299M| 928  0.81     0   111M|   6  2.01 |   0     0 |   0   111M
58.3%  731M  300M| 930  0.82     0   111M|   5  1.71 |   0     0 |   0   110M
50.9%  732M  299M| 927  0.85     0   111M|   5  1.93 |   0     0 |   0   111M
50.2%  734M  300M| 936  0.85     0   112M|   6  1.69 |   0     0 |   0   111M
60.9%  736M  299M| 929  0.81     0   111M|   5  1.51 |   0     0 |   0   111M
61.8%  737M  300M| 939  0.79     0   112M|   6  2.11 |   0     0 |   0   111M
61.5%  739M  299M| 926  0.81     0   110M|   7  2.07 |   0     0 |   0   111M
57.0%  742M  299M| 931  0.82     0   111M|   5  2.14 |   0     0 |   0   112M
49.1%  743M  300M| 942  0.85     0   112M|   5  1.46 |   0     0 |   0   111M
53.4%  746M  300M| 938  0.82     0   112M|   6  1.78 |   0     0 |   0   112M
59.0%  747M  299M| 938  0.80     0   112M|   6  2.11 |   0     0 |   0   113M
