Linux 5.15.0-181-generic (tikv-node) 	07/10/26 	_x86_64_	(64 CPU)

20:36:10      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
20:36:11        0   4159567   14.00    8.00    0.00    0.00   22.00    18  juicefs.v1.3.1
20:36:12        0   4159567   83.00   93.00    0.00    0.00  176.00    18  juicefs.v1.3.1
20:36:13        0   4159567   78.00   74.00    0.00    0.00  152.00    12  juicefs.v1.3.1
20:36:14        0   4159567   77.00   85.00    0.00    0.00  162.00    12  juicefs.v1.3.1
20:36:15        0   4159567   79.00   66.00    0.00    0.00  145.00    18  juicefs.v1.3.1
20:36:16        0   4159567   76.00   79.00    0.00    0.00  155.00    18  juicefs.v1.3.1
20:36:17        0   4159567   72.00   90.00    0.00    0.00  162.00    51  juicefs.v1.3.1
20:36:18        0   4159567   83.00   71.00    0.00    0.00  154.00    51  juicefs.v1.3.1
20:36:19        0   4159567   70.00   71.00    0.00    0.00  141.00    53  juicefs.v1.3.1
20:36:20        0   4159567   67.00   77.00    0.00    0.00  144.00    53  juicefs.v1.3.1
20:36:21        0   4159567   67.00   84.00    0.00    0.00  151.00    55  juicefs.v1.3.1
20:36:22        0   4159567   77.00   77.00    0.00    0.00  154.00     4  juicefs.v1.3.1
20:36:23        0   4159567   71.00   75.00    0.00    0.00  146.00     6  juicefs.v1.3.1
20:36:24        0   4159567   76.00   63.00    0.00    0.00  139.00     6  juicefs.v1.3.1
20:36:25        0   4159567   78.00   71.00    0.00    0.00  149.00     6  juicefs.v1.3.1
20:36:26        0   4159567   68.00   62.00    0.00    0.00  130.00    59  juicefs.v1.3.1
20:36:27        0   4159567   61.00   68.00    0.00    0.00  129.00    32  juicefs.v1.3.1
20:36:28        0   4159567   76.00   73.00    0.00    0.00  149.00    32  juicefs.v1.3.1
20:36:29        0   4159567   69.00   69.00    0.00    0.00  138.00    32  juicefs.v1.3.1
20:36:30        0   4159567   64.00   68.00    0.00    0.00  132.00    30  juicefs.v1.3.1
20:36:31        0   4159567   69.00   75.00    0.00    0.00  144.00    30  juicefs.v1.3.1
20:36:32        0   4159567   69.00   67.00    0.00    0.00  136.00    40  juicefs.v1.3.1
20:36:33        0   4159567   67.00   81.00    0.00    0.00  148.00    40  juicefs.v1.3.1
20:36:34        0   4159567   74.00   70.00    0.00    0.00  144.00    40  juicefs.v1.3.1
20:36:35        0   4159567   70.00   73.00    0.00    0.00  143.00    40  juicefs.v1.3.1
20:36:36        0   4159567   67.00   74.00    0.00    0.00  141.00    32  juicefs.v1.3.1
20:36:37        0   4159567   66.00   75.00    0.00    0.00  141.00    38  juicefs.v1.3.1
20:36:38        0   4159567   58.00   63.00    0.00    0.00  121.00    40  juicefs.v1.3.1
20:36:39        0   4159567   68.00   80.00    0.00    0.00  148.00    36  juicefs.v1.3.1
20:36:40        0   4159567   68.00   79.00    0.00    0.00  147.00    40  juicefs.v1.3.1
20:36:41        0   4159567   56.00   71.00    0.00    0.00  127.00    40  juicefs.v1.3.1
20:36:42        0   4159567   63.00   73.00    0.00    0.00  136.00    40  juicefs.v1.3.1
20:36:43        0   4159567   74.00   65.00    0.00    0.00  139.00    36  juicefs.v1.3.1
20:36:44        0   4159567   65.00   79.00    0.00    0.00  144.00    40  juicefs.v1.3.1
20:36:45        0   4159567   67.00   80.00    0.00    0.00  147.00    40  juicefs.v1.3.1
20:36:46        0   4159567   71.00   73.00    0.00    0.00  144.00    40  juicefs.v1.3.1
20:36:47        0   4159567   69.00   73.00    0.00    0.00  142.00    40  juicefs.v1.3.1
20:36:48        0   4159567   73.00   70.00    0.00    0.00  143.00    40  juicefs.v1.3.1
20:36:49        0   4159567   71.00   69.00    0.00    0.00  140.00    40  juicefs.v1.3.1
20:36:50        0   4159567   73.00   81.00    0.00    0.00  154.00    40  juicefs.v1.3.1
20:36:51        0   4159567   74.00   80.00    0.00    0.00  154.00    42  juicefs.v1.3.1
20:36:52        0   4159567   70.00   66.00    0.00    0.00  136.00    42  juicefs.v1.3.1
20:36:53        0   4159567   61.00   72.00    0.00    0.00  133.00    42  juicefs.v1.3.1
20:36:54        0   4159567   57.00   64.00    0.00    0.00  121.00    42  juicefs.v1.3.1
20:36:55        0   4159567   59.00   71.00    0.00    0.00  130.00    42  juicefs.v1.3.1
20:36:56        0   4159567   63.00   76.00    0.00    0.00  139.00    40  juicefs.v1.3.1
20:36:57        0   4159567   68.00   79.00    0.00    0.00  147.00    58  juicefs.v1.3.1
20:36:58        0   4159567   61.00   74.00    0.00    0.00  135.00    58  juicefs.v1.3.1
20:36:59        0   4159567   76.00   71.00    0.00    0.00  147.00    12  juicefs.v1.3.1
20:37:00        0   4159567   61.00   79.00    0.00    0.00  140.00    12  juicefs.v1.3.1
20:37:01        0   4159567   66.00   78.00    0.00    0.00  144.00    12  juicefs.v1.3.1
20:37:02        0   4159567   70.00   77.00    0.00    0.00  147.00    12  juicefs.v1.3.1
20:37:03        0   4159567   70.00   63.00    0.00    0.00  133.00    12  juicefs.v1.3.1
20:37:04        0   4159567   73.00   65.00    0.00    0.00  138.00     5  juicefs.v1.3.1
20:37:05        0   4159567   71.00   72.00    0.00    0.00  143.00     4  juicefs.v1.3.1
20:37:06        0   4159567   71.00   69.00    0.00    0.00  140.00    12  juicefs.v1.3.1
20:37:07        0   4159567   68.00   79.00    0.00    0.00  147.00    12  juicefs.v1.3.1
20:37:08        0   4159567   58.00   88.00    0.00    0.00  146.00    12  juicefs.v1.3.1
20:37:09        0   4159567   64.00   69.00    0.00    0.00  133.00    12  juicefs.v1.3.1
