Linux 5.15.0-181-generic (tikv-node) 	07/10/26 	_x86_64_	(64 CPU)

20:34:57      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
20:34:58        0   4159567   57.00   51.00    0.00    0.00  108.00    32  juicefs.v1.3.1
20:34:59        0   4159567  127.00   91.00    0.00    0.00  218.00    32  juicefs.v1.3.1
20:35:00        0   4159567  142.00  106.00    0.00    0.00  248.00     4  juicefs.v1.3.1
20:35:01        0   4159567   88.00   83.00    0.00    0.00  171.00    24  juicefs.v1.3.1
20:35:02        0   4159567  116.00   81.00    0.00    0.00  197.00    24  juicefs.v1.3.1
20:35:03        0   4159567  110.00   86.00    0.00    0.00  196.00    24  juicefs.v1.3.1
20:35:04        0   4159567  102.00   84.00    0.00    0.00  186.00    24  juicefs.v1.3.1
20:35:05        0   4159567  116.00   99.00    0.00    0.00  215.00    22  juicefs.v1.3.1
20:35:06        0   4159567  113.00   83.00    0.00    0.00  196.00    22  juicefs.v1.3.1
20:35:07        0   4159567  101.00   80.00    0.00    0.00  181.00    22  juicefs.v1.3.1
20:35:08        0   4159567  134.00  105.00    0.00    0.00  239.00    15  juicefs.v1.3.1
20:35:09        0   4159567  115.00   91.00    0.00    0.00  206.00    15  juicefs.v1.3.1
20:35:10        0   4159567  126.00   99.00    0.00    0.00  225.00     1  juicefs.v1.3.1
20:35:11        0   4159567  144.00  100.00    0.00    0.00  244.00    60  juicefs.v1.3.1
20:35:12        0   4159567  118.00   96.00    0.00    0.00  214.00     6  juicefs.v1.3.1
20:35:13        0   4159567  105.00   90.00    0.00    0.00  195.00     8  juicefs.v1.3.1
20:35:14        0   4159567  144.00  106.00    0.00    0.00  250.00     3  juicefs.v1.3.1
20:35:15        0   4159567  133.00   87.00    0.00    0.00  220.00    19  juicefs.v1.3.1
20:35:16        0   4159567  104.00   89.00    0.00    0.00  193.00     4  juicefs.v1.3.1
20:35:17        0   4159567  142.00   83.00    0.00    0.00  225.00     4  juicefs.v1.3.1
20:35:18        0   4159567   96.00   79.00    0.00    0.00  175.00    18  juicefs.v1.3.1
20:35:19        0   4159567  127.00  103.00    0.00    0.00  230.00    10  juicefs.v1.3.1
20:35:20        0   4159567  119.00  101.00    0.00    0.00  220.00    60  juicefs.v1.3.1
20:35:21        0   4159567  118.00   85.00    0.00    0.00  203.00    60  juicefs.v1.3.1
20:35:22        0   4159567  118.00   84.00    0.00    0.00  202.00    62  juicefs.v1.3.1
20:35:23        0   4159567  101.00   83.00    0.00    0.00  184.00    62  juicefs.v1.3.1
20:35:24        0   4159567  120.00   74.00    0.00    0.00  194.00    60  juicefs.v1.3.1
20:35:25        0   4159567  122.00   98.00    0.00    0.00  220.00    22  juicefs.v1.3.1
20:35:26        0   4159567  118.00   80.00    0.00    0.00  198.00    22  juicefs.v1.3.1
20:35:27        0   4159567  117.00   86.00    0.00    0.00  203.00    56  juicefs.v1.3.1
20:35:28        0   4159567  122.00   96.00    0.00    0.00  218.00    58  juicefs.v1.3.1
20:35:29        0   4159567  112.00   80.00    0.00    0.00  192.00    19  juicefs.v1.3.1
20:35:30        0   4159567  140.00  117.00    0.00    0.00  257.00    34  juicefs.v1.3.1
20:35:31        0   4159567  119.00   94.00    0.00    0.00  213.00     4  juicefs.v1.3.1
20:35:32        0   4159567  105.00   86.00    0.00    0.00  191.00     4  juicefs.v1.3.1
20:35:33        0   4159567  107.00   86.00    0.00    0.00  193.00     0  juicefs.v1.3.1
20:35:34        0   4159567  118.00   96.00    0.00    0.00  214.00    36  juicefs.v1.3.1
20:35:35        0   4159567   99.00   84.00    0.00    0.00  183.00    36  juicefs.v1.3.1
20:35:36        0   4159567  106.00   83.00    0.00    0.00  189.00    36  juicefs.v1.3.1
20:35:37        0   4159567  113.00   91.00    0.00    0.00  204.00    12  juicefs.v1.3.1
20:35:38        0   4159567  128.00   88.00    0.00    0.00  216.00    14  juicefs.v1.3.1
20:35:39        0   4159567  172.00  111.00    0.00    0.00  283.00    11  juicefs.v1.3.1
20:35:40        0   4159567  139.00  109.00    0.00    0.00  248.00     0  juicefs.v1.3.1
20:35:41        0   4159567   99.00   83.00    0.00    0.00  182.00     0  juicefs.v1.3.1
20:35:42        0   4159567  103.00   90.00    0.00    0.00  193.00     0  juicefs.v1.3.1
20:35:43        0   4159567  122.00   91.00    0.00    0.00  213.00    19  juicefs.v1.3.1
20:35:44        0   4159567  114.00   86.00    0.00    0.00  200.00    23  juicefs.v1.3.1
20:35:45        0   4159567  109.00   84.00    0.00    0.00  193.00    36  juicefs.v1.3.1
20:35:46        0   4159567  104.00   80.00    0.00    0.00  184.00    30  juicefs.v1.3.1
20:35:47        0   4159567   92.00   81.00    0.00    0.00  173.00    40  juicefs.v1.3.1
20:35:48        0   4159567  143.00   92.00    0.00    0.00  235.00    44  juicefs.v1.3.1
20:35:49        0   4159567  123.00   91.00    0.00    0.00  214.00    44  juicefs.v1.3.1
20:35:50        0   4159567  127.00   83.00    0.00    0.00  210.00    40  juicefs.v1.3.1
20:35:51        0   4159567  111.00   86.00    0.00    0.00  197.00    59  juicefs.v1.3.1
20:35:52        0   4159567   95.00   95.00    0.00    0.00  190.00     4  juicefs.v1.3.1
20:35:53        0   4159567  104.00   78.00    0.00    0.00  182.00     4  juicefs.v1.3.1
20:35:54        0   4159567  115.00   87.00    0.00    0.00  202.00     8  juicefs.v1.3.1
20:35:55        0   4159567  129.00   89.00    0.00    0.00  218.00    10  juicefs.v1.3.1
