Linux 5.15.0-181-generic (tikv-node) 	07/10/26 	_x86_64_	(64 CPU)

20:33:44      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
20:33:45        0   4159567   16.83    8.91    0.00    0.00   25.74    32  juicefs.v1.3.1
20:33:46        0   4159567  225.00  190.00    0.00    0.00  415.00    32  juicefs.v1.3.1
20:33:47        0   4159567  128.00   47.00    0.00    0.00  175.00    32  juicefs.v1.3.1
20:33:48        0   4159567  122.00   47.00    0.00    0.00  169.00    32  juicefs.v1.3.1
20:33:49        0   4159567  128.00   43.00    0.00    0.00  171.00    32  juicefs.v1.3.1
20:33:50        0   4159567  116.00   55.00    0.00    0.00  171.00    32  juicefs.v1.3.1
20:33:51        0   4159567  132.00   66.00    0.00    0.00  198.00    32  juicefs.v1.3.1
20:33:52        0   4159567  119.00   53.00    0.00    0.00  172.00    32  juicefs.v1.3.1
20:33:53        0   4159567  108.00   52.00    0.00    0.00  160.00    32  juicefs.v1.3.1
20:33:54        0   4159567  116.00   60.00    0.00    0.00  176.00    32  juicefs.v1.3.1
20:33:55        0   4159567  114.00   53.00    0.00    0.00  167.00    32  juicefs.v1.3.1
20:33:56        0   4159567  110.00   45.00    0.00    0.00  155.00    32  juicefs.v1.3.1
20:33:57        0   4159567  103.00   64.00    0.00    0.00  167.00    32  juicefs.v1.3.1
20:33:58        0   4159567  112.00   48.00    0.00    0.00  160.00    32  juicefs.v1.3.1
20:33:59        0   4159567  104.00   60.00    0.00    0.00  164.00    32  juicefs.v1.3.1
20:34:00        0   4159567  115.00   60.00    0.00    0.00  175.00    32  juicefs.v1.3.1
20:34:01        0   4159567  117.00   56.00    0.00    0.00  173.00    32  juicefs.v1.3.1
20:34:02        0   4159567  118.00   55.00    0.00    0.00  173.00    32  juicefs.v1.3.1
20:34:03        0   4159567  126.00   49.00    0.00    0.00  175.00    32  juicefs.v1.3.1
20:34:04        0   4159567  101.00   55.00    0.00    0.00  156.00    32  juicefs.v1.3.1
20:34:05        0   4159567  208.00   67.00    0.00    0.00  275.00    32  juicefs.v1.3.1
20:34:06        0   4159567  114.00   49.00    0.00    0.00  163.00    32  juicefs.v1.3.1
20:34:07        0   4159567  115.00   48.00    0.00    0.00  163.00    32  juicefs.v1.3.1
20:34:08        0   4159567  114.00   52.00    0.00    0.00  166.00    32  juicefs.v1.3.1
20:34:09        0   4159567  107.00   54.00    0.00    0.00  161.00    32  juicefs.v1.3.1
20:34:10        0   4159567  105.00   41.00    0.00    0.00  146.00    32  juicefs.v1.3.1
20:34:11        0   4159567  113.00   48.00    0.00    0.00  161.00    32  juicefs.v1.3.1
20:34:12        0   4159567  122.00   40.00    0.00    0.00  162.00    32  juicefs.v1.3.1
20:34:13        0   4159567  106.00   48.00    0.00    0.00  154.00    32  juicefs.v1.3.1
20:34:14        0   4159567  116.00   54.00    0.00    0.00  170.00    32  juicefs.v1.3.1
20:34:15        0   4159567   95.00   57.00    0.00    0.00  152.00    32  juicefs.v1.3.1
20:34:16        0   4159567  111.00   40.00    0.00    0.00  151.00    32  juicefs.v1.3.1
20:34:17        0   4159567  120.00   46.00    0.00    0.00  166.00    32  juicefs.v1.3.1
20:34:18        0   4159567  108.00   45.00    0.00    0.00  153.00    32  juicefs.v1.3.1
20:34:19        0   4159567  120.00   41.00    0.00    0.00  161.00    32  juicefs.v1.3.1
20:34:20        0   4159567  122.00   47.00    0.00    0.00  169.00    32  juicefs.v1.3.1
20:34:21        0   4159567  104.00   43.00    0.00    0.00  147.00    32  juicefs.v1.3.1
20:34:22        0   4159567  119.00   56.00    0.00    0.00  175.00    32  juicefs.v1.3.1
20:34:23        0   4159567  129.00   36.00    0.00    0.00  165.00    32  juicefs.v1.3.1
20:34:24        0   4159567  121.00   44.00    0.00    0.00  165.00    32  juicefs.v1.3.1
20:34:25        0   4159567  119.00   55.00    0.00    0.00  174.00    32  juicefs.v1.3.1
20:34:26        0   4159567  109.00   52.00    0.00    0.00  161.00    32  juicefs.v1.3.1
20:34:27        0   4159567  105.00   49.00    0.00    0.00  154.00    32  juicefs.v1.3.1
20:34:28        0   4159567  128.00   51.00    0.00    0.00  179.00    32  juicefs.v1.3.1
20:34:29        0   4159567  111.00   48.00    0.00    0.00  159.00    32  juicefs.v1.3.1
20:34:30        0   4159567  102.00   49.00    0.00    0.00  151.00    32  juicefs.v1.3.1
20:34:31        0   4159567  204.00   50.00    0.00    0.00  254.00    32  juicefs.v1.3.1
20:34:32        0   4159567  106.00   46.00    0.00    0.00  152.00    32  juicefs.v1.3.1
20:34:33        0   4159567  109.00   45.00    0.00    0.00  154.00    32  juicefs.v1.3.1
