------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 0.0%  942M 2944K|   0     0     0     0 |   0     0 |   0     0 |   0     0 
 105%  948M   40M| 546  36.7    59M    0 | 119  0.92 |   0     0 |  71M    0 
 150%  949M   40M| 859  41.2   103M    0 |  17  0.93 |   0     0 | 111M    0 
 151%  949M   42M| 972  39.8   117M    0 |  19  0.91 |   0     0 | 111M    0 
 129%  950M   41M| 912  39.4   110M    0 |  17  0.88 |   0     0 | 110M    0 
 139%  950M   41M| 910  42.4   110M    0 |  17  0.86 |   0     0 | 110M    0 
 143%  950M   41M| 882  39.6   106M    0 |  12  0.93 |   0     0 | 111M    0 
 158%  950M   41M| 978  41.3   118M    0 |  18  0.94 |   0     0 | 111M    0 
 179%  951M   41M| 890  40.5   108M    0 |  12  1.04 |   0     0 | 112M    0 
 144%  951M   43M| 904  39.8   109M    0 |  23  0.88 |   0     0 | 110M    0 
 140%  951M   43M| 914  39.2   110M    0 |  58  0.76 |   0     0 | 111M    0 
 129%  951M   44M| 894  40.1   108M    0 |  23  0.80 |   0     0 | 110M    0 
 155%  951M   45M| 910  41.0   110M    0 |  14  1.04 |   0     0 | 112M    0 
 155%  951M   47M| 959  38.4   116M    0 |  15  1.00 |   0     0 | 111M    0 
 156%  951M   46M| 881  41.6   107M    0 |  16  1.05 |   0     0 | 112M    0 
 144%  951M   47M| 934  40.4   113M    0 |  14  0.85 |   0     0 | 110M    0 
 151%  951M   47M| 923  41.2   111M    0 |  17  0.91 |   0     0 | 111M    0 
 162%  951M   48M| 926  40.3   111M    0 |  18  0.97 |   0     0 | 111M    0 
 169%  951M   49M| 930  41.0   112M    0 |  25  0.97 |   0     0 | 112M    0 
 172%  951M   48M| 860  40.8   104M    0 |  29  0.91 |   0     0 | 111M    0 
 154%  951M   50M| 985  38.0   119M    0 |  34  0.88 |   0     0 | 110M    0 
 130%  951M   50M| 910  40.8   110M    0 |  20  0.81 |   0     0 | 110M    0 
