------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 0.0% 1135M 8192K|   0     0     0     0 |   0     0 |   0     0 |   0     0 
62.8% 1137M   59M| 605  11.4    10M    0 | 643  1.35 |   0     0 |  15M  256K
 162% 1139M  131M| 478   215    55M    0 | 235  1.09 |   0     0 | 111M 9472K
 161% 1142M  137M| 499   236    49M    0 | 247  1.01 |   0     0 | 111M 9216K
 153% 1143M  132M| 458   277    47M    0 | 202  1.07 |   0     0 | 111M   10M
 145% 1145M  126M| 487   271    49M    0 | 218  1.02 |   0     0 | 110M   11M
 163% 1146M  132M| 503   249    51M    0 | 212  1.08 |   0     0 | 111M 9472K
 138% 1147M  132M| 496   256    51M    0 | 184  0.91 |   0     0 | 109M   10M
 143% 1149M  134M| 502   266    51M    0 | 176  0.92 |   0     0 | 110M 9472K
 152% 1150M  129M| 474   269    48M    0 | 155  1.08 |   0     0 | 111M 6656K
 159% 1151M  129M| 508   232    51M    0 | 176  1.04 |   0     0 | 111M 9984K
 144% 1151M  137M| 488   266    50M    0 | 133  0.99 |   0     0 | 110M   12M
 136% 1152M  133M| 496   254    51M    0 | 135  0.93 |   0     0 | 109M 8192K
 132% 1153M  137M| 508   245    52M    0 | 139  0.89 |   0     0 | 110M 5888K
 146% 1153M  134M| 476   274    49M    0 | 133  1.00 |   0     0 | 110M 9472K
 162% 1154M  134M| 520   253    53M    0 | 134  1.03 |   0     0 | 111M 9472K
 145% 1155M  133M| 496   262    50M    0 | 122  0.93 |   0     0 | 111M 8192K
 147% 1156M  137M| 481   269    50M    0 | 109  0.97 |   0     0 | 110M 7936K
 142% 1157M  128M| 506   228    52M    0 | 117  0.88 |   0     0 | 110M 8704K
 138% 1157M  133M| 479   272    48M    0 | 113  0.91 |   0     0 | 110M 8960K
 162% 1157M  132M| 494   266    50M    0 | 105  0.94 |   0     0 | 112M 7936K
 159% 1158M  133M| 513   241    53M    0 |  99  0.98 |   0     0 | 111M 8192K
 144% 1158M  132M| 494   268    49M    0 | 104  0.87 |   0     0 | 109M 9984K
 144% 1159M  132M| 502   250    51M    0 |  91  0.81 |   0     0 | 110M 6656K
 137% 1159M  131M| 506   240    51M    0 |  97  0.81 |   0     0 | 109M 8192K
 147% 1160M  136M| 486   270    50M    0 |  89  0.86 |   0     0 | 111M 8192K
 158% 1160M  132M| 515   240    53M    0 | 100  0.94 |   0     0 | 112M 8960K
 149% 1160M  133M| 507   266    51M    0 |  92  0.87 |   0     0 | 111M 6400K
 143% 1161M  134M| 496   269    51M    0 |  86  0.86 |   0     0 | 110M 7936K
